1-2-10全国按乡镇类型分的农业生产经营单位年末拥有农业机械数量-名称,单位：台-大中型拖拉机,单位：台-小型拖拉机,单位：台-大中型拖拉机配套农具,单位：台-小型拖拉机配套农具,单位：台-联合收割机
,,,,,
,,,,,
合        计,82674.0,236415.0,132504.0,197320.0,27492.0
一、按所在乡镇类型分,,,,,
乡,6598.0,22000.0,9121.0,17776.0,2551.0
镇,21154.0,70593.0,22806.0,48442.0,7555.0
街道,3423.0,7652.0,4911.0,5398.0,926.0
农场,48790.0,121931.0,90676.0,112929.0,15863.0
二、按所在乡镇是否县政府驻地分,,,,,
是,7927.0,18647.0,9400.0,14172.0,1872.0
否,72038.0,203529.0,118114.0,170373.0,25023.0
三、按所在乡镇的地势分,,,,,
平原,48288.0,110590.0,73769.0,102213.0,18098.0
丘陵,22281.0,78339.0,43092.0,61576.0,6800.0
山区,9396.0,33247.0,10653.0,20756.0,1997.0
四、按所在乡镇是否民族乡镇分,,,,,
是,1751.0,5219.0,2019.0,3772.0,248.0
否,78214.0,216957.0,125495.0,180773.0,26647.0
五、按所在乡镇是否老区分,,,,,
是,5136.0,22329.0,6471.0,17534.0,2290.0
否,74829.0,199847.0,121043.0,167011.0,24605.0
六、按所在乡镇是否边区分,,,,,
是,12564.0,32512.0,20249.0,23435.0,4157.0
否,67401.0,189664.0,107265.0,161110.0,22738.0
七、无对应乡表的分组,2709.0,14239.0,4990.0,12775.0,597.0
