9-7全国按户主的受教育程度、住房来源分的家庭户户数-受教育程度-受教育程度,9-7全国按户主的受教育程度、住房来源分的家庭户户数-合计-合计,9-7全国按户主的受教育程度、住房来源分的家庭户户数-租赁廉租住-房/公租房,9-7全国按户主的受教育程度、住房来源分的家庭户户数-租赁-其他住房,9-7全国按户主的受教育程度、住房来源分的家庭户户数-购买新建-商品房,9-7全国按户主的受教育程度、住房来源分的家庭户户数-购买-二手房,9-7全国按户主的受教育程度、住房来源分的家庭户户数-购买原-公有住房,9-7全国按户主的受教育程度、住房来源分的家庭户户数-购买经济适-用房/两限房,9-7全国按户主的受教育程度、住房来源分的家庭户户数-自建住房-自建住房,9-7全国按户主的受教育程度、住房来源分的家庭户户数-继承或-赠予,9-7全国按户主的受教育程度、住房来源分的家庭户户数-单位：户-其他-其他
,,,,,,,,,,
总  计,43326315.0,1058145.0,5522131.0,9362419.0,3049617.0,1761894.0,1150777.0,19165212.0,421356.0,1834764.0
未上过学,1152820.0,18329.0,53702.0,59921.0,28219.0,27335.0,22238.0,847275.0,20650.0,75151.0
学前教育,46533.0,832.0,2282.0,3316.0,1368.0,1174.0,872.0,33773.0,783.0,2133.0
小  学,9798996.0,154040.0,701208.0,750179.0,315741.0,213780.0,188556.0,6927682.0,108884.0,438926.0
初  中,17747554.0,439501.0,2365484.0,2793092.0,996332.0,583887.0,428395.0,9221827.0,180543.0,738493.0
高  中,6946757.0,226528.0,1118477.0,2141184.0,659280.0,480582.0,247293.0,1702389.0,64326.0,306698.0
大学专科,3907386.0,112064.0,674331.0,1757861.0,472269.0,245224.0,142538.0,323175.0,27595.0,152329.0
大学本科,3279013.0,91240.0,524079.0,1658374.0,482812.0,185562.0,107494.0,105327.0,16944.0,107181.0
硕士研究生,393129.0,12969.0,73418.0,178046.0,82425.0,19208.0,11090.0,3378.0,1373.0,11222.0
博士研究生,54127.0,2642.0,9150.0,20446.0,11171.0,5142.0,2301.0,386.0,258.0,2631.0
