1-1-76全国按九大农区和机构类型分的农业生产经营单位数(不含未注册单位)-名称,单位：个-合计,企业,事业,机关,社会团体,民办非企业,其他法人单位,未回答
,,,,,,,,
合  计,266518.0,66558.0,98588.0,9361.0,7440.0,2368.0,82069.0,134.0
东北,19976.0,8109.0,8369.0,838.0,161.0,110.0,2381.0,8.0
长城沿线,10275.0,1670.0,3914.0,368.0,349.0,56.0,3917.0,1.0
黄淮海,36391.0,11003.0,10547.0,1138.0,943.0,200.0,12524.0,36.0
黄土高原,12139.0,3183.0,6511.0,272.0,127.0,173.0,1869.0,4.0
长江中下游,106734.0,25196.0,29102.0,2997.0,3339.0,1094.0,44966.0,40.0
西南,37930.0,6806.0,23683.0,1827.0,688.0,424.0,4488.0,14.0
华南,28812.0,7410.0,10208.0,809.0,1484.0,266.0,8621.0,14.0
甘新,12050.0,2955.0,4670.0,829.0,330.0,41.0,3209.0,16.0
青藏,2211.0,226.0,1584.0,283.0,19.0,4.0,94.0,1.0
