1-1-37全国按住户生产经营情况和就业方式分的家庭户农业从业人员数量-名称,单位：人-合计,雇主,家庭帮工,自营,务工,公职
,,,,,,
合        计,341414551.0,1170022.0,605489.0,337325119.0,2202763.0,111158.0
一、按住户收入和经营兼业情况分,,,,,,
纯农户,306444541.0,909810.0,487000.0,303171037.0,1788564.0,88130.0
农业兼业户,17601514.0,158545.0,78451.0,17148844.0,206031.0,9643.0
非农业兼业户,17368496.0,101667.0,40038.0,17005238.0,208168.0,13385.0
二、按农业生产经营户经营主要农业行业分,,,,,,
农作物种植业,315818018.0,954920.0,494411.0,312441224.0,1834378.0,93085.0
林业,4039836.0,20264.0,9187.0,3934020.0,70028.0,6337.0
畜牧业,17876083.0,98728.0,41489.0,17581949.0,145064.0,8853.0
渔业,2812875.0,85448.0,55479.0,2602543.0,68608.0,797.0
农林牧渔服务业,867712.0,10662.0,4923.0,765374.0,84668.0,2085.0
未填写,27.0,,,9.0,17.0,1.0
