高一年级（2022级）模拟选科情况统计2023年6月-说明：参考之前摸排的选科数据，其它组合人数较少，拟开设以下四种组合，请各位班主任引导学生填写，上传班级选科登记表，统计数据填入此表。-班级,高一年级（2022级）模拟选科情况统计2023年6月-说明：参考之前摸排的选科数据，其它组合人数较少，拟开设以下四种组合，请各位班主任引导学生填写，上传班级选科登记表，统计数据填入此表。-人数,高一年级（2022级）模拟选科情况统计2023年6月-说明：参考之前摸排的选科数据，其它组合人数较少，拟开设以下四种组合，请各位班主任引导学生填写，上传班级选科登记表，统计数据填入此表。-物化生,高一年级（2022级）模拟选科情况统计2023年6月-说明：参考之前摸排的选科数据，其它组合人数较少，拟开设以下四种组合，请各位班主任引导学生填写，上传班级选科登记表，统计数据填入此表。-物化政,高一年级（2022级）模拟选科情况统计2023年6月-说明：参考之前摸排的选科数据，其它组合人数较少，拟开设以下四种组合，请各位班主任引导学生填写，上传班级选科登记表，统计数据填入此表。-物化地,高一年级（2022级）模拟选科情况统计2023年6月-说明：参考之前摸排的选科数据，其它组合人数较少，拟开设以下四种组合，请各位班主任引导学生填写，上传班级选科登记表，统计数据填入此表。-史政地
1,49,37,3,4.0,5
2,43,34,6,,3
3,42,21,6,12.0,2
4,44,21,10,9.0,4
5,51,10,20,7.0,14
6,51,10,9,18.0,14
7,49,11,7,13.0,18
8,52,8,11,17.0,16
9,50,13,11,4.0,22
10,49,8,8,11.0,22
11,50,15,13,4.0,18
12,51,13,8,12.0,17
13,51,4,10,11.0,26
14,52,9,15,7.0,21
15,49,7,13,19.0,10
合计,733,221,150,148.0,212
