山东省按三次产业分的年底就业人员数-NumberofEmployedPersonsattheYear-endbyThreeIndustries-年份Year-年份Year,山东省按三次产业分的年底就业人员数-NumberofEmployedPersonsattheYear-endbyThreeIndustries-就业人员(万人)TotalEmployedPersons(10000Persons)-就业人员(万人)TotalEmployedPersons(10000Persons),山东省按三次产业分的年底就业人员数-NumberofEmployedPersonsattheYear-endbyThreeIndustries,山东省按三次产业分的年底就业人员数-NumberofEmployedPersonsattheYear-endbyThreeIndustries.1,山东省按三次产业分的年底就业人员数-NumberofEmployedPersonsattheYear-endbyThreeIndustries.2,山东省按三次产业分的年底就业人员数-NumberofEmployedPersonsattheYear-endbyThreeIndustries-构成(%)(合计=100)CompositioninPercentage(%)(Total=100)-构成(%)(合计=100)CompositioninPercentage(%)(Total=100),山东省按三次产业分的年底就业人员数-NumberofEmployedPersonsattheYear-endbyThreeIndustries-构成(%)(合计=100)CompositioninPercentage(%)(Total=100)-构成(%)(合计=100)CompositioninPercentage(%)(Total=100).1,山东省按三次产业分的年底就业人员数-NumberofEmployedPersonsattheYear-endbyThreeIndustries-构成(%)(合计=100)CompositioninPercentage(%)(Total=100)-构成(%)(合计=100)CompositioninPercentage(%)(Total=100).2
"年 份

Year","就业人员
(万人)
Total 
Employed
Persons
(10 000 Persons)","第一产业
Primary
Industry","第二产业
Secondary
Industry","第三产业
Tertiary
Industry","第一产业
Primary
Industry","第二产业
Secondary
Industry","第三产业
Tertiary
Industry"
"年 份

Year","就业人员
(万人)
Total 
Employed
Persons
(10 000 Persons)","第一产业
Primary
Industry","第二产业
Secondary
Industry","第三产业
Tertiary
Industry","第一产业
Primary
Industry","第二产业
Secondary
Industry","第三产业
Tertiary
Industry"
"年 份

Year","就业人员
(万人)
Total 
Employed
Persons
(10 000 Persons)","第一产业
Primary
Industry","第二产业
Secondary
Industry","第三产业
Tertiary
Industry","第一产业
Primary
Industry","第二产业
Secondary
Industry","第三产业
Tertiary
Industry"
"年 份

Year","就业人员
(万人)
Total 
Employed
Persons
(10 000 Persons)","第一产业
Primary
Industry","第二产业
Secondary
Industry","第三产业
Tertiary
Industry","第一产业
Primary
Industry","第二产业
Secondary
Industry","第三产业
Tertiary
Industry"
"年 份

Year","就业人员
(万人)
Total 
Employed
Persons
(10 000 Persons)","第一产业
Primary
Industry","第二产业
Secondary
Industry","第三产业
Tertiary
Industry","第一产业
Primary
Industry","第二产业
Secondary
Industry","第三产业
Tertiary
Industry"
,,,,,,,
1949,1859,,,,,,
1952,1897,,,,,,
1955,1960,,,,,,
1957,2150,,,,,,
1962,1981,,,,,,
1965,2146,,,,,,
1970,2606,,,,,,
1975,2925,,,,,,
1978,2970,2351,367,252,79,12,9
1980,3118,2458,383,277,79,12,9
1981,3192,2508,389,295,79,12,9
1982,3270,2521,442,307,77,14,9
1983,3795,2951,466,379,78,12,10
1984,3564,2509,529,526,70,15,15
1985,3561,2439,705,417,69,20,12
1986,3651,2431,776,444,67,21,12
1987,3766,2423,848,495,64,23,13
1988,3887,2475,905,508,64,23,13
1989,3940,2528,903,510,64,23,13
1990,4043,2586,923,535,64,23,13
1991,4219,2708,959,553,64,23,13
1992,4303,2705,1001,597,63,23,14
1993,4379,2690,1070,619,61,24,14
1994,4382,2542,1098,743,58,25,17
1995,5207,2832,1306,1070,54,25,21
1996,5227,2788,1286,1153,53,25,22
1997,5256,2813,1312,1132,54,25,22
1998,5288,2837,1246,1205,54,24,23
1999,5315,2812,1246,1257,53,23,24
2000,5387,2807,1293,1287,52,24,24
2001,5431,2792,1336,1303,51,25,24
2002,5510,2755,1394,1361,50,25,25
2003,5541,2687,1446,1407,49,26,25
2004,5622,2643,1529,1451,47,27,26
2005,5689,2583,1587,1519,45,28,27
2006,5756,2527,1641,1589,44,29,28
2007,5804,2461,1689,1654,42,29,29
2008,5815,2378,1733,1704,41,30,29
2009,5845,2303,1783,1759,39,31,30
2010,5940,2257,1853,1830,38,31,31
2011,5915,2165,1881,1869,37,32,32
2012,5892,2068,1915,1909,35,33,32
2013,5840,1974,1916,1951,34,33,33
2014,5798,1879,1919,2000,32,33,35
2015,5773,1795,1922,2055,31,33,36
2016,5728,1707,1907,2114,30,33,37
2017,5693,1623,1907,2163,29,34,38
2018,5621,1535,1877,2209,27,33,39
2019,5561,1446,1852,2263,26,33,41
2020,5510,1372,1840,2298,25,33,42
2021,5475,1316,1850,2309,24,34,42
2022,5338,1284,1804,2250,24,34,42
2023,5370,1267,1818,2285,24,34,43
