Serial Number,Project Name,"Land Area (10,000 ㎡)","Building Area (10,000 ㎡)",Construction Purpose,Structure Form,Structure Height,Building Height,Number of floors,"Cost
（Billion Yuan）",Investor,Design Unit,General Contractor,Supervision,Curtain Wall Unit,Completion Time,Unnamed: 16
1,Shanghai Tower,2.03,56.0,,,,632.0,127,148.0,"Lujiazui Group  
Shanghai Municipal Investment (51%)  
Shanghai Construction Group",Gensler,Shanghai Construction Group,Shanghai Building Research,——,——,
2,"China 117 Tower (Tianjin)
Gao Yin Metropolitan Project",83.0,183.0,,,,600.0,117/-3,270.0,"Gaoyin Property Co., Ltd.
(Songri Communication Holdings)","BAMARDANNA ARCHITECTURAL DESIGN CONSULTING CO., LTD.  
ARUP ENGINEERING CONSULTING CO., LTD.  
WENINGXIE CHINA CO., LTD.  
EAST CHINA DESIGN & RESEARCH INSTITUTE CO., LTD. (CONSTRUCTION DRAWINGS)","China Construction Third Engineering Bureau  
(Foundation pit support and pile foundation construction, excluding tower building pile foundation construction, cost 359.8 million yuan, total construction period 663 days)","Tianjin Huatai Construction Supervision Co., Ltd. (Supervision for Foundation Pit and Pile Foundation Stage)",——,——,
3,Ping An International Finance Centre,1.89,37.86,,,,588.0,115,90.0,"China Ping An Insurance Group Co., Ltd.",KPF,——,——,——,——,
4,"Global Financial Center  
(Shanghai)",1.44,38.16,,"Reinforced concrete structure (SRC structure), steel structure (S structure)",,491.9,101/-3,100.0,"Mori Building Co., Ltd.","Mori Building Corporation (Concept Design)
Irie Sekai Design Office, KPF (Architecture), LERA (Structure)
IP Architectural Equipment Design Research Institute (Equipment Design)
Shanghai Modern Architectural Design (Group) Co., Ltd., East China Institute (Design Consultant)","China State Construction Engineering Corporation
Shanghai Construction Group (Group) Corporation General Contracting Consortium. (3.9 billion yuan)","Shanghai Jianhao Engineering Consultant Co., Ltd.","Anhui First Construction Shanghai Branch  
(120,000 square meters)",2008-08-29 00:00:00,
5,Jialing Fanying (Chongqing) International Trade and Economy Center,,68.0,,,,455.0,98,80.0,Rui'an Group,KPF,——,——,——,——,
6,Zifeng Tower (Nanjing),1.87,26.0,,,,450.0,89/-3,40.0,"Nanjing State-owned Assets Group  
Shanghai Greenland Group","SOM (Architecture)  
East China Institute (Construction Drawings)",Shanghai Construction Group,Shanghai Jiangsu Jianke Supervision Consortium,Shanghai Jiesi,2008-09-28 00:00:00,
7,Jingji Financial Tower (Shenzhen),4.8,50.0,,,,439.0,98/-4,,"Shenzhen Caiwwei Real Estate Co., Ltd., Jingji Group","Terry Farrell & Partners Architectural Design Co., Ltd., Arup Engineering Consultants Co., Ltd. (Initial Phase)  
Huasen Architectural and Engineering Design Consultants Co., Ltd. (Preliminary Design)  
Huasen Architectural and Engineering Design Consultants Co., Ltd., China Architecture Design & Research Institute (Construction Drawings)  
Guangzhou Y. C. Fung Architectural Engineering Design Office (Design Consultant)",——,——,——,——,
8,"New City West Tower  
Guangzhou International Financial Center",3.1,45.0,,,,437.5,103/-4,60.0,Yue Xiu Group,"Architecture: Consortium of Wilson Architects UK and Arup Engineering Consultants  
Construction Drawings: School of Architecture and Planning, South China University of Technology","China State Construction Engineering Corporation and Guangzhou Construction Engineering Group Co., Ltd. Joint Venture","Guangzhou Urban Construction Development Engineering Consulting Supervision Co., Ltd.",——,——,
9,Jinmao Tower (Shanghai),2.36,29.0,,,,420.9,88/-3,50.0,"China Jinmao (Group) Co., Ltd.","SOM (Architecture), East China Architectural Design Institute, Shanghai Architectural Design Institute (Construction Drawings)","Shanghai Construction Group (General) Corporation  
(Shanghai First Construction Company)  
(Shanghai Mechanical Construction Company)","Shanghai Engineering Construction Consulting & Supervision Co., Ltd.","Gartner GmbH  
Wuhan Lingyun Architectural Decoration Engineering Co., Ltd.",1999-03-18 00:00:00,
10,CITIC Plaza (Guangzhou),2.3,29.0,,,321.9,391.1,80,37.0,China International Trust and Investment Corporation,"DLN Architects and Engineers  
(Ma Sung Engineering Consultants)","Hong Kong Construction Co., Ltd.
Kumagai Gumi (Guangzhou No.2 Construction Co., Ltd.)",——,——,1996,
