序号,一级类,二级类,名字,地区,最高价,平均价,最低价,发布日期
1,蔬菜,,大白菜,冀,0.5,0.45,0.4,2024-06-27 00:00:00
2,蔬菜,,娃娃菜,冀,0.7,0.65,0.6,2024-06-27 00:00:00
3,蔬菜,,小白菜,冀,1.5,1.35,1.2,2024-06-27 00:00:00
4,蔬菜,,圆白菜,冀,1.0,0.85,0.7,2024-06-27 00:00:00
5,蔬菜,,紫甘蓝,冀,0.8,0.75,0.7,2024-06-27 00:00:00
6,蔬菜,,芹菜,冀,1.6,1.5,1.4,2024-06-27 00:00:00
7,蔬菜,,西芹,辽,1.8,1.65,1.5,2024-06-27 00:00:00
8,蔬菜,,菠菜,冀蒙,2.8,2.65,2.5,2024-06-27 00:00:00
9,蔬菜,,莴笋,冀,1.6,1.45,1.3,2024-06-27 00:00:00
10,蔬菜,,团生菜,冀,1.3,1.1,0.9,2024-06-27 00:00:00
11,蔬菜,,罗马生菜,云京,2.0,1.5,1.0,2024-06-27 00:00:00
12,蔬菜,,散叶生菜,冀京,1.0,0.9,0.8,2024-06-27 00:00:00
13,蔬菜,,油菜,京,1.4,1.35,1.3,2024-06-27 00:00:00
14,蔬菜,,香菜,冀,2.8,2.4,2.0,2024-06-27 00:00:00
15,蔬菜,,茴香,冀,1.5,1.25,1.0,2024-06-27 00:00:00
16,蔬菜,,韭菜,冀,1.8,1.55,1.3,2024-06-27 00:00:00
17,蔬菜,,苦菊,辽,1.8,1.65,1.5,2024-06-27 00:00:00
18,蔬菜,,油麦菜,京,2.0,1.75,1.5,2024-06-27 00:00:00
19,蔬菜,,散菜花,冀,2.5,2.05,1.6,2024-06-27 00:00:00
20,蔬菜,,绿菜花,冀,2.6,2.45,2.3,2024-06-27 00:00:00
21,蔬菜,,绿豆芽,,1.0,0.98,0.95,2024-06-27 00:00:00
22,蔬菜,,黄豆芽,,0.9,0.88,0.85,2024-06-27 00:00:00
23,蔬菜,,番茄,冀蒙,1.0,0.8,0.6,2024-06-27 00:00:00
24,蔬菜,,番茄,冀蒙,1.3,1.05,0.8,2024-06-27 00:00:00
25,蔬菜,,番茄,鲁蒙,1.5,1.25,1.0,2024-06-27 00:00:00
26,蔬菜,,黄瓜,辽鲁冀蒙,2.2,1.7,1.2,2024-06-27 00:00:00
27,蔬菜,,黄瓜,冀,2.6,2.05,1.5,2024-06-27 00:00:00
28,蔬菜,,小黄瓜,辽鲁,4.0,3.4,2.8,2024-06-27 00:00:00
29,蔬菜,,小黄瓜,辽鲁,5.0,4.4,3.8,2024-06-27 00:00:00
30,蔬菜,,茄子,冀鲁,1.5,1.1,0.7,2024-06-27 00:00:00
31,蔬菜,,长茄,辽,1.8,1.3,0.8,2024-06-27 00:00:00
32,蔬菜,,线茄,冀,1.5,1.15,0.8,2024-06-27 00:00:00
33,蔬菜,,广茄,云京,3.0,2.15,1.3,2024-06-27 00:00:00
34,蔬菜,,冬瓜,冀,0.7,0.65,0.6,2024-06-27 00:00:00
35,蔬菜,,冬瓜,冀鄂,0.5,0.45,0.4,2024-06-27 00:00:00
36,蔬菜,,毛冬瓜,冀鲁,0.8,0.68,0.55,2024-06-27 00:00:00
37,蔬菜,,架豆,冀晋云,4.0,3.4,2.8,2024-06-27 00:00:00
38,蔬菜,,豆王,辽冀甘云,5.0,3.75,2.5,2024-06-27 00:00:00
39,蔬菜,,扁豆,晋冀,4.5,3.5,2.5,2024-06-27 00:00:00
40,蔬菜,,豇豆,鲁冀,2.3,1.9,1.5,2024-06-27 00:00:00
41,蔬菜,,白不老,冀辽,4.0,3.1,2.2,2024-06-27 00:00:00
42,蔬菜,,油豆,辽冀,6.5,5.65,4.8,2024-06-27 00:00:00
43,蔬菜,,毛豆,川云,2.8,2.65,2.5,2024-06-27 00:00:00
44,蔬菜,,花生,琼粤,7.0,6.0,5.0,2024-06-27 00:00:00
45,蔬菜,,玉米,津冀,1.0,0.9,0.8,2024-06-27 00:00:00
46,蔬菜,,玉米,津冀,1.3,1.2,1.1,2024-06-27 00:00:00
47,蔬菜,,苦瓜,鲁,2.8,2.65,2.5,2024-06-27 00:00:00
48,蔬菜,,丝瓜,豫鲁冀,4.0,3.75,3.5,2024-06-27 00:00:00
49,蔬菜,,西葫芦,冀晋,2.2,1.85,1.5,2024-06-27 00:00:00
50,蔬菜,,贝贝南瓜,鲁冀,1.5,1.3,1.1,2024-06-27 00:00:00
51,蔬菜,,金丝南瓜,鲁冀,1.0,0.85,0.7,2024-06-27 00:00:00
52,蔬菜,,板栗南瓜,冀鲁,1.3,1.2,1.1,2024-06-27 00:00:00
53,蔬菜,,南北瓜,桂琼冀,1.0,0.9,0.8,2024-06-27 00:00:00
54,蔬菜,,尖椒,冀辽鲁,2.6,1.9,1.2,2024-06-27 00:00:00
55,蔬菜,,红尖椒,鲁,3.5,3.0,2.5,2024-06-27 00:00:00
56,蔬菜,,美人椒,鲁,5.0,4.5,4.0,2024-06-27 00:00:00
57,蔬菜,,螺丝椒,鲁辽,4.0,3.25,2.5,2024-06-27 00:00:00
58,蔬菜,,柿子椒,鲁辽冀,2.5,2.0,1.5,2024-06-27 00:00:00
