2-3全国各民族分性别、主要生活来源的15岁及以上人口-民族-民族,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-15岁及以上人口-合计,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-15岁及以上人口-男,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-15岁及以上人口-女,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-劳动收入-小计,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-劳动收入-男,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-劳动收入-女,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-离退休金/养老金-小计,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-离退休金/养老金-男,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-离退休金/养老金-女,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-最低生活保障金-小计,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-最低生活保障金-男,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-最低生活保障金-女,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-失业保险金-小计,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-失业保险金-男,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-失业保险金-女,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-财产性收入-小计,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-财产性收入-男,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-财产性收入-女,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-家庭其他成员供养-小计,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-家庭其他成员供养-男,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-家庭其他成员供养-女,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-其他-小计,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-其他-男,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-其他-女
,,,,,,,,,,,,,,,,,,,,,,,,
总  计,114261590.0,57861957.0,56399633.0,66173046.0,39351185.0,26821861.0,11525075.0,5004420.0,6520655.0,1752313.0,979954.0,772359.0,41948.0,24489.0,17459.0,881568.0,467538.0,414030.0,27940394.0,9182235.0,18758159.0,5947246.0,2852136.0,3095110.0
汉  族,105143639.0,53274954.0,51868685.0,60652727.0,36205723.0,24447004.0,11067507.0,4796809.0,6270698.0,1563826.0,883199.0,680627.0,39772.0,23267.0,16505.0,793224.0,421074.0,372150.0,25695402.0,8392154.0,17303248.0,5331181.0,2552728.0,2778453.0
蒙古族,486694.0,238488.0,248206.0,287423.0,162749.0,124674.0,37822.0,15040.0,22782.0,11806.0,5697.0,6109.0,125.0,62.0,63.0,8145.0,4196.0,3949.0,112616.0,37329.0,75287.0,28757.0,13415.0,15342.0
回  族,859291.0,429911.0,429380.0,459377.0,276901.0,182476.0,93439.0,39769.0,53670.0,16906.0,8181.0,8725.0,320.0,184.0,136.0,7589.0,4282.0,3307.0,230869.0,75427.0,155442.0,50791.0,25167.0,25624.0
藏  族,506256.0,249754.0,256502.0,259321.0,142775.0,116546.0,14059.0,7035.0,7024.0,11679.0,5277.0,6402.0,77.0,37.0,40.0,13574.0,6908.0,6666.0,120837.0,45284.0,75553.0,86709.0,42438.0,44271.0
维吾尔族,755756.0,365270.0,390486.0,472359.0,249587.0,222772.0,32822.0,15074.0,17748.0,24499.0,9419.0,15080.0,269.0,137.0,132.0,10760.0,5314.0,5446.0,154470.0,56329.0,98141.0,60577.0,29410.0,31167.0
苗  族,784133.0,401667.0,382466.0,486651.0,281943.0,204708.0,18198.0,9285.0,8913.0,16254.0,8848.0,7406.0,91.0,47.0,44.0,4558.0,2472.0,2086.0,208072.0,74759.0,133313.0,50309.0,24313.0,25996.0
彝  族,731814.0,367638.0,364176.0,500364.0,270580.0,229784.0,12746.0,6930.0,5816.0,14258.0,7120.0,7138.0,93.0,51.0,42.0,4576.0,2392.0,2184.0,152036.0,57323.0,94713.0,47741.0,23242.0,24499.0
壮  族,1404590.0,710186.0,694404.0,903805.0,507035.0,396770.0,54656.0,25791.0,28865.0,21679.0,12789.0,8890.0,357.0,213.0,144.0,7648.0,3971.0,3677.0,338153.0,122006.0,216147.0,78292.0,38381.0,39911.0
