3-4-7各地区山区乡镇农业技术措施应用情况-地区,单位：%-占耕地面积比重-机耕面积比重,机电灌溉面积比重,喷灌面积比重,滴灌渗灌面积比重,占播种面积比重-机播面积比重,机收面积比重
,,,,,,
全国总计,21.0,3.0,0.0,0.0,9.0,7.0
,,,,,,
北    京,48.0,11.0,2.0,1.0,29.0,4.0
天    津,72.0,49.0,0.0,,64.0,25.0
河    北,35.0,10.0,0.0,0.0,12.0,4.0
山    西,29.0,3.0,0.0,0.0,18.0,6.0
内 蒙 古,49.0,8.0,0.0,0.0,46.0,19.0
,,,,,,
辽    宁,25.0,2.0,0.0,0.0,4.0,0.0
吉    林,39.0,1.0,0.0,0.0,21.0,6.0
黑 龙 江,80.0,6.0,0.0,0.0,72.0,48.0
,,,,,,
上    海,,,,,,
江    苏,82.0,19.0,0.0,0.0,2.0,50.0
浙    江,21.0,7.0,0.0,0.0,0.0,9.0
安    徽,23.0,3.0,0.0,0.0,1.0,15.0
福    建,20.0,0.0,0.0,0.0,0.0,3.0
江    西,17.0,2.0,0.0,1.0,0.0,7.0
山    东,49.0,18.0,8.0,0.0,13.0,10.0
,,,,,,
河    南,37.0,3.0,0.0,0.0,13.0,11.0
湖    北,8.0,2.0,0.0,0.0,0.0,3.0
湖    南,10.0,2.0,0.0,0.0,0.0,4.0
广    东,23.0,1.0,0.0,0.0,0.0,2.0
广    西,13.0,1.0,0.0,0.0,0.0,0.0
海    南,21.0,2.0,0.0,0.0,1.0,2.0
,,,,,,
重    庆,1.0,0.0,0.0,0.0,0.0,0.0
四    川,4.0,2.0,0.0,0.0,0.0,1.0
贵    州,0.0,1.0,0.0,0.0,0.0,0.0
云    南,4.0,1.0,0.0,0.0,0.0,0.0
西    藏,14.0,0.0,0.0,0.0,11.0,6.0
,,,,,,
陕    西,15.0,1.0,0.0,0.0,8.0,4.0
甘    肃,8.0,3.0,0.0,0.0,5.0,3.0
青    海,46.0,4.0,0.0,0.0,36.0,22.0
宁    夏,11.0,3.0,0.0,0.0,5.0,1.0
新    疆,85.0,6.0,1.0,1.0,78.0,58.0
