7-10石油平衡表-PetroleumBalanceSheet-单位：万吨-项目,7-10石油平衡表-PetroleumBalanceSheet-Item,7-10石油平衡表-PetroleumBalanceSheet-2019,7-10石油平衡表-PetroleumBalanceSheet-2020,7-10石油平衡表-PetroleumBalanceSheet-2021,7-10石油平衡表-PetroleumBalanceSheet-2022,7-10石油平衡表-PetroleumBalanceSheet-(10000tons)-2023
,,,,,,
一、可供量,Total Energy Available for Consumption,4103,5148,5793,6953,8460
原油产量,Crude Production,2238,2219,2211,2200,2214
外省(区、市)调入量,Allocation from Other Provinces,3272,3285,3677,2771,15727
进口量,Imports,9558,11028,9741,9325,17955
本省(区、市)调出量(－),Allocation to Other Provinces(-),(10772),(10965),(9602),(8036),27681
出口量(-),Exports(-),0,(2),(6),(12),170
年初年末库存差额,Stock Changes in the Year,(194),(417),(228),705,416
年初库存量,Stock of early Year,1373,1566,1984,2212,1507
年末库存量(-),Stock of Year-end(-),(1566),(1984),(2212),(1507),(1091)
二、消费量,Total Energy Consumption,4103,5148,5793,6953,8460
在总量中：,Consumption by Sector,,,,,
1.农林牧渔业,"1.Agriculture,Forestry,Animal Husbandry
           and Fishery",135,109,114,117,119
2.工  业,2.Industry,1744,3158,3699,4880,6242
3.建筑业,3.Construction,207,212,213,225,242
4.交通运输、仓储和邮政业,"4.Transport,Storage and Post",1360,1042,1102,1139,1250
"5.批发、零售业和住宿、
        餐饮业","5.Wholesale and Retail Trades, Hotels
           and Catering Services",72,66,73,56,51
6.其他行业,6.Other Sectors,76,74,73,40,49
7.生活消费,7.Household Consumption,509,487,519,497,506
在总量中：,Consumption by Usage,,,,,
1.终端消费,1.End-use Consumption,3411,4545,5109,6278,7699
#工业,Industry,1052,2555,3015,4204,5482
2.加工转换损失,"2.Losses During the Process of
           Energy Conversion",692,603,684,676,760
火力发电,Thermal Power,22,30,26,29,29
供    热,Heating,37,33,36,34,59
炼油损耗,Losses in Petroleum Refining,633,536,616,605,663
制    气,Gas Production,0,3,6,8,9
3.损 失 量,3.Other Losses,0,0,0,,0
三、平衡差额,Balance,0,,,,
