3-2-10各地区农业生产经营户年末拥有农业机械数量-地区,单位：台-大中型拖拉机,单位：台-小型拖拉机,单位：台-大中型拖拉机配套农具,单位：台-小型拖拉机配套农具,单位：台-联合收割机
,,,,,
,,,,,
全国总计,1322028.0,25261991.0,1341963.0,24897637.0,527723.0
北    京,2458.0,17223.0,3021.0,4839.0,532.0
天    津,5561.0,53858.0,4926.0,26513.0,2209.0
河    北,103604.0,2724471.0,96709.0,1554625.0,50651.0
山    西,23121.0,354739.0,25969.0,216858.0,5602.0
内 蒙 古,75120.0,954082.0,77367.0,952515.0,4504.0
辽    宁,33105.0,272614.0,27520.0,143712.0,964.0
吉    林,81632.0,1038176.0,72598.0,917416.0,1765.0
黑 龙 江,282385.0,1406833.0,299251.0,1241564.0,18918.0
上    海,1145.0,6207.0,1733.0,3195.0,613.0
江    苏,35012.0,1720318.0,33550.0,1513271.0,70218.0
浙    江,15707.0,81704.0,2451.0,32324.0,7599.0
安    徽,69950.0,3092108.0,79215.0,4330918.0,56304.0
福    建,5724.0,57427.0,914.0,25833.0,1939.0
江    西,3088.0,69382.0,3148.0,115064.0,12437.0
山    东,168872.0,3766405.0,166169.0,2510974.0,84817.0
河    南,136405.0,5489696.0,169820.0,6968292.0,117614.0
湖    北,36737.0,870863.0,34646.0,1405730.0,21849.0
湖    南,11054.0,116306.0,9391.0,360418.0,25650.0
广    东,11119.0,182445.0,6216.0,133187.0,5276.0
广    西,19279.0,539846.0,10313.0,593820.0,3145.0
海    南,2515.0,29494.0,1488.0,45473.0,872.0
重    庆,521.0,2856.0,489.0,5151.0,636.0
四    川,7594.0,93133.0,4503.0,63022.0,5934.0
贵    州,3773.0,25741.0,846.0,9505.0,1368.0
云    南,33090.0,356170.0,6857.0,168496.0,995.0
西    藏,7714.0,84971.0,1978.0,28373.0,2023.0
陕    西,30640.0,227750.0,31435.0,89491.0,14448.0
甘    肃,17181.0,626181.0,15937.0,649275.0,2082.0
青    海,1978.0,268416.0,1462.0,125877.0,381.0
宁    夏,8732.0,226568.0,9258.0,146746.0,2637.0
新    疆,87212.0,506008.0,142783.0,515160.0,3741.0
东部地区,351717.0,8639552.0,317177.0,5850234.0,224726.0
中部地区,280355.0,9993094.0,322189.0,13397280.0,239456.0
西部地区,292834.0,3911722.0,303228.0,3347431.0,41894.0
东北地区,397122.0,2717623.0,399369.0,2302692.0,21647.0
