4-5Illiteratepopulationaged15andabovebyageandsexnationwide-Age-Age,"4-5Illiteratepopulationaged15andabovebyageandsexnationwide-Unit:person,%-Populationaged15andabove-Total","4-5Illiteratepopulationaged15andabovebyageandsexnationwide-Unit:person,%-Populationaged15andabove-Male","4-5Illiteratepopulationaged15andabovebyageandsexnationwide-Unit:person,%-Populationaged15andabove-Female","4-5Illiteratepopulationaged15andabovebyageandsexnationwide-Unit:person,%-Illiteratepopulation-Total","4-5Illiteratepopulationaged15andabovebyageandsexnationwide-Unit:person,%-Illiteratepopulation-Male","4-5Illiteratepopulationaged15andabovebyageandsexnationwide-Unit:person,%-Illiteratepopulation-Female","4-5Illiteratepopulationaged15andabovebyageandsexnationwide-Unit:person,%-Proportionofilliteratepopulationamongpopulationaged15andabove-Total","4-5Illiteratepopulationaged15andabovebyageandsexnationwide-Unit:person,%-Proportionofilliteratepopulationamongpopulationaged15andabove-Male","4-5Illiteratepopulationaged15andabovebyageandsexnationwide-Unit:person,%-Proportionofilliteratepopulationamongpopulationaged15andabove-Female"
,,,,,,,,,
Total,1156394786.0,586822815.0,569571971.0,37704017.0,9499681.0,28204336.0,3.26,1.62,4.95
,,,,,,,,,
15-19 years old,72684140.0,39053343.0,33630797.0,160964.0,90953.0,70011.0,0.22,0.23,0.21
15,15323224.0,8225995.0,7097229.0,40338.0,22373.0,17965.0,0.26,0.27,0.25
16,15218156.0,8195908.0,7022248.0,31005.0,17699.0,13306.0,0.2,0.22,0.19
17,13730626.0,7401041.0,6329585.0,27371.0,15676.0,11695.0,0.2,0.21,0.18
18,14043179.0,7560195.0,6482984.0,30845.0,17526.0,13319.0,0.22,0.23,0.21
19,14368955.0,7670204.0,6698751.0,31405.0,17679.0,13726.0,0.22,0.23,0.2
,,,,,,,,,
20-24 years old,74941675.0,39675995.0,35265680.0,197285.0,103921.0,93364.0,0.26,0.26,0.26
20,14563347.0,7742857.0,6820490.0,37600.0,20534.0,17066.0,0.26,0.27,0.25
21,13935509.0,7389412.0,6546097.0,36330.0,19363.0,16967.0,0.26,0.26,0.26
22,15249809.0,8078183.0,7171626.0,39315.0,20816.0,18499.0,0.26,0.26,0.26
23,15325970.0,8103460.0,7222510.0,40987.0,21306.0,19681.0,0.27,0.26,0.27
24,15867040.0,8362083.0,7504957.0,43053.0,21902.0,21151.0,0.27,0.26,0.28
,,,,,,,,,
25-29 years old,91847332.0,48162270.0,43685062.0,274165.0,132269.0,141896.0,0.3,0.27,0.32
25,17146447.0,9042474.0,8103973.0,47253.0,23581.0,23672.0,0.28,0.26,0.29
26,16826988.0,8845171.0,7981817.0,48975.0,24003.0,24972.0,0.29,0.27,0.31
27,18298935.0,9588428.0,8710507.0,53741.0,26127.0,27614.0,0.29,0.27,0.32
28,19060645.0,9975395.0,9085250.0,58962.0,27984.0,30978.0,0.31,0.28,0.34
29,20514317.0,10710802.0,9803515.0,65234.0,30574.0,34660.0,0.32,0.29,0.35
,,,,,,,,,
30-34 years old,124145190.0,63871808.0,60273382.0,486953.0,215308.0,271645.0,0.39,0.34,0.45
30,25973082.0,13463923.0,12509159.0,84455.0,39240.0,45215.0,0.33,0.29,0.36
31,25451203.0,13094627.0,12356576.0,93435.0,42013.0,51422.0,0.37,0.32,0.42
32,24037711.0,12335076.0,11702635.0,95379.0,42118.0,53261.0,0.4,0.34,0.46
33,25946853.0,13315974.0,12630879.0,107471.0,46689.0,60782.0,0.41,0.35,0.48
34,22736341.0,11662208.0,11074133.0,106213.0,45248.0,60965.0,0.47,0.39,0.55
,,,,,,,,,
35-39 years old,99012932.0,50932037.0,48080895.0,611016.0,244516.0,366500.0,0.62,0.48,0.76
35,19586332.0,10077433.0,9508899.0,105535.0,43834.0,61701.0,0.54,0.43,0.65
36,19499941.0,10034259.0,9465682.0,112622.0,45554.0,67068.0,0.58,0.45,0.71
37,19063741.0,9815714.0,9248027.0,116890.0,46866.0,70024.0,0.61,0.48,0.76
38,21799284.0,11217120.0,10582164.0,137476.0,54340.0,83136.0,0.63,0.48,0.79
39,19063634.0,9787511.0,9276123.0,138493.0,53922.0,84571.0,0.73,0.55,0.91
,,,,,,,,,
40-44 years old,92955330.0,47632694.0,45322636.0,911133.0,322815.0,588318.0,0.98,0.68,1.3
40,17540717.0,8997291.0,8543426.0,148836.0,54907.0,93929.0,0.85,0.61,1.1
41,19339617.0,9934985.0,9404632.0,167726.0,61871.0,105855.0,0.87,0.62,1.13
42,18564211.0,9492205.0,9072006.0,181706.0,64060.0,117646.0,0.98,0.67,1.3
43,17758286.0,9097039.0,8661247.0,188792.0,66280.0,122512.0,1.06,0.73,1.41
44,19752499.0,10111174.0,9641325.0,224073.0,75697.0,148376.0,1.13,0.75,1.54
,,,,,,,,,
45-49 years old,114224887.0,58191686.0,56033201.0,1616601.0,508807.0,1107794.0,1.42,0.87,1.98
45,20259918.0,10335133.0,9924785.0,248993.0,82186.0,166807.0,1.23,0.8,1.68
46,22208985.0,11305313.0,10903672.0,292934.0,94620.0,198314.0,1.32,0.84,1.82
47,23233417.0,11844299.0,11389118.0,325638.0,103057.0,222581.0,1.4,0.87,1.95
48,23862010.0,12147117.0,11714893.0,361381.0,110731.0,250650.0,1.51,0.91,2.14
49,24660557.0,12559824.0,12100733.0,387655.0,118213.0,269442.0,1.57,0.94,2.23
,,,,,,,,,
50-54 years old,121164296.0,61105470.0,60058826.0,2486802.0,684860.0,1801942.0,2.05,1.12,3.0
50,26062036.0,13149971.0,12912065.0,454287.0,130852.0,323435.0,1.74,1.0,2.5
51,24444570.0,12342864.0,12101706.0,470137.0,133946.0,336191.0,1.92,1.09,2.78
52,26105080.0,13149508.0,12955572.0,536627.0,146846.0,389781.0,2.06,1.12,3.01
53,20959668.0,10539231.0,10420437.0,476945.0,128053.0,348892.0,2.28,1.22,3.35
54,23592942.0,11923896.0,11669046.0,548806.0,145163.0,403643.0,2.33,1.22,3.46
,,,,,,,,,
55-59 years old,101400786.0,50816026.0,50584760.0,2709753.0,627728.0,2082025.0,2.67,1.24,4.12
55,23106155.0,11648724.0,11457431.0,553513.0,140535.0,412978.0,2.4,1.21,3.6
56,22559346.0,11301683.0,11257663.0,565808.0,137611.0,428197.0,2.51,1.22,3.8
57,26044142.0,13130492.0,12913650.0,644999.0,149350.0,495649.0,2.48,1.14,3.84
58,19132096.0,9562232.0,9569864.0,577792.0,123143.0,454649.0,3.02,1.29,4.75
59,10559047.0,5172895.0,5386152.0,367641.0,77089.0,290552.0,3.48,1.49,5.39
,,,,,,,,,
60-64 years old,73382938.0,36871125.0,36511813.0,3674128.0,855095.0,2819033.0,5.01,2.32,7.72
60,12899885.0,6442344.0,6457541.0,477722.0,107330.0,370392.0,3.7,1.67,5.74
61,12135959.0,6148108.0,5987851.0,532335.0,125928.0,406407.0,4.39,2.05,6.79
62,15464277.0,7832019.0,7632258.0,772315.0,185818.0,586497.0,4.99,2.37,7.68
63,17232007.0,8678055.0,8553952.0,945872.0,220447.0,725425.0,5.49,2.54,8.48
64,15650810.0,7770599.0,7880211.0,945884.0,215572.0,730312.0,6.04,2.77,9.27
,,,,,,,,,
65-69 years old,74005560.0,36337923.0,37667637.0,5709805.0,1316922.0,4392883.0,7.72,3.62,11.66
65,16295105.0,8101750.0,8193355.0,1065356.0,243016.0,822340.0,6.54,3.0,10.04
66,16248455.0,8003803.0,8244652.0,1157139.0,262520.0,894619.0,7.12,3.28,10.85
67,14620318.0,7147712.0,7472606.0,1156562.0,265319.0,891243.0,7.91,3.71,11.93
68,14550479.0,7115265.0,7435214.0,1237029.0,289077.0,947952.0,8.5,4.06,12.75
69,12291203.0,5969393.0,6321810.0,1093719.0,256990.0,836729.0,8.9,4.31,13.24
,,,,,,,,,
70-74 years old,49590036.0,24162733.0,25427303.0,5370160.0,1313312.0,4056848.0,10.83,5.44,15.95
70,11600773.0,5667080.0,5933693.0,1104048.0,269387.0,834661.0,9.52,4.75,14.07
71,11228645.0,5539299.0,5689346.0,1170906.0,297035.0,873871.0,10.43,5.36,15.36
72,9552234.0,4640378.0,4911856.0,1063728.0,261166.0,802562.0,11.14,5.63,16.34
73,9046226.0,4399581.0,4646645.0,1041161.0,253744.0,787417.0,11.51,5.77,16.95
74,8162158.0,3916395.0,4245763.0,990317.0,231980.0,758337.0,12.13,5.92,17.86
,,,,,,,,,
75-79 years old,31238849.0,14752433.0,16486416.0,4682584.0,1115236.0,3567348.0,14.99,7.56,21.64
75,7179399.0,3414021.0,3765378.0,942015.0,219006.0,723009.0,13.12,6.41,19.2
76,6818961.0,3265307.0,3553654.0,973335.0,233677.0,739658.0,14.27,7.16,20.81
77,6019552.0,2835339.0,3184213.0,920192.0,219567.0,700625.0,15.29,7.74,22.0
78,5672036.0,2657484.0,3014552.0,901166.0,216003.0,685163.0,15.89,8.13,22.73
79,5548901.0,2580282.0,2968619.0,945876.0,226983.0,718893.0,17.05,8.8,24.22
,,,,,,,,,
80-84 years old,20382878.0,9157003.0,11225875.0,4285400.0,1023190.0,3262210.0,21.02,11.17,29.06
80,4919088.0,2271741.0,2647347.0,902844.0,217945.0,684899.0,18.35,9.59,25.87
81,4139582.0,1869035.0,2270547.0,836814.0,203040.0,633774.0,20.21,10.86,27.91
82,4242478.0,1914824.0,2327654.0,909420.0,221028.0,688392.0,21.44,11.54,29.57
83,3711083.0,1645840.0,2065243.0,837494.0,198295.0,639199.0,22.57,12.05,30.95
84,3370647.0,1455563.0,1915084.0,798828.0,182882.0,615946.0,23.7,12.56,32.16
,,,,,,,,,
85 and above,15417957.0,6100269.0,9317688.0,4527268.0,944749.0,3582519.0,29.36,15.49,38.45
