6-8天然气平衡表-NaturalGasBalanceSheet-单位：亿立方米-项目,6-8天然气平衡表-NaturalGasBalanceSheet-Item,6-8天然气平衡表-NaturalGasBalanceSheet-2017,6-8天然气平衡表-NaturalGasBalanceSheet-2018,6-8天然气平衡表-NaturalGasBalanceSheet-2019,6-8天然气平衡表-NaturalGasBalanceSheet-2020,6-8天然气平衡表-NaturalGasBalanceSheet-(100millioncu.m)-2021
,,,,,,
可供量,Total Energy Available for Consumption,216,237.0,254.0,262.0,285.0
生产量,Output,344,370.0,441.0,463.0,522.0
外省(区、市)调入量,Imports from Other Provinces,0,,,0.0,0.0
进口量,Imports,,,,,
境内飞机和轮船在境外加油量,"The Refill of petroleum by Domestic
       Airplanes  and Ships Abroad",,,,,
本省(区、市)调出量(-),Exports from Sichuan(-),128,133.0,187.0,202.0,237.0
出口量(-),Exports(-),,,,,
境外飞机和轮船在境内加油量（-）,"The Refill of petroleum by Oversea
     Airplanes  and Ships domestically(-)",,,,,
年初年末库存差额,Stock Changes in the Year,(0),,,0.0,
年初库存量,Stock (year-beginning),,0.0,0.0,0.0,0.0
年末库存量(-),Stock (year-end)(-),0,0.0,0.0,0.0,0.0
消费量,Total Energy Consumption,216,237.0,254.0,262.0,285.0
在总量中：,Consumption by Sector,,,,,
1.农、林、牧、渔业,"1.Agriculture, Forestry, Animal
      Husbandry and Fishery",1,1.0,1.0,1.0,1.0
2.工业,2.Industry,134,146.0,163.0,169.0,190.0
3.建筑业,3.Construction,1,1.0,0.0,0.0,0.0
4.交通运输、仓储和邮政业,"4.Transport, Storage and Post",18,20.0,20.0,19.0,18.0
5.批发和零售业、住宿和餐饮业,"5.Wholesale and Retail Trades, 
       Hotels and Catering Services",11,13.0,13.0,12.0,12.0
6.其他,6.Other,7,8.0,7.0,7.0,7.0
7.居民生活,7.Household Consumption,44,49.0,51.0,54.0,56.0
在总量中：,Consumption by Usage,,,,,
1.终端消费,1.Final Consumption,205,225.0,239.0,242.0,261.0
#工业,Industry,127,138.0,152.0,150.0,166.0
2.中间消费(加工转换),"2. Intermediate Consumption
        (for processing conversion)",7,8.0,11.0,14.0,16.0
火力发电,Thermal Power Generation,3,4.0,5.0,5.0,7.0
供热,Heating,3,3.0,4.0,4.0,5.0
制气,Gas Production,,,,3.0,3.0
天然气液化,Liquefied Natural Gas,1,1.0,2.0,2.0,2.0
3.损失量,3.Other Losses,4,4.0,4.0,6.0,8.0
平衡差额,Balance,,,,,
