7-1全国按现住地、户口登记地、性别分的户口登记地在外乡镇街道的人口-现住地-现住地-现住地-现住地,户口登记地-合计-合计-合计,户口登记地-合计-合计-男,户口登记地-合计-合计-女,户口登记地-省内-省内-小计,户口登记地-省内-省内-男,户口登记地-省内-省内-女,户口登记地-市辖区内人户分离-小计,户口登记地-市辖区内人户分离-男,户口登记地-市辖区内人户分离-女,户口登记地-省内流动人口-小计,户口登记地-省内流动人口-男,户口登记地-省内流动人口-女,户口登记地-省外-省外-小计,户口登记地-省外-省外-男,单位：人-户口登记地-省外-省外-女
,,,,,,,,,,,,,,,
全    国,492762506.0,255896268.0,236866238.0,367925353.0,184207146.0,183718207.0,116945747.0,57200933.0,59744814.0,250979606.0,127006213.0,123973393.0,124837153.0,71689122.0,53148031.0
,,,,,,,,,,,,,,,
北    京,13409576.0,6977849.0,6431727.0,4991158.0,2432369.0,2558789.0,4991158.0,2432369.0,2558789.0,0.0,0.0,0.0,8418418.0,4545480.0,3872938.0
天    津,6479695.0,3455513.0,3024182.0,2944879.0,1433504.0,1511375.0,2944879.0,1433504.0,1511375.0,0.0,0.0,0.0,3534816.0,2022009.0,1512807.0
河    北,19775641.0,9923785.0,9851856.0,16620369.0,8158858.0,8461511.0,4442713.0,2147690.0,2295023.0,12177656.0,6011168.0,6166488.0,3155272.0,1764927.0,1390345.0
山    西,12891174.0,6655644.0,6235530.0,11270656.0,5658930.0,5611726.0,3217374.0,1581277.0,1636097.0,8053282.0,4077653.0,3975629.0,1620518.0,996714.0,623804.0
内 蒙 古,11462961.0,5858767.0,5604194.0,9776541.0,4855871.0,4920670.0,2394517.0,1170223.0,1224294.0,7382024.0,3685648.0,3696376.0,1686420.0,1002896.0,683524.0
,,,,,,,,,,,,,,,
辽    宁,15670121.0,7760506.0,7909615.0,12822813.0,6245740.0,6577073.0,5676890.0,2758248.0,2918642.0,7145923.0,3487492.0,3658431.0,2847308.0,1514766.0,1332542.0
吉    林,10350683.0,5033163.0,5317520.0,9349212.0,4519863.0,4829349.0,2399266.0,1153355.0,1245911.0,6949946.0,3366508.0,3583438.0,1001471.0,513300.0,488171.0
黑 龙 江,11549584.0,5721373.0,5828211.0,10720408.0,5273154.0,5447254.0,3067675.0,1501822.0,1565853.0,7652733.0,3771332.0,3881401.0,829176.0,448219.0,380957.0
,,,,,,,,,,,,,,,
上    海,15134258.0,8036541.0,7097717.0,4654606.0,2247450.0,2407156.0,4654606.0,2247450.0,2407156.0,0.0,0.0,0.0,10479652.0,5789091.0,4690561.0
江    苏,29979948.0,15793646.0,14186302.0,19671338.0,9902505.0,9768833.0,6316191.0,3052541.0,3263650.0,13355147.0,6849964.0,6505183.0,10308610.0,5891141.0,4417469.0
浙    江,30107815.0,16424000.0,13683815.0,13921361.0,6954151.0,6967210.0,4550365.0,2203266.0,2347099.0,9370996.0,4750885.0,4620111.0,16186454.0,9469849.0,6716605.0
安    徽,18099918.0,9098260.0,9001658.0,16549409.0,8225763.0,8323646.0,4227612.0,2051466.0,2176146.0,12321797.0,6174297.0,6147500.0,1550509.0,872497.0,678012.0
福    建,16464611.0,8798376.0,7666235.0,11574735.0,5950257.0,5624478.0,2803364.0,1374494.0,1428870.0,8771371.0,4575763.0,4195608.0,4889876.0,2848119.0,2041757.0
江    西,13520934.0,7004148.0,6516786.0,12241920.0,6272613.0,5969307.0,3886904.0,1962289.0,1924615.0,8355016.0,4310324.0,4044692.0,1279014.0,731535.0,547479.0
山    东,28026762.0,14417484.0,13609278.0,23897755.0,12038008.0,11859747.0,7283477.0,3583179.0,3700298.0,16614278.0,8454829.0,8159449.0,4129007.0,2379476.0,1749531.0
,,,,,,,,,,,,,,,
河    南,25639605.0,12993565.0,12646040.0,24365959.0,12268323.0,12097636.0,4437885.0,2165129.0,2272756.0,19928074.0,10103194.0,9824880.0,1273646.0,725242.0,548404.0
湖    北,18476561.0,9425843.0,9050718.0,16226947.0,8202406.0,8024541.0,5712376.0,2840088.0,2872288.0,10514571.0,5362318.0,5152253.0,2249614.0,1223437.0,1026177.0
湖    南,17575847.0,8865460.0,8710387.0,15998284.0,8020026.0,7978258.0,3403819.0,1674350.0,1729469.0,12594465.0,6345676.0,6248789.0,1577563.0,845434.0,732129.0
广    东,60635086.0,33711847.0,26923239.0,31012976.0,16200166.0,14812810.0,8568936.0,4203808.0,4365128.0,22444040.0,11996358.0,10447682.0,29622110.0,17511681.0,12110429.0
广    西,13238781.0,6678931.0,6559850.0,11879397.0,5897312.0,5982085.0,3716255.0,1835365.0,1880890.0,8163142.0,4061947.0,4101195.0,1359384.0,781619.0,577765.0
海    南,3498161.0,1849608.0,1648553.0,2410018.0,1205256.0,1204762.0,835883.0,418604.0,417279.0,1574135.0,786652.0,787483.0,1088143.0,644352.0,443791.0
,,,,,,,,,,,,,,,
重    庆,13096435.0,6549022.0,6547413.0,10902860.0,5378142.0,5524718.0,8285047.0,4079111.0,4205936.0,2617813.0,1299031.0,1318782.0,2193575.0,1170880.0,1022695.0
四    川,27823204.0,13828619.0,13994585.0,25233163.0,12415382.0,12817781.0,7134650.0,3463931.0,3670719.0,18098513.0,8951451.0,9147062.0,2590041.0,1413237.0,1176804.0
贵    州,11694763.0,5828497.0,5866266.0,10548217.0,5172043.0,5376174.0,2104710.0,1012462.0,1092248.0,8443507.0,4159581.0,4283926.0,1146546.0,656454.0,490092.0
云    南,12209314.0,6342780.0,5866534.0,9978920.0,4986941.0,4991979.0,1610264.0,785468.0,824796.0,8368656.0,4201473.0,4167183.0,2230394.0,1355839.0,874555.0
西    藏,1031132.0,591209.0,439923.0,624011.0,309668.0,314343.0,138902.0,69497.0,69405.0,485109.0,240171.0,244938.0,407121.0,281541.0,125580.0
,,,,,,,,,,,,,,,
陕    西,13267095.0,6913899.0,6353196.0,11333383.0,5782547.0,5550836.0,3993217.0,1975737.0,2017480.0,7340166.0,3806810.0,3533356.0,1933712.0,1131352.0,802360.0
甘    肃,7352465.0,3779111.0,3573354.0,6586817.0,3318735.0,3268082.0,2010870.0,987531.0,1023339.0,4575947.0,2331204.0,2244743.0,765648.0,460376.0,305272.0
青    海,2070660.0,1092431.0,978229.0,1653356.0,830175.0,823181.0,464625.0,224456.0,240169.0,1188731.0,605719.0,583012.0,417304.0,262256.0,155048.0
宁    夏,3362670.0,1739397.0,1623273.0,2687551.0,1344638.0,1342913.0,855675.0,417793.0,437882.0,1831876.0,926845.0,905031.0,675119.0,394759.0,280360.0
新    疆,8867046.0,4746994.0,4120052.0,5476334.0,2706350.0,2769984.0,815642.0,394430.0,421212.0,4660692.0,2311920.0,2348772.0,3390712.0,2040644.0,1350068.0
