4-1c全国分年龄、性别、受教育程度的6岁及以上人口(乡村)-年龄,单位：人-6岁及以上人口-合计,男,女,未上过学-小计,男.1,女.1,小学-小计,男.2,女.2,初中-小计,男.3,女.3,高中-小计,男.4,女.4,大学专科-小计,男.5,女.5,大学本科-小计,男.6,女.6,研究生-小计,男.7,女.7
总  计,609708623,310363106,299345517,44174664,12826175,31348489,232068330,109823110,122245220,273812219,151364449,122447770,47099999.0,29167514.0,17932485.0,9415451.0,5396414.0,4019037.0,3022393.0,1722565.0,1299828.0,115567.0,62879.0,52688.0
6-9岁,31815330,17271377,14543953,1286553,681572,604981,30198028,16409990,13788038,330602,179732,150870,147.0,83.0,64.0,,,,,,,,,
6,8470191,4599842,3870349,849840,453036,396804,7556896,4112412,3444484,63455,34394,29061,,,,,,,,,,,,
7,7727242,4192802,3534440,209942,109971,99971,7448730,4045605,3403125,68570,37226,31344,,,,,,,,,,,,
8,7637507,4152404,3485103,123003,64377,58626,7438264,4046657,3391607,76170,41332,34838,70.0,38.0,32.0,,,,,,,,,
9,7980390,4326329,3654061,103768,54188,49580,7754138,4205316,3548822,122407,66780,55627,77.0,45.0,32.0,,,,,,,,,
10-14岁,42100936,22602487,19498449,402983,208157,194826,24215676,13094396,11121280,17123548,9112351,8011197,358263.0,187335.0,170928.0,371.0,190.0,181.0,84.0,50.0,34.0,11.0,8.0,3.0
10,7972263,4313840,3658423,100843,53090,47753,7607408,4118849,3488559,263835,141799,122036,156.0,90.0,66.0,16.0,10.0,6.0,5.0,2.0,3.0,,,
11,7803357,4207471,3595886,87593,45442,42151,6755174,3654078,3101096,960041,507647,452394,476.0,267.0,209.0,53.0,24.0,29.0,20.0,13.0,7.0,,,
12,8742505,4693137,4049368,78419,40319,38100,5411937,2940380,2471557,3251292,1711986,1539306,749.0,400.0,349.0,85.0,39.0,46.0,22.0,12.0,10.0,1.0,1.0,
13,8641442,4626494,4014948,69030,35401,33629,2877193,1555038,1322155,5611982,2991458,2620524,83150.0,44544.0,38606.0,67.0,39.0,28.0,16.0,11.0,5.0,4.0,3.0,1.0
14,8941369,4761545,4179824,67098,33905,33193,1563964,826051,737913,7036398,3759461,3276937,273732.0,142034.0,131698.0,150.0,78.0,72.0,21.0,12.0,9.0,6.0,4.0,2.0
15-19岁,46299122,24301053,21998069,343900,164226,179674,4782776,2385008,2397768,28076514,14918579,13157935,11601748.0,6126833.0,5474915.0,1087680.0,508211.0,579469.0,403801.0,196807.0,206994.0,2703.0,1389.0,1314.0
15,9477359,5038471,4438888,68628,34278,34350,1089371,565665,523706,7080404,3803544,3276860,1216576.0,624704.0,591872.0,20187.0,9159.0,11028.0,1689.0,852.0,837.0,504.0,269.0,235.0
16,8748627,4618142,4130485,65057,31431,33626,883881,448841,435040,5512798,2953698,2559100,2240180.0,1162744.0,1077436.0,42102.0,19208.0,22894.0,4188.0,2022.0,2166.0,421.0,198.0,223.0
17,9196439,4833071,4363368,67780,32263,35517,896345,447698,448647,5150758,2742945,2407813,2954424.0,1551732.0,1402692.0,103021.0,47014.0,56007.0,23566.0,11125.0,12441.0,545.0,294.0,251.0
18,9268124,4842152,4425972,69443,32496,36947,924350,451387,472963,5020219,2652267,2367952,2816114.0,1502760.0,1313354.0,314093.0,144433.0,169660.0,123360.0,58522.0,64838.0,545.0,287.0,258.0
19,9608573,4969217,4639356,72992,33758,39234,988829,471417,517412,5312335,2766125,2546210,2374454.0,1284893.0,1089561.0,608277.0,288397.0,319880.0,250998.0,124286.0,126712.0,688.0,341.0,347.0
20-24岁,56354000,27966789,28387211,518148,217485,300663,6364535,2798224,3566311,35182009,17302151,17879858,9069462.0,4977110.0,4092352.0,3791664.0,1922493.0,1869171.0,1395775.0,733808.0,661967.0,32407.0,15518.0,16889.0
20,12336988,6235158,6101830,98037,43668,54369,1333680,612311,721369,7139123,3599740,3539383,2474915.0,1341351.0,1133564.0,925829.0,451647.0,474182.0,364016.0,185753.0,178263.0,1388.0,688.0,700.0
