表1-5湖南省各地区分性别、受教育程度的6岁及以上人口-地区别-地区别,6岁及以上人口-小计,6岁及以上人口-男,6岁及以上人口-女,未上过学-小计,未上过学-男,未上过学-女,小学-小计,小学-男,小学-女,初中-小计,初中-男,单位：人-初中-女,高中-小计,高中-男,高中-女,大学专科-小计,大学专科-男,大学专科-女,大学本科-小计,大学本科-男,大学本科-女,研究生及以上-小计,研究生及以上-男,研究生及以上-女
湖南省,584263,296349,287914,47325,12652,34673,197307,97952,99355,231848,123568,108280,81552,46579,34973,18448,10663,7785,7406,4657,2749,377.0,278.0,99.0
长沙市,58881,29581,29300,2106,490,1616,16511,8107,8404,23548,12186,11362,10545,5358,5187,3618,1909,1709,2346,1378,968,207.0,153.0,54.0
株洲市,33949,17120,16829,1917,464,1453,11660,5664,5996,14021,7432,6589,4854,2705,2149,1090,605,485,395,239,156,12.0,11.0,1.0
湘潭市,29553,14879,14674,1293,302,991,9121,4628,4493,12631,6400,6231,4877,2571,2306,1208,714,494,415,259,156,8.0,5.0,3.0
衡阳市,62039,31647,30392,4815,1325,3490,21340,10546,10794,25768,13774,11994,7675,4503,3172,1726,1039,687,664,422,242,51.0,38.0,13.0
邵阳市,62903,31834,31069,5978,1432,4546,19468,9752,9716,24759,13104,11655,10545,6212,4333,1690,1010,680,448,315,133,15.0,9.0,6.0
岳阳市,45983,23639,22344,2749,710,2039,14137,7014,7123,20019,10546,9473,6982,4141,2841,1493,824,669,587,391,196,16.0,13.0,3.0
常德市,48968,24525,24443,4554,1311,3243,17246,8638,8608,17375,9065,8310,7405,4070,3335,1741,1031,710,631,399,232,16.0,11.0,5.0
张家界市,13626,6877,6749,1900,588,1312,5611,2863,2748,4605,2514,2091,1247,748,499,213,130,83,50,34,16,,,
益阳市,37769,19195,18574,2773,775,1998,13585,6798,6787,15684,8284,7400,4778,2753,2025,735,453,282,210,128,82,4.0,4.0,0.0
郴州市,45793,23506,22287,3555,935,2620,16049,7523,8526,18611,10517,8094,5626,3350,2276,1406,800,606,530,367,163,16.0,14.0,2.0
永州市,42871,21929,20942,4359,1233,3126,15017,7434,7583,17634,9539,8095,4713,3003,1710,857,534,323,283,182,101,8.0,4.0,4.0
怀化市,43566,22266,21300,5223,1525,3698,15992,8127,7865,16300,9028,7272,4661,2714,1947,1045,642,403,331,220,111,14.0,10.0,4.0
娄底市,33968,17081,16887,2722,642,2080,10982,5573,5409,13568,6996,6572,5407,3093,2314,939,560,379,341,212,129,9.0,5.0,4.0
湘西土家族苗族自治州,24394,12270,12124,3381,920,2461,10588,5285,5303,7325,4183,3142,2237,1358,879,687,412,275,175,111,64,1.0,1.0,0.0
