8-1  VariousGeneralPriceIndices-Lastyear=100-Year-Year,8-1  VariousGeneralPriceIndices-Lastyear=100-ConsumerPriceIndex-ConsumerPriceIndex,8-1  VariousGeneralPriceIndices-Lastyear=100-ProducerPriceIndexforIndustrialProducts-ProducerPriceIndexforIndustrialProducts
2005,,101
2006,,107
2007,,104
2008,,104
2009,,93
2010,102,109
2011,106,112
2012,102,97
2013,102,97
2014,102,99
2015,101,93
2016,102,100
2017,101,113
2018,102,107
2019,103,100
2020,103,
2021,101,
2022,102,
,,
Note: Chizhou City began conducting consumer price surveys starting from 2010.,Note: Chizhou City began conducting consumer price surveys starting from 2010.,Note: Chizhou City began conducting consumer price surveys starting from 2010.
