2-4-21各地区山区乡镇农业生产经营单位农业技术人员数量-地区,2-4-21各地区山区乡镇农业生产经营单位农业技术人员数量-单位：人-合计,2-4-21各地区山区乡镇农业生产经营单位农业技术人员数量-单位：人-初级-初级,2-4-21各地区山区乡镇农业生产经营单位农业技术人员数量-单位：人-中级-中级,2-4-21各地区山区乡镇农业生产经营单位农业技术人员数量-单位：人-高级-高级
,,,,
全国总计,258812.0,159948.0,78261.0,20608.0
北    京,679.0,463.0,157.0,59.0
天    津,80.0,54.0,26.0,
河    北,5714.0,2605.0,2081.0,1028.0
山    西,5420.0,3179.0,1722.0,519.0
内 蒙 古,7921.0,5083.0,2033.0,805.0
辽    宁,6682.0,4152.0,2105.0,425.0
吉    林,7784.0,4629.0,2577.0,578.0
黑 龙 江,18630.0,9205.0,7528.0,1897.0
上    海,,,,
江    苏,72.0,50.0,22.0,
浙    江,7876.0,5288.0,2374.0,216.0
安    徽,5465.0,3019.0,1918.0,528.0
福    建,25430.0,19646.0,4875.0,910.0
江    西,7235.0,4658.0,2007.0,571.0
山    东,4811.0,2733.0,1649.0,429.0
河    南,5014.0,2174.0,2300.0,540.0
湖    北,13489.0,8053.0,4549.0,885.0
湖    南,11783.0,6860.0,4036.0,888.0
广    东,7542.0,4821.0,2270.0,453.0
广    西,10662.0,6580.0,3472.0,611.0
海    南,1441.0,1070.0,300.0,71.0
重    庆,4749.0,3224.0,1263.0,262.0
四    川,16908.0,10736.0,5288.0,885.0
贵    州,17620.0,12679.0,4018.0,923.0
云    南,29599.0,17487.0,8410.0,3702.0
西    藏,446.0,227.0,107.0,112.0
陕    西,9728.0,5619.0,3182.0,927.0
甘    肃,10799.0,6681.0,3407.0,710.0
青    海,9091.0,5323.0,2684.0,1084.0
宁    夏,2368.0,1430.0,742.0,196.0
新    疆,3774.0,2220.0,1159.0,394.0
东部地区,53645.0,36730.0,13754.0,3166.0
中部地区,48406.0,27943.0,16532.0,3931.0
西部地区,123665.0,77289.0,35765.0,10611.0
东北地区,33096.0,17986.0,12210.0,2900.0
