1-1-9全国按乡村类型和受教育程度分的住户农业从业人员数量,单位：人,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
名        称,合计,未上学,小学,初中,高中,大专及以上,未回答
,,,,,,,
合        计,342463995,32512116,140872171,154281177,14031669,766860,2
一、按社区类型分,,,,,,,
村委会,333684993,31858346,137693827,149953554,13472044,707220,2
居委会,6075378,494504,2376906,2863184,319493,21291,
农场,1966458,105299,547076,1107187,176266,30630,
二、按地势分,,,,,,,
平原,135485165,10284566,47622467,70929554,6272464,376112,2
丘陵,110167471,8730490,46777289,49819521,4633446,206725,
山区,95985895,13437371,46190347,33129772,3053298,175107,
三、按贫困村类型分,,,,,,,
非贫困村,270346671,23344338,107995653,126776027,11619249,611402,2
贫困村,71291023,9108058,32594206,27102304,2339923,146532,
省定贫困村,48410554,6374031,21877358,18462915,1593011,103239,
省以下定贫困村,22880469,2734027,10716848,8639389,746912,43293,
四、按是否少数民族聚居村分,,,,,,,
是,46039392,6770057,21676705,16043026,1414179,135425,2
否,295597825,25682294,118912732,137835390,12544919,622488,
五、按所在乡镇类型分,,,,,,,
乡,108757710,12444761,45482276,46573978,3997907,258788,
镇,220718427,19209118,90695188,101093689,9274397,446033,2
街道,10265970,695276,3856900,5145432,540529,27833,
农场,2629682,154832,801966,1425861,213338,33685,
六、按所在乡镇是否县政府驻地分,,,,,,,
是,23302896,2084648,9433880,10651323,1072162,60883,
否,319068893,30419339,131402450,143587637,12954009,705456,2
七、按所在乡镇是否民族乡镇分,,,,,,,
是,19729492,2562606,8965985,7492058,643864,64979,
否,322642297,29941381,131870345,146746902,13382307,701360,2
八、按所在乡镇是否老区分,,,,,,,
是,78271253,7601037,33039596,34172579,3308820,149221,
否,264100536,24902950,107796734,120066381,10717351,617118,2
九、按所在乡镇是否边区分,,,,,,,
是,14007787,1576101,6243056,5570469,572874,45287,
否,328364002,30927886,134593274,148668491,13453297,721052,2
十、无对应乡表的分组,92206,8129,35841,42217,5498,521,
十一、无对应村表的分组,737166,53967,254362,357252,63866,7719,
