客户,商品名称,单位,数量,入库金额（元）,出库金额（元）,毛利（元）
爱琅（威海）医疗器械有限公司,复合大豆亲肤被,件,6.0,1187,1200,13
慈新兴,维纳斯苹果（85#）,箱,4.0,640,672,32
个人现销,生态嘿猪,盒,10.0,2180,2280,100
个人现销,会飞的鸡,盒,2.0,300,336,36
个人现销,法国卡斯特玛西美露干红,瓶,402.0,79596,100500,20904
个人现销,生态嘿猪,盒,50.0,10900,14900,4000
个人现销,生态嘿猪排骨,箱,50.0,12000,14900,2900
个人现销,弗朗索瓦2011FRANCOIS,瓶,12.0,4752,5037,285
个人现销,焦煤在线,瓶,12.0,4776,5280,504
个人现销,弗朗索瓦2011FRANCOIS,瓶,12.0,4752,5037,285
个人现销,弗朗索瓦2011FRANCOIS,瓶,72.0,28512,30000,1488
个人现销,马茜葡萄酒,瓶,48.0,8064,10460,2396
个人现销,野生海捕虾,斤,18.0,5040,5100,60
个人现销,即食海参（斤）,斤,12.0,3840,3900,60
个人现销,故宫御酒500ml,瓶,6.0,2442,2442,0
个人现销,阿兰颂酒庄干红,瓶,2.0,596,600,4
个人现销,面塑-生肖150g,个,6.0,59,59,0
个人现销,瑞可安消毒液（80ml）,瓶,111.0,666,666,0
个人现销,瑞可安葡萄糖酸氯己定消毒液（500ml）,瓶,11.0,154,154,0
个人现销,美枣樱桃（大）,斤,14.0,560,560,0
个人现销,美枣樱桃箱装（中大）,箱,2.0,500,800,300
个人现销,美枣樱桃箱装（小）,箱,2.0,300,300,0
个人现销,次樱桃箱装,箱,5.0,250,250,0
个人现销,美枣樱桃箱装（中大）,箱,4.0,1000,1700,700
个人现销,美枣樱桃箱装（大）,箱,2.0,350,350,0
个人现销,水晶樱桃（箱装）,箱,2.0,420,600,180
个人现销,水晶樱桃（箱装）,箱,4.0,840,1200,360
个人现销,水晶樱桃（箱装）,箱,1.0,210,210,0
个人现销,美枣樱桃箱装（中大）,箱,6.0,1500,1500,0
个人现销,美枣樱桃箱装（特大）,箱,1.0,500,500,0
个人现销,蜂蜜（1斤）,瓶,2.0,160,160,0
个人现销,美枣樱桃箱装（大）,箱,3.0,525,525,0
个人现销,水晶樱桃（箱装）,箱,2.0,420,420,0
环翠区丰轩海产品商行,维纳斯苹果（85#）,箱,4.0,640,672,32
环翠区丰轩海产商行,生态嘿猪,盒,10.0,2180,2980,800
环翠区景恒食品加工厂,非转基因大豆油10L,桶,18.0,2250,2250,0
环翠区景恒食品加工厂,非转基因大豆油10L,桶,20.0,2500,2500,0
环翠区景恒食品加工厂,非转基因大豆油10L,桶,20.0,2500,2500,0
环翠区孙智发海产品店,生态嘿猪（5斤）,盒,6.0,1308,1788,480
环翠区长兴劳保用品商行,水鞋,双,26.0,832,832,0
集团工会联合会,维纳斯苹果（85#）,箱,5.0,1500,1500,0
集团工会联合会,苹果（箱装）,箱,5.0,700,900,200
集团工会联合会,生态嘿猪,盒,60.0,13080,15480,2400
集团工会联合会,海鲜礼盒,箱,60.0,9000,12000,3000
刘志刚（威海京珍贸易有限公司）,海鲜礼盒,箱,20.0,1853,3000,1147
迈途医疗科技（山东）有限公司,复合大豆亲肤被,件,7.0,1385,1400,15
迈途医疗科技（山东）有限公司,美枣樱桃箱装（中大）,箱,7.0,2660,2660,0
内蒙古威高医药科技有限公司,复合大豆亲肤被,件,1.0,198,200,2
荣成市合升水产品有限公司,鸡肉丝（调理）kg,千克,3000.0,33900,37800,3900
荣成市合升水产品有限公司,鸡肉丁（调理）kg,千克,3000.0,33900,37800,3900
荣成市合升水产品有限公司,生态嘿猪,盒,20.0,4360,5960,1600
荣成市合升水产品有限公司,生态嘿猪排骨,箱,2.0,896,896,0
荣成市合升水产品有限公司,有机蔬菜礼盒,盒,2.0,216,216,0
荣成市合升水产品有限公司,鸡蛋（5斤）,箱,1.0,40,40,0
荣成市合升水产品有限公司,五福甄稻礼盒,盒,2.0,428,556,128
荣成市合升水产品有限公司,西兰花块,斤,20000.0,50000,52000,2000
荣成市合升水产品有限公司,茄子块（SP）,千克,14573.0,54354,67036,12682
荣成市合升水产品有限公司,油炸茄块1,千克,6320.0,36266,37920,1654
荣成市合升水产品有限公司,富士苹果（95#）,箱,7.0,490,490,0
荣成市人和镇东源水产品加工厂,生态嘿猪,盒,10.0,2180,2980,800
乳山市智发海产品养殖场,沃柑（10斤）,箱,10.0,500,650,150
乳山市智发海产品养殖场,美枣樱桃箱装（特大）,箱,2.0,1000,1000,0
山东柏清能源科技有限公司,复合大豆亲肤被,件,6.0,1187,1200,13
山东德康血液透析服务管理有限公司,复合大豆亲肤被,件,10.0,1978,2000,22
山东高赛德科技发展股份有限公司,复合大豆亲肤被,件,6.0,1187,1200,13
山东龙大美食股份有限公司,焦煤在线,瓶,12.0,4776,5280,504
山东龙大美食股份有限公司,沃柑（10斤）,箱,6.0,300,390,90
山东七福健康科技有限公司,维纳斯苹果（85#）,箱,2.0,320,320,0
山东七福健康科技有限公司,胶东饽饽礼盒（盒）,盒,2.0,156,198,42
山东七福健康科技有限公司,风干肠礼盒（箱）,箱,2.0,536,596,60
山东七福健康科技有限公司,威高卤味礼盒（盒）,盒,2.0,516,636,120
山东七福健康科技有限公司,福满四海礼盒,盒,2.0,276,376,100
山东七福健康科技有限公司,茶叶大红袍,盒,10.0,4000,4500,500
山东七福健康科技有限公司,海鲜礼盒,箱,1.0,1640,2000,360
山东七福健康科技有限公司,新年新意春节礼盒,盒,1.0,520,540,20
山东七福健康科技有限公司,新年新意调味品礼盒,盒,1.0,80,100,20
山东七福健康科技有限公司,生态嘿猪排骨,箱,2.0,480,596,116
山东七福健康科技有限公司,福运满堂礼盒,盒,2.0,390,516,126
山东七福健康科技有限公司,故宫御酒500ml,瓶,6.0,2442,2442,0
山东七福健康科技有限公司,飞天茅台53°,瓶,2.0,2998,5960,2962
山东七福健康科技有限公司,复合大豆亲肤被,件,16.0,3165,3200,35
山东七福健康科技有限公司,故宫御酒500ml,瓶,4.0,1628,1628,0
山东七福健康科技有限公司,故宫御酒500ml,瓶,6.0,2442,2442,0
山东七福健康科技有限公司,带字富士苹果（95#）,箱,4.0,512,512,0
山东威高宝龄制药有限公司,复合大豆亲肤被,件,3.0,593,600,7
山东威高东元医药有限公司,复合大豆亲肤被,件,16.0,3165,3200,35
山东威高骨科材料股份有限公司,正山小种（盒）,盒,2.0,130,150,20
山东威高骨科材料股份有限公司,日照绿茶（盒）,盒,2.0,170,190,20
山东威高骨科材料股份有限公司,康师傅桶装方便面（箱）,箱,3.0,144,150,6
山东威高骨科材料股份有限公司,野生偏口鱼（小）,斤,6.0,90,120,30
山东威高骨科材料股份有限公司,鲜刀鱼（0.4-0.6斤/条）,斤,8.0,200,216,16
山东威高骨科材料股份有限公司,鲜黑鱼(0.2-0.4斤/条）,斤,8.0,240,272,32
山东威高骨科材料股份有限公司,鲜野生黄花鱼（6-8条/斤）,斤,20.0,440,460,20
山东威高骨科材料股份有限公司,海鲫鱼,斤,5.0,60,75,15
山东威高骨科材料股份有限公司,运费,个,1.0,294,294,0
山东威高骨科材料股份有限公司,面包,斤,10.0,235,255,20
山东威高骨科材料股份有限公司,麻花,斤,9.0,138,241,103
山东威高骨科材料股份有限公司,农夫山泉（桶）,桶,10.0,180,220,40
山东威高骨科材料股份有限公司,农夫山泉（箱）,箱,10.0,340,380,40
山东威高骨科材料股份有限公司,国产香蕉1,斤,40.0,120,140,20
山东威高骨科材料股份有限公司,本地千禧小柿子,斤,23.0,180,191,11
山东威高骨科材料股份有限公司,瓜子,斤,10.0,150,180,30
山东威高骨科材料股份有限公司,熟花生,斤,10.0,180,190,10
山东威高骨科材料股份有限公司,糖果（散装）,斤,5.0,100,125,25
山东威高骨科材料股份有限公司,红牛（箱装）,箱,2.0,300,330,30
山东威高骨科材料股份有限公司,砂糖橘,斤,54.0,432,459,27
山东威高骨科材料股份有限公司,国产香蕉1,斤,50.0,150,175,25
山东威高骨科材料股份有限公司,瓜子,斤,18.0,270,324,54
山东威高骨科材料股份有限公司,熟花生,斤,18.0,270,342,72
山东威高骨科材料股份有限公司,糖果（散装）,斤,18.0,360,450,90
山东威高骨科材料股份有限公司,干果组合（袋装）,份,1.0,279,318,39
山东威高骨科材料股份有限公司,进口香蕉,斤,5.0,38,45,8
山东威高骨科材料股份有限公司,砂糖橘,斤,5.0,40,45,5
山东威高骨科材料股份有限公司,维纳斯苹果（75#-80#）,斤,7.0,98,104,7
山东威高骨科材料股份有限公司,脐橙,斤,7.0,78,91,13
山东威高骨科材料股份有限公司,砂糖橘,斤,4.0,35,40,5
山东威高骨科材料股份有限公司,柚子,斤,3.0,60,66,6
山东威高骨科材料股份有限公司,进口香蕉,斤,3.0,26,30,5
山东威高骨科材料股份有限公司,无籽葡萄,斤,4.0,60,68,8
山东威高骨科材料股份有限公司,小蜜蜂小柿子,斤,3.0,64,69,5
山东威高骨科材料股份有限公司,甜宝草莓,斤,3.0,90,96,6
山东威高骨科材料股份有限公司,鲜花,束,2.0,400,520,120
山东威高骨科材料股份有限公司,玫瑰香葡萄,斤,10.0,155,175,21
山东威高骨科材料股份有限公司,砂糖橘,斤,10.0,70,80,10
山东威高骨科材料股份有限公司,国产香蕉1,斤,9.0,27,32,5
山东威高骨科材料股份有限公司,小蜜蜂小柿子,斤,10.0,150,160,10
山东威高骨科材料股份有限公司,复合大豆亲肤被,件,5.0,989,1000,11
山东威高骨科材料股份有限公司,农夫山泉（箱）,箱,10.0,340,380,40
山东威高骨科材料股份有限公司,农夫山泉（桶）,桶,10.0,200,240,40
山东威高骨科材料股份有限公司,进口香蕉,斤,6.0,48,57,9
山东威高骨科材料股份有限公司,甜宝草莓,斤,5.0,85,93,8
山东威高骨科材料股份有限公司,无籽葡萄,斤,5.0,175,185,10
山东威高骨科材料股份有限公司,库尔勒香梨（小）,斤,6.0,55,66,11
山东威高骨科材料股份有限公司,国产香蕉1,斤,13.0,52,78,26
山东威高骨科材料股份有限公司,本地千禧小柿子,斤,10.0,200,220,20
山东威高骨科材料股份有限公司,库尔勒香梨（小）,斤,10.0,100,120,20
山东威高骨科材料股份有限公司,沃柑,斤,10.0,70,85,15
山东威高骨科材料股份有限公司,库尔勒香梨（小）,斤,30.0,210,420,210
山东威高骨科材料股份有限公司,沃柑,斤,15.0,105,135,30
山东威高骨科材料股份有限公司,库尔勒香梨（小）,斤,15.0,195,210,15
山东威高骨科材料股份有限公司,好丽友木糖醇,瓶,2.0,28,36,8
山东威高骨科材料股份有限公司,奥利奥饼干,斤,15.0,525,585,60
山东威高骨科材料股份有限公司,麻花,斤,20.0,200,260,60
山东威高骨科材料股份有限公司,韩国咖啡,包,2.0,198,230,32
山东威高骨科材料股份有限公司,沃柑,斤,30.0,210,270,60
山东威高骨科材料股份有限公司,农夫山泉（箱）,箱,20.0,680,760,80
山东威高宏瑞医学科技有限公司,复合大豆亲肤被,件,94.0,18596,18800,204
山东威高互联科技有限公司,复合大豆亲肤被,件,2.0,396,400,4
山东威高集团医用高分子制品股份有限公司,复合大豆亲肤被,件,580.0,114743,116000,1257
山东威高集团医用高分子制品股份有限公司,复合大豆亲肤被,件,76.0,15035,15200,165
山东威高集团医用高分子制品股份有限公司,复合大豆亲肤被,件,443.0,87640,88600,960
山东威高集团医用高分子制品股份有限公司,复合大豆亲肤被,件,180.0,35610,36000,390
山东威高集团医用高分子制品股份有限公司,复合大豆亲肤被,件,689.0,136306,137800,1494
