学校,学校排名,专业,最低分,最低分位次,录取人数,选科要求
清华大学,,文科试验班类(通用基础类)(含社会学等专业),716分,2名,1人,不限
清华大学,,理科试验班类(物理基础类)(含物理学等专业),704分,75名,23人,物
清华大学,,临床医学类(含临床医学专业),704分,69名,5人,物+化
北京大学,,工商管理类(含金融学，金融学(金融经济学)，会计学，市场营销专业),717分,1名,1人,不限
北京大学,,理科试验班类(含数学类，物理学类，天文学，地球物理学类，计算机类，电子信息类专业),712分,13名,4人,物
北京大学,,文科试验班类(文科基础类专业)(含中国语言文学类专业),703分,88名,6人,不限
北京大学,,理科试验班类(理科基础类专业)(含数学类专业),703分,94名,20人,物
复旦大学,,理科试验班(含自科技科工科)(含数学类，微电子科学与工程(集成电路领军人才班，本研贯通)，工科试验班(新工科本研贯通)，计算机科学与技术(拔尖人才试验班，本研贯通)，经济学类，经济管理试验班等专业),699分,204名,4人,物
复旦大学,,金融学(金融科技方向，泛海国际金融学院),698分,227名,3人,物/化
复旦大学,,人文科学试验班(含人文社科)(含中国语言文学类，法学，新闻传播学类等专业),697分,280名,3人,不限
中国科学院大学,,计算机科学与技术(玉泉路校区或雁栖湖校区),699分,200名,1人,物
中国科学院大学,,人工智能(玉泉路校区或雁栖湖校区),699分,213名,1人,物
中国人民大学,,法学,697分,306名,5人,不限
中国人民大学,,政治学，经济学与哲学(PPE实验班),696分,348名,2人,不限
中国人民大学,,金融学类(含金融学，金融工程，保险学，信用管理专业),695分,377名,6人,物/史
中国人民大学,,统计学类(含经济统计学，应用统计学，统计学，数据科学与大数据技术专业),693分,491名,5人,物
中国人民大学,,财政学类(含财政学，税收学专业),693分,495名,2人,物/史
中国人民大学,,经济学类(含经济学，国民经济管理，能源经济，国际经济与贸易，数字经济专业),692分,560名,10人,不限
中国人民大学,,人工智能(拔尖班),692分,590名,3人,物
中国人民大学,,新闻传播学类(含新闻学，广播电视学，广告学，传播学，国际新闻与传播专业),691分,633名,5人,不限
中国人民大学,,计算机类(图灵实验班)(含计算机科学与技术，软件工程，信息安全，数据科学与大数据技术，信息管理与信息系统专业),691分,687名,4人,物
中国人民大学,,人文科学试验班(含哲学，宗教学，伦理学，汉语言文学，汉语言，历史学，世界史，考古学，艺术管理专业(艺术管理专业选择遵循学生意愿，不设人数限制)),690分,776名,4人,不限
中国人民大学,,工商管理类(含工商管理，财务管理，会计学，市场营销，管理科学(商业数据分析方向)，贸易经济专业),689分,859名,10人,物/史
中国人民大学,,社会科学试验班(管理学科类)(含资源与环境经济学，农林经济管理，农村区域发展，行政管理，城市管理，土地资源管理，信息资源管理，档案学专业),688分,894名,2人,不限
中国人民大学,,社会学类(含社会学，社会工作专业),688分,895名,4人,不限
中国人民大学,,人力资源管理(经管试验班),687分,1049名,3人,不限
中国人民大学,,国际政治,687分,1033名,3人,不限
中国人民大学,,社会科学试验班(大数据技术一农林经济管理双主学位项目)(含农林经济管理专业),687分,994名,3人,不限
中国人民大学,,社会科学试验班(应用经济一农村区域发展管理双主学位项目)(含农村区域发展专业),687分,1005名,4人,不限
上海交通大学,,电子信息类(IEEE试点班)(含电子信息类(IEEE试点班)一数学与应用数学双学士学位项目.含计算机科学与技术，信息工程，信息安全，自动化专业),700分,163名,3人,物
上海交通大学,,人工智能(卓越人才试点班),699分,207名,3人,物
上海交通大学,,金融学(含金融学一计算机科学与技术双学士学位项目),698分,245名,5人,物
上海交通大学,,法学试验班(含法学一经济学双学士学位项目.含法学专业),697分,269名,1人,不限
北京大学医学部,,口腔医学(本博连读),704分,72名,1人,物+化
北京大学医学部,,临床医学,702分,98名,1人,物+化
北京大学医学部,,药学(本硕连读),701分,137名,1人,物+化
北京大学医学部,,基础医学(本博连读),699分,225名,2人,物+化
北京大学医学部,,临床医学(本博连读),699分,190名,5人,物+化
北京大学医学部,,口腔医学,698分,236名,1人,物+化
北京大学医学部,,预防医学(本硕连读),697分,274名,1人,物+化
北京大学医学部,,英语(医学英语),695分,399名,2人,不限
中国科学技术大学,,理科试验班类(含数学类(华罗庚数学科技英才班)，物理学类(严济慈物理科技英才班)，化学类(卢嘉锡化学科技英才班)，生物科学类(贝时璋生命科技英才班)，空间科学与技术(赵九章现代地球和空间科技英才班)，数学类，物理学类，化学类，材料类，生物科学类，空间科学与技术，行星科学，环境科学与工程类，统计学，金融学，工商管理，管理科学专业),682分,1721名,42人,物
中国科学技术大学,,工科试验班(含计算机类(华夏计算机科技英才班)，电子信息类(信息科技英才班)，电子信息类(网络空间科技英才班)，电子信息类(集成电路科技英才班)力学类(钱学森力学科技英才班)，计算机类，电子信息类，理论与应用力学，机械设计制造及其自动化，能源与动力工程，安全工程，核工程类专业),682分,1774名,28人,物
上海交通大学医学院,,临床医学(本博连读)(医学院),698分,233名,3人,物+化
上海交通大学医学院,,临床医学(本博连读，法语班),697分,288名,1人,物+化
上海交通大学医学院,,临床医学(本博连读，口腔方向)(含卡罗林斯卡大学等交流),694分,413名,2人,物+化
南京大学,,人工智能(鼓楼校区),694分,421名,4人,物
南京大学,,计算机科学与技术(鼓楼校区),687分,1059名,6人,物
南京大学,,软件工程(第三，四年学费为16000元/年.鼓楼校区),685分,1355名,6人,物
