一般公共预算支出表-功能分类科目-科目编码,一般公共预算支出表-功能分类科目-科目名称,一般公共预算支出表-2014年执行数-执行数,一般公共预算支出表-2014年执行数-扣除发改委基建后执行数,一般公共预算支出表-2015年预算数-年初预算数,一般公共预算支出表-2015年预算数-年初预算数.1,一般公共预算支出表-2015年预算数-年初预算数.2,一般公共预算支出表-2015年预算数-扣除发改委基建后预算数,一般公共预算支出表-2015年预算数比2014年执行数-增减额,一般公共预算支出表-2015年预算数比2014年执行数-增减%,一般公共预算支出表-2015年预算数比2014年执行数（扣除发改委基建）-增减额,部门公开表2-一般公共预算支出表-单位：万元-2015年预算数比2014年执行数（扣除发改委基建）-增减%
科目编码,科目名称,执行数,扣除发改委基建后执行数,小计,基本支出,项目支出,扣除发改委基建后预算数,增减额,增减%,增减额,增减%
202,外交支出,597,597,602,0,602,602,4,0,4,0
20204,国际组织,597,597,602,0,602,602,4,0,4,0
2020401,国际组织会费,14,14,14,0,14,14,0,0,0,0
2020402,国际组织捐赠,583,583,588,0,588,588,4,0,4,0
20299,其他外交支出,0,0,0,0,0,0,0,0,0,0
2029901,其他外交支出,0,0,0,0,0,0,0,0,0,0
205,教育支出,4,4,14,0,14,14,11,3,11,3
20502,普通教育,4,4,14,0,14,14,11,3,11,3
2050205,高等教育,4,4,14,0,14,14,11,3,11,3
206,科学技术支出,45216,45061,54647,15401,39246,54647,9431,0,9585,0
20603,应用研究,35662,35507,45730,15401,30329,45730,10068,0,10223,0
2060301,机构运行,12877,12877,15401,15401,0,15401,2523,0,2523,0
2060302,社会公益研究,21422,21267,28855,0,28855,28855,7433,0,7588,0
2060399,其他应用研究支出,1363,1363,1474,0,1474,1474,111,0,111,0
20604,技术研究与开发,800,800,0,0,0,0,(800),(1),(800),(1)
2060403,产业技术研究与开发,800,800,0,0,0,0,(800),(1),(800),(1)
20605,科技条件与服务,8593,8593,8650,0,8650,8650,57,0,57,0
2060503,科技条件专项,8593,8593,8650,0,8650,8650,57,0,57,0
20699,其他科学技术支出,161,161,267,0,267,267,106,1,106,1
2069999,其他科学技术支出,161,161,267,0,267,267,106,1,106,1
207,文化体育与传媒支出,2823,2823,60,0,60,60,(2763),(1),(2763),(1)
20701,文化,223,223,60,0,60,60,(163),(1),(163),(1)
2070111,文化创作与保护,223,223,60,0,60,60,(163),(1),(163),(1)
20799,其他文化体育与传媒支出,2600,2600,0,0,0,0,(2600),(1),(2600),(1)
2079903,文化产业发展专项支出,2600,2600,0,0,0,0,(2600),(1),(2600),(1)
208,社会保障和就业支出,5817,5817,8685,8685,0,8685,2868,0,2868,0
20805,行政事业单位离退休,5817,5817,8685,8685,0,8685,2868,0,2868,0
2080501,归口管理的行政单位离退休,470,470,641,641,0,641,171,0,171,0
2080502,事业单位离退休,5337,5337,8002,8002,0,8002,2664,0,2664,0
2080503,离退休人员管理机构,10,10,43,43,0,43,33,3,33,3
210,医疗卫生与计划生育支出,27301,20123,26931,6294,20636,23333,(371),(0),3210,0
21001,医疗卫生管理事务,2101,2101,2278,1474,804,2278,177,0,177,0
2100101,行政运行,1299,1299,1441,1441,0,1441,143,0,143,0
2100102,一般行政管理事务,770,770,804,0,804,804,35,0,35,0
2100103,机关服务,33,33,33,33,0,33,0,0,0,0
21002,公立医院,21228,14424,18850,4604,14246,15252,(2378),(0),828,0
2100201,综合医院,19,0,0,0,0,0,(19),(1),0,0
2100202,中医（民族）医院,19183,12398,18850,4604,14246,15252,(333),(0),2854,0
2100299,其他公立医院支出,2026,2026,0,0,0,0,(2026),(1),(2026),(1)
21006,中医药,3972,3598,5802,216,5586,5802,1830,0,2204,1
2100601,中医（民族医）药专项,3382,3382,3586,0,3586,3586,204,0,204,0
2100699,其他中医药支出,590,216,2216,216,2000,2216,1626,3,2000,9
215,资源勘探信息等支出,152,152,0,0,0,0,(152),(1),(152),(1)
21502,制造业,152,152,0,0,0,0,(152),(1),(152),(1)
2150299,其他制造业支出,152,152,0,0,0,0,(152),(1),(152),(1)
221,住房保障支出,6917,6917,6950,6950,0,6950,33,0,33,0
22102,住房改革支出,6917,6917,6950,6950,0,6950,33,0,33,0
2210201,住房公积金,3136,3136,3150,3150,0,3150,14,0,14,0
2210202,提租补贴,843,843,800,800,0,800,(43),(0),(43),(0)
2210203,购房补贴,2938,2938,3000,3000,0,3000,62,0,62,0
,合  计,88827,81494,97888,37330,60558,94290,9061,0,12796,0
