表1-7湖南省各地区分性别的15岁及以上文盲人口-地区别-地区别,表1-7湖南省各地区分性别的15岁及以上文盲人口-15岁及以上人口-合计,表1-7湖南省各地区分性别的15岁及以上文盲人口-15岁及以上人口-男,表1-7湖南省各地区分性别的15岁及以上文盲人口-15岁及以上人口-女,表1-7湖南省各地区分性别的15岁及以上文盲人口-文盲人口-合计,表1-7湖南省各地区分性别的15岁及以上文盲人口-文盲人口-男,表1-7湖南省各地区分性别的15岁及以上文盲人口-文盲人口-女,表1-7湖南省各地区分性别的15岁及以上文盲人口-文盲人口占15岁及以上人口比重-合计,表1-7湖南省各地区分性别的15岁及以上文盲人口-文盲人口占15岁及以上人口比重-男,表1-7湖南省各地区分性别的15岁及以上文盲人口-单位：人，%-文盲人口占15岁及以上人口比重-女
湖南省,511341,257049,254292,43855,11419,32436,9,4,13
长沙市,53910,27028,26882,1863,409,1454,3,2,5
株洲市,30489,15348,15141,1700,391,1309,6,3,9
湘潭市,26499,13278,13221,1053,224,829,4,2,6
衡阳市,53360,26720,26640,4461,1189,3272,8,4,12
邵阳市,54153,26931,27222,5630,1298,4332,10,5,16
岳阳市,40211,20454,19757,2467,628,1839,6,3,9
常德市,43315,21648,21667,4216,1188,3028,10,5,14
张家界市,11848,5931,5917,1872,563,1309,16,9,22
益阳市,33433,17028,16405,2546,700,1846,8,4,11
郴州市,40145,20365,19780,3357,855,2502,8,4,13
永州市,36920,18577,18343,4145,1156,2989,11,6,16
怀化市,38318,19455,18863,4893,1402,3491,13,7,19
娄底市,29338,14571,14767,2434,559,1875,8,4,13
湘西土家族苗族自治州,19402,9715,9687,3218,857,2361,17,9,24
