五级组织,1-4月工资合计,1-4月奖金合计,1-4月佣金合计,1-4月收入合计,月均收入,"Q1综合
考核系数","Q2综合
考核系数",月均系数,Q1对比Q2,增长情况
沪东南新房联动,9.0,15.0,17.0,41.0,10.0,2.0,1,1,(1),降
沪北新房联动,8.0,13.0,18.0,40.0,10.0,1.0,2,2,1,增
沪南新房联动,8.0,16.0,15.0,39.0,10.0,1.0,2,1,1,增
沪西新房联动,8.0,14.0,16.0,38.0,10.0,2.0,1,1,(1),降
沪东北新房联动,8.0,13.0,12.0,34.0,8.0,1.0,2,1,1,增
沪西南新房联动,8.0,11.0,8.0,27.0,7.0,1.0,1,1,0,增
沪中新房联动,9.0,10.0,7.0,26.0,6.0,1.0,1,1,(0),增
沪东新房联动,8.0,8.0,7.0,23.0,6.0,1.0,1,1,(0),增
沪中西新房联动,9.0,7.0,3.0,19.0,5.0,1.0,1,1,0,增
沪西北新房联动,8.0,6.0,4.0,18.0,4.0,1.0,1,1,0,增
沪中东新房联动,1.0,1.0,6.0,9.0,9.0,,1,1,1,平
沪中北新房联动,,,,,,,1,1,1,平
联动事业部,85.0,114.0,114.0,313.0,8.0,1.0,1,1,0,增
