指标,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年
寿险给付金额同比增长(%),129,24,(4),(20),28,16,50,21,31,29,1,4
健康险保费收入同比增长(%),2,52,(2),(0),21,25,30,41,52,68,9,24
保险业务保费收入(万元),70357600,97841000,111373000,129742100,143392500,154879300,172222400,202348100,242825200,309591000,365810100,380166200
寿险给付金额(亿元),1064,1315,1269,1020,1301,1505,2253,2728,3565,4603,4575,4389
意外险保费收入同比增长(%),17,7,13,20,21,16,19,18,17,18,20,19
财产险保费收入同比增长(%),33,17,23,35,19,15,17,16,11,9,13,10
健康险赔款和给付金额同比增长(%),(7),50,24,7,55,17,38,39,34,31,29,35
财产险赔款金额同比增长(%),28,39,11,11,25,29,22,10,11,13,8,16
意外险赔款金额(亿元),63,63,64,71,82,97,110,128,152,183,224,268
财产险赔款金额(亿元),1020,1418,1576,1756,2187,2816,3439,3788,4194,4726,5087,5897
财产险保费收入(亿元),1998,2337,2876,3896,4618,5331,6212,7203,7995,8725,9835,10770
意外险赔款金额同比增长(%),23,(1),2,12,15,18,13,17,18,21,22,20
保险赔款和给付支出同比增长(%),58,31,5,(1),28,20,32,16,20,21,6,10
健康险赔款和给付金额(亿元),117,175,217,232,360,298,411,571,763,1001,1295,1744
保费收入同比增长(%),25,39,14,16,11,8,11,17,20,28,18,4
保险赔款和给付支出(万元),22652100,29711700,31254800,30795800,39293700,47163200,62129000,72162100,86741400,105128900,111807900,122978700
