"ShandongProvince'sFiscalExpenditureonCulture,Education,Science,andHealthfrom1979to2006-ExpenseonCulture,Education,ScienceandHealthfrom1979to2006-Unit:10,000yuan-Year-Year-Year-Year-Year","ShandongProvince'sFiscalExpenditureonCulture,Education,Science,andHealthfrom1979to2006-ExpenseonCulture,Education,ScienceandHealthfrom1979to2006-Total-Total-Total-Total-Total","ShandongProvince'sFiscalExpenditureonCulture,Education,Science,andHealthfrom1979to2006-ExpenseonCulture,Education,ScienceandHealthfrom1979to2006-Culture,SportsandBroadcastOperatingExpenses-Culture,SportsandBroadcastOperatingExpenses-Culture,SportsandBroadcastOperatingExpenses-Culture,SportsandBroadcastOperatingExpenses-Culture,SportsandBroadcastOperatingExpenses","ShandongProvince'sFiscalExpenditureonCulture,Education,Science,andHealthfrom1979to2006-ExpenseonCulture,Education,ScienceandHealthfrom1979to2006-EducationOperatingExpensesforEducation-EducationOperatingExpensesforEducation-EducationOperatingExpensesforEducation-EducationOperatingExpensesforEducation-EducationOperatingExpensesforEducation","ShandongProvince'sFiscalExpenditureonCulture,Education,Science,andHealthfrom1979to2006-ExpenseonCulture,Education,ScienceandHealthfrom1979to2006-ScienceOperatingExpensesforScience-ScienceOperatingExpensesforScience-ScienceOperatingExpensesforScience-ScienceOperatingExpensesforScience-ScienceOperatingExpensesforScience","ShandongProvince'sFiscalExpenditureonCulture,Education,Science,andHealthfrom1979to2006-ExpenseonCulture,Education,ScienceandHealthfrom1979to2006-OperatingExpensesforHealth-OperatingExpensesforHealth-OperatingExpensesforHealth-OperatingExpensesforHealth-OperatingExpensesforHealth","ShandongProvince'sFiscalExpenditureonCulture,Education,Science,andHealthfrom1979to2006-ExpenseonCulture,Education,ScienceandHealthfrom1979to2006-(10000yuan)-ScienceandTechnologyPromotionFunds-ScienceandTechnologyPromotionFunds-ScienceandTechnologyPromotionFunds-ScienceandTechnologyPromotionFunds-ScienceandTechnologyPromotionFunds"
,,,,,,
1979.0,80348.0,9219.0,43077.0,4141.0,20098.0,3813.0
1980.0,93350.0,9974.0,53296.0,4060.0,23290.0,2730.0
1981.0,95577.0,9791.0,54453.0,4094.0,24965.0,2274.0
1982.0,111630.0,11702.0,62804.0,4335.0,29737.0,3052.0
1983.0,125430.0,14353.0,67656.0,5040.0,33667.0,4714.0
1984.0,145710.0,18779.0,77533.0,6738.0,37382.0,5278.0
1985.0,175562.0,22631.0,97565.0,6513.0,44117.0,4736.0
1986.0,209611.0,29869.0,114757.0,8056.0,50910.0,6019.0
1987.0,225197.0,30555.0,125465.0,7053.0,56678.0,5446.0
1988.0,284003.0,39108.0,161889.0,10205.0,67256.0,5545.0
1989.0,333489.0,43029.0,187894.0,10535.0,82969.0,9062.0
1990.0,363035.0,48165.0,202060.0,11646.0,92703.0,8461.0
1991.0,401036.0,54145.0,225118.0,12757.0,98755.0,10261.0
1992.0,470129.0,61127.0,271681.0,14629.0,110310.0,12382.0
1993.0,568801.0,70133.0,337052.0,16678.0,129131.0,15807.0
1994.0,738553.0,84780.0,464330.0,22340.0,150028.0,17075.0
1995.0,856648.0,112065.0,523754.0,22551.0,173966.0,24312.0
1996.0,1066333.0,124463.0,670721.0,27256.0,209728.0,34165.0
1997.0,1229252.0,154418.0,753374.0,34974.0,240126.0,46360.0
1998.0,1388027.0,150517.0,886208.0,35703.0,252965.0,62634.0
1999.0,1532952.0,159272.0,999902.0,35491.0,258572.0,79715.0
2000.0,1770387.0,175745.0,1181042.0,38543.0,282598.0,92459.0
2001.0,2051303.0,206502.0,1377529.0,45428.0,306587.0,115257.0
2002.0,2427593.0,274203.0,1627761.0,53056.0,335712.0,136861.0
2003.0,2693986.0,307350.0,1791484.0,58375.0,396107.0,140670.0
2004.0,3091148.0,366895.0,2048284.0,65970.0,452199.0,157800.0
2005.0,3751654.0,449415.0,2487484.0,76471.0,544085.0,194199.0
2006.0,4542846.0,519674.0,2922839.0,90544.0,733206.0,276583.0
