"山东省社会保险基金收支及累计结余-Revenue,ExpensesandBalanceofSocialInsuranceFund-单位：亿元-年份Year-年份Year","山东省社会保险基金收支及累计结余-Revenue,ExpensesandBalanceofSocialInsuranceFund-合计Total-合计Total","山东省社会保险基金收支及累计结余-Revenue,ExpensesandBalanceofSocialInsuranceFund-基本养老保险BasicPensionInsurance-基本养老保险BasicPensionInsurance","山东省社会保险基金收支及累计结余-Revenue,ExpensesandBalanceofSocialInsuranceFund-失业保险UnemploymentInsurance-失业保险UnemploymentInsurance","山东省社会保险基金收支及累计结余-Revenue,ExpensesandBalanceofSocialInsuranceFund-基本医疗保险BasicMedicalCareInsurance-基本医疗保险BasicMedicalCareInsurance","山东省社会保险基金收支及累计结余-Revenue,ExpensesandBalanceofSocialInsuranceFund-工伤保险WorkInjuryInsurance-工伤保险WorkInjuryInsurance","山东省社会保险基金收支及累计结余-Revenue,ExpensesandBalanceofSocialInsuranceFund-(100millionyuan)-生育保险MaternityInsurance-生育保险MaternityInsurance"
,,,,,,
"基金收入
Revenue",,,,,,
2005,475.0,361.0,24.0,82.0,5.0,4.0
2006,593.0,441.0,31.0,108.0,7.0,5.0
2007,783.0,592.0,37.0,138.0,10.0,7.0
2008,938.0,688.0,46.0,183.0,13.0,9.0
2009,1109.0,826.0,42.0,215.0,17.0,10.0
2010,1283.0,944.0,43.0,264.0,21.0,12.0
2011,1646.0,1191.0,66.0,343.0,28.0,18.0
2012,1883.0,1317.0,83.0,426.0,35.0,23.0
2013,2115.0,1489.0,57.0,500.0,40.0,28.0
2014,2590.0,1673.0,69.0,771.0,45.0,33.0
2015,3207.0,2106.0,72.0,943.0,51.0,36.0
2016,3502.0,2243.0,92.0,1082.0,50.0,36.0
2017,3664.0,2289.0,68.0,1195.0,59.0,53.0
2018,4461.0,2728.0,74.0,1531.0,64.0,64.0
2019,4579.0,2785.0,82.0,1583.0,57.0,73.0
2020,4165.0,2491.0,58.0,1585.0,30.0,
2021,5541.0,3454.0,104.0,1922.0,61.0,
2022,5881.0,3598.0,109.0,2102.0,73.0,
2023,6345.0,3995.0,125.0,2140.0,86.0,
"基金支出
Expenses",,,,,,
2005,379.0,296.0,14.0,63.0,3.0,2.0
2006,451.0,352.0,13.0,78.0,5.0,3.0
2007,571.0,444.0,14.0,102.0,7.0,4.0
2008,691.0,531.0,15.0,131.0,9.0,6.0
2009,841.0,623.0,22.0,177.0,12.0,7.0
2010,1027.0,749.0,31.0,222.0,15.0,9.0
2011,1224.0,887.0,26.0,279.0,20.0,12.0
2012,1476.0,1059.0,35.0,336.0,28.0,17.0
2013,1784.0,1271.0,46.0,414.0,31.0,22.0
2014,2366.0,1558.0,49.0,692.0,35.0,32.0
2015,2791.0,1845.0,57.0,820.0,38.0,30.0
2016,3202.0,2090.0,70.0,957.0,39.0,46.0
2017,3623.0,2359.0,65.0,1095.0,42.0,62.0
2018,4081.0,2657.0,65.0,1254.0,48.0,59.0
2019,4512.0,2955.0,78.0,1363.0,54.0,64.0
2020,4880.0,3233.0,134.0,1457.0,56.0,
2021,5540.0,3544.0,102.0,1828.0,65.0,
2022,5641.0,3662.0,105.0,1810.0,64.0,
2023,6154.0,3970.0,99.0,2009.0,75.0,
"累计结余
Balance at Year-end",,,,,,
2005,410.0,294.0,40.0,64.0,6.0,6.0
2006,552.0,383.0,58.0,95.0,9.0,8.0
2007,757.0,523.0,81.0,130.0,12.0,10.0
2008,1005.0,680.0,112.0,182.0,16.0,14.0
2009,1273.0,883.0,132.0,221.0,21.0,17.0
2010,1529.0,1078.0,143.0,263.0,27.0,19.0
2011,1951.0,1382.0,183.0,326.0,35.0,25.0
2012,2360.0,1640.0,231.0,417.0,42.0,31.0
2013,2693.0,1858.0,242.0,506.0,51.0,37.0
2014,2959.0,1973.0,261.0,627.0,61.0,38.0
2015,3378.0,2233.0,275.0,752.0,73.0,44.0
2016,3679.0,2386.0,298.0,878.0,84.0,34.0
2017,3719.0,2316.0,300.0,979.0,101.0,23.0
2018,4099.0,2387.0,310.0,1256.0,117.0,29.0
2019,4127.0,2217.0,252.0,1493.0,120.0,45.0
2020,3412.0,1476.0,177.0,1666.0,94.0,
2021,3413.0,1386.0,178.0,1759.0,90.0,
2022,3654.0,1321.0,182.0,2051.0,99.0,
2023,3844.0,1345.0,208.0,2182.0,110.0,
,,,,,,
,,,,,,
注：基本养老保险不包含居民养老保险；自2014年起，基本医疗保险包括职工基本医疗保险和居民基本医疗保险。自2020年起，,,,,,,
生育保险和职工基本医疗保险合并实施，基金合并运行。,,,,,,
"a) Basic Pension Insurance doesn’t include that for residents. Since 2014, Basic Medical Care Insurance includes employee and residents",,,,,,
"medical care insurance. Since 2020, maternity insurance and basic medical insurance for employees will be implemented together, and the",,,,,,
fund will be operated together.,,,,,,
