门店名称                                                     总GMV          自营销售额  占比       目目的地,门店名称                                                     总GMV          自营销售额  占比       目目的地.1,门店名称                                                     总GMV          自营销售额  占比       目目的地.2,门店名称                                                     总GMV          自营销售额  占比       目目的地.3,门店名称                                                     总GMV          自营销售额  占比       目目的地.4,占比
大连携程甘井子区高新园区万达广场营业部门市,4949421,54482,0,28025.0,0
沈阳携程铁西区大都汇门市,4780228,182708,0,60286.0,0
沈阳携程皇姑区万象汇商场营业部门市,4435882,199944,0,184791.0,0
沈阳携程沈北新区吾悦广场营业部门市,3843809,54975,0,127631.0,0
沈阳携程皇姑区华润万家门市,3696875,834951,0,30357.0,0
大连携程西岗区中山路门市,3659064,857336,0,89573.0,0
沈阳携程和平区联营门市,3482673,77247,0,66953.0,0
沈阳携程沈北新区道又南大街门市,3426417,187199,0,62621.0,0
沈阳携程沈河区中街益田营业部门市,3374140,421645,0,131261.0,0
沈阳携程皇姑区北站北营业部门市,3169719,19453,0,,0
大连携程沙河口区凯德和平广场门市,3160581,540145,0,92422.0,0
沈阳携程铁西区星摩尔营业部门市,3017590,316602,0,131804.0,0
沈阳携程大东区滂江街门市,2968405,99913,0,24879.0,0
沈阳携程和平区博览路门市,2746241,404932,0,39810.0,0
沈阳携程浑南区浑南西路天惠广场门市,2213193,68074,0,61759.0,0
沈阳携程和平区太原北街营业部门市,2036225,327512,0,16112.0,0
