Unnamed: 0,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月
地下室普通照明,8559,11104,12658,12137,12921,12146,13113,11771,12981,10715,11108
地下室应急照明,3404,4495,5025,4907,4981,4917,5276,4970,5616,4801,4856
泛光照明,1940,2504,2773,2595,2523,2130,2362,2372,2857,2633,2742
一标景观,2696,3118,2858,4095,4809,4585,5971,6313,5844,5081,4938
二标景观,4357,5301,5677,5488,5611,5272,6768,6264,6757,4899,5100
地下室消防风机,107,1603,161,165,148,295,135,137,160,139,148
单元非消防,8379,11698,13054,12905,14353,15102,19997,20011,19570,14528,12746
单元消防单位,6378,11301,11715,9883,13009,13597,18209,17068,17040,10580,12446
潜污泵,218,44,49,102,181,57,116,96,113,60,186
合计,36038,51168,53969,29386,30994,29345,33624,31827,34216,28267,28893
地库照明合计,11963,15599,17683,17043,17902,17063,18388,16740,18597,15516,15964
