10000-Region,StoreAbbreviation,JanuarytoDate-LastYearSales-Quantity,JanuarytoDate-LastYearSales-TagPriceAmount,JanuarytoDate-LastYearSales-SalesValue,JanuarytoDate-LastYearSales-Discount,JanuarytoDate-ThisYear'sSales-Quantity,JanuarytoDate-ThisYear'sSales-TagPriceAmount,JanuarytoDate-ThisYear'sSales-SalesValue,JanuarytoDate-ThisYear'sSales-Discount,JanuarytoDate-DiscountComparison-DiscountComparison,JanuarytoDate-SalesComparison-SalesComparison,JanuarySales-LastYearSales-Quantity,JanuarySales-LastYearSales-TagPriceAmount,JanuarySales-LastYearSales-SalesValue,JanuarySales-LastYearSales-Discount,JanuarySales-ThisYear'sSales-Quantity,JanuarySales-ThisYear'sSales-TagPriceAmount,JanuarySales-ThisYear'sSales-SalesValue,JanuarySales-ThisYear'sSales-Discount,JanuarySales-DiscountComparison-DiscountComparison,JanuarySales-SalesComparison-SalesComparison,FebruarySales-LastYearSales-Quantity,FebruarySales-LastYearSales-TagPriceAmount,FebruarySales-LastYearSales-SalesValue,FebruarySales-LastYearSales-Discount,FebruarySales-ThisYear'sSales-Quantity,FebruarySales-ThisYear'sSales-TagPriceAmount,FebruarySales-ThisYear'sSales-SalesValue,FebruarySales-ThisYear'sSales-Discount,FebruarySales-DiscountComparison-DiscountComparison,FebruarySales-SalesComparison-SalesComparison,MarchSales-LastYearSales-Quantity,MarchSales-LastYearSales-TagPriceAmount,MarchSales-LastYearSales-SalesValue,MarchSales-LastYearSales-Discount,MarchSales-ThisYear'sSales-Quantity,MarchSales-ThisYear'sSales-TagPriceAmount,MarchSales-ThisYear'sSales-SalesValue,MarchSales-ThisYear'sSales-Discount,MarchSales-DiscountComparison-DiscountComparison,MarchSales-SalesComparison-SalesComparison,AprilSales-LastYearSales-Quantity,AprilSales-LastYearSales-TagPriceAmount,AprilSales-LastYearSales-SalesValue,AprilSales-LastYearSales-Discount,AprilSales-ThisYear'sSales-Quantity,AprilSales-ThisYear'sSales-TagPriceAmount,AprilSales-ThisYear'sSales-SalesValue,AprilSales-ThisYear'sSales-Discount,AprilSales-DiscountComparison-DiscountComparison,AprilSales-SalesComparison-SalesComparison,MaySales-LastYearSales-Quantity,MaySales-LastYearSales-TagPriceAmount,MaySales-LastYearSales-SalesValue,MaySales-LastYearSales-Discount,MaySales-ThisYear'sSales-Quantity,MaySales-ThisYear'sSales-TagPriceAmount,MaySales-ThisYear'sSales-SalesValue,MaySales-ThisYear'sSales-Discount,MaySales-ThisYear'sSales-Stock-to-salesratio,MaySales-ProjectedSales-ProjectedSales,MaySales-ProjectedAmount-ProjectedAmount,MaySales-DiscountComparison-DiscountComparison,MaySales-SalesComparison-SalesComparison,MaySales-Inventory-Inventory
Guangzhou Zone 1,(Guang) Foshan Shunde Shunlian Plaza Sports Lingerie Store,399.0,8,6,,578.0,13.66,11.09,,,,145.0,4.08,2.3,,280.0,7.42,6.36,,,,108.0,1.89,1.69,,80.0,2.57,1.66,,,,49.0,0.77,0.58,,133.0,2.95,1.92,,,,64.0,1.04,0.91,,85.0,0.72,1.15,,,,127.0,1.84,1.64,,,0.0,0.0,,,,,,,46.44
,(Foshan) Shunlian International Outlet Lingerie Store,1235.0,28,13,,1395.0,27.72,10.57,,,,410.0,12.69,5.99,,428.0,11.43,4.7,,,,173.0,3.93,1.95,,210.0,6.35,2.53,,,,378.0,6.9,2.67,,193.0,4.32,1.61,,,,191.0,3.35,1.43,,564.0,5.63,1.73,,,,465.0,7.79,3.38,,,0.0,0.0,,,,,,,104.29
,(Fang) Foshan Shunlian International Shopping Center Lingerie Store,1266.0,28,25,,2014.0,54.9,36.78,,,,456.0,14.24,12.7,,1008.0,27.63,20.98,,,,363.0,6.44,5.51,,493.0,15.69,8.36,,,,95.0,1.76,1.16,,275.0,6.63,3.74,,,,248.0,4.34,4.02,,185.0,3.89,2.79,,,,422.0,7.23,7.14,,53.0,1.06,0.91,,,,,,,119.21
,(Guang) Guangdong Foshan Sanshui Xinda Xin Lingerie Store,729.0,14,10,,522.0,13.55,8.82,,,,237.0,5.85,4.31,,207.0,5.96,3.78,,,,191.0,3.95,2.46,,136.0,4.28,2.67,,,,177.0,2.54,1.44,,63.0,1.42,0.96,,,,108.0,1.64,1.32,,94.0,1.45,1.11,,,,130.0,1.57,1.3,,22.0,0.45,0.3,,,,,,,54.71
,(Guang) Guangdong Foshan Xinghua Department Store Lingerie Shop,1315.0,29,20,,1357.0,28.15,20.75,,,,477.0,14.42,11.66,,690.0,15.76,12.93,,,,283.0,5.32,3.59,,272.0,5.91,3.79,,,,358.0,6.94,3.47,,201.0,4.04,2.47,,,,126.0,1.84,1.18,,169.0,2.02,1.32,,,,173.0,2.14,1.39,,25.0,0.41,0.23,,,,,,,59.41
,(Guang) Guangdong Foshan Xinghua Water Sports Store,372.0,9,7,,289.0,8.13,5.73,,,,52.0,1.59,1.48,,122.0,3.83,2.49,,,,114.0,2.61,2.05,,33.0,0.88,0.75,,,,69.0,1.62,1.44,,55.0,1.55,1.05,,,,111.0,2.27,1.61,,79.0,1.88,1.44,,,,140.0,3.15,2.57,,,0.0,0.0,,,,,,,54.2
,(Guang) Guangdong Foshan Friendship Yoga Fitness Store,307.0,7,4,,398.0,13.18,6.1,,,,216.0,5.5,2.61,,286.0,10.73,4.22,,,,11.0,0.32,0.28,,26.0,0.41,0.33,,,,32.0,0.69,0.65,,26.0,0.67,0.54,,,,29.0,0.59,0.52,,42.0,0.93,0.7,,,,34.0,0.67,0.58,,18.0,0.44,0.31,,,,,,,50.74
,(Guang) Guangdong Zhaoqing Guangbai Sports Lingerie Store,619.0,14,9,,496.0,12.69,8.27,,,,160.0,5.5,3.69,,190.0,5.62,3.41,,,,143.0,3.34,2.33,,126.0,3.24,2.07,,,,161.0,2.89,1.75,,66.0,1.62,1.01,,,,136.0,2.25,1.48,,69.0,1.51,1.07,,,,134.0,2.11,1.43,,45.0,0.7,0.72,,,,,,,82.61
,(Guang) Guangdong Zhuhai Tax-Free Sports Lingerie Store,,0,0,,1058.0,29.98,20.41,,,,,0.0,0.0,,251.0,9.1,7.7,,,,,0.0,0.0,,112.0,3.96,3.37,,,,,0.0,0.0,,576.0,14.18,6.9,,,,,0.0,0.0,,96.0,2.21,1.96,,,,100.0,2.68,2.48,,23.0,0.54,0.48,,,,,,,109.83
,(Wan) Guangdong Zhuhai Wanjia Lingerie Store,,0,0,,1009.0,19.6,15.09,,,,,0.0,0.0,,291.0,6.23,6.48,,,,,0.0,0.0,,101.0,2.51,2.23,,,,,0.0,0.0,,167.0,3.23,1.96,,,,,0.0,0.0,,410.0,7.04,3.9,,,,,0.0,0.0,,40.0,0.58,0.52,,,,,,,63.01
