9-4Numberofhouseholdfamiliesbyhousingsourceinvariousregions-Region-Region,9-4Numberofhouseholdfamiliesbyhousingsourceinvariousregions-Total-Total,9-4Numberofhouseholdfamiliesbyhousingsourceinvariousregions-RentalAffordableHousing-Publicrentalhousing,9-4Numberofhouseholdfamiliesbyhousingsourceinvariousregions-Rent-Otherhousing,9-4Numberofhouseholdfamiliesbyhousingsourceinvariousregions-Purchaseofnewconstruction-Commercialhousing,9-4Numberofhouseholdfamiliesbyhousingsourceinvariousregions-Purchase-Second-handhouse,9-4Numberofhouseholdfamiliesbyhousingsourceinvariousregions-Purchaseoriginalpublichousing-Publichousing,9-4Numberofhouseholdfamiliesbyhousingsourceinvariousregions-PurchaseAffordableHousing-housing/affordablehousingwithpriceandarealimits,9-4Numberofhouseholdfamiliesbyhousingsourceinvariousregions-Self-builthousing-Self-builthousing,9-4Numberofhouseholdfamiliesbyhousingsourceinvariousregions-Inheritanceor-Gift,9-4Numberofhouseholdfamiliesbyhousingsourceinvariousregions-Unit:Households-Other-Other
,,,,,,,,,,
Whole Country,45791305.0,1075507.0,5605091.0,9554510.0,3125007.0,1831655.0,1179957.0,21076481.0,449641.0,1893456.0
,,,,,,,,,,
Beijing,772865.0,39712.0,234215.0,128444.0,81010.0,90312.0,45529.0,84393.0,7518.0,61732.0
Tianjin,448523.0,12455.0,57968.0,145227.0,68380.0,37267.0,17641.0,82677.0,7168.0,19740.0
Hebei,2416146.0,25810.0,112178.0,499481.0,107005.0,84484.0,27033.0,1450063.0,34380.0,75712.0
Shanxi,1188728.0,17169.0,92195.0,266260.0,54965.0,89483.0,44437.0,532978.0,27401.0,63840.0
Inner Mongolia,868558.0,16107.0,89821.0,251441.0,109393.0,39544.0,29698.0,280830.0,8131.0,43593.0
,,,,,,,,,,
Liaoning,1628448.0,17945.0,101463.0,503107.0,259007.0,121344.0,33026.0,472821.0,22271.0,97464.0
Jilin,857737.0,13372.0,70488.0,272180.0,149256.0,40981.0,27853.0,262970.0,7156.0,13481.0
Heilongjiang,1172755.0,15286.0,75296.0,372355.0,212975.0,72516.0,68515.0,302511.0,13762.0,39539.0
,,,,,,,,,,
Shanghai,901732.0,33614.0,315692.0,220185.0,153923.0,77195.0,8352.0,69911.0,2822.0,20038.0
Jiangsu,2743393.0,46409.0,306149.0,685553.0,239506.0,81078.0,184632.0,1085126.0,17576.0,97364.0
Zhejiang,2279907.0,98751.0,668355.0,326908.0,197866.0,36859.0,91174.0,798177.0,24098.0,37719.0
Anhui,2005193.0,34276.0,143302.0,386009.0,106445.0,55228.0,21026.0,1126003.0,12573.0,120331.0
Fujian,1266971.0,34555.0,286603.0,220750.0,74516.0,23390.0,12734.0,569702.0,14440.0,30281.0
Jiangxi,1340608.0,38604.0,71505.0,280286.0,54962.0,45629.0,14801.0,787554.0,12647.0,34620.0
Shandong,3465782.0,30677.0,188495.0,800795.0,184144.0,133704.0,59649.0,1857667.0,29815.0,180836.0
,,,,,,,,,,
Henan,2975955.0,38267.0,122444.0,527559.0,100637.0,105535.0,54583.0,1922142.0,16704.0,88084.0
Hubei,1894974.0,29924.0,132184.0,419563.0,98586.0,111054.0,39798.0,948096.0,12932.0,102837.0
Hunan,2162386.0,33528.0,111603.0,389756.0,58369.0,81596.0,39194.0,1367514.0,24774.0,56052.0
Guangdong,3752057.0,190996.0,1364487.0,571492.0,208868.0,81585.0,25167.0,1174820.0,37488.0,97154.0
Guangxi,1445879.0,29285.0,125807.0,188834.0,35107.0,50524.0,17807.0,950038.0,9242.0,39235.0
Hainan,264959.0,6402.0,41826.0,24953.0,7185.0,15739.0,8027.0,146393.0,2400.0,12034.0
,,,,,,,,,,
Chongqing,1136063.0,43604.0,97341.0,352022.0,110308.0,26622.0,42179.0,409259.0,10793.0,43935.0
Sichuan,2947695.0,47677.0,266369.0,667699.0,179058.0,74034.0,71731.0,1444691.0,30578.0,165858.0
Guizhou,1145420.0,18417.0,99411.0,179193.0,30982.0,25812.0,35582.0,690969.0,13974.0,51080.0
Yunnan,1413050.0,52823.0,143969.0,151986.0,54975.0,40082.0,19498.0,898006.0,12598.0,39113.0
Tibet,76553.0,9454.0,6478.0,2412.0,2307.0,1596.0,1072.0,41510.0,1956.0,9768.0
,,,,,,,,,,
Shaanxi,1275990.0,31702.0,139332.0,275521.0,36436.0,82795.0,41282.0,598504.0,9427.0,60991.0
Gansu,764771.0,12159.0,55463.0,148202.0,36277.0,46418.0,31492.0,403782.0,6044.0,24934.0
Qinghai,174934.0,8322.0,11767.0,42324.0,13999.0,8136.0,6422.0,70583.0,3028.0,10353.0
Ningxia,233945.0,10254.0,20268.0,70812.0,26090.0,8460.0,9559.0,68686.0,2003.0,17813.0
Xinjiang,769328.0,37951.0,52617.0,183201.0,72470.0,42653.0,50464.0,178105.0,13942.0,137925.0
