time,液流速率,风速,气温,相对湿度,太阳辐射,土壤热通量,饱和水汽压
2014/06/01 00,15,2,14,60,0,(16),2
2014/06/01 01,9,1,13,63,0,(17),2
2014/06/01 02,4,2,13,65,0,(19),1
2014/06/01 03,2,1,12,68,0,(19),1
2014/06/01 04,1,1,12,70,0,(20),1
2014/06/01 05,4,2,13,65,10,(20),1
2014/06/01 06,18,2,13,64,61,(18),2
2014/06/01 07,146,2,16,56,121,(12),2
2014/06/01 08,298,3,18,51,260,(4),2
2014/06/01 09,496,3,20,44,632,14,2
2014/06/01 10,469,2,21,42,784,42,3
2014/06/01 11,523,2,23,38,888,63,3
2014/06/01 12,512,2,25,33,927,75,3
2014/06/01 13,444,2,26,27,937,54,3
2014/06/01 14,527,2,27,26,804,39,4
2014/06/01 15,436,1,28,25,679,58,4
2014/06/01 16,463,1,28,23,460,56,4
2014/06/01 17,349,1,28,23,266,48,4
2014/06/01 18,237,0,27,24,102,32,4
2014/06/01 19,129,1,25,29,22,17,3
2014/06/01 20,59,0,21,36,1,5,2
2014/06/01 21,36,2,21,36,0,(4),3
2014/06/01 22,30,2,20,39,0,(7),2
2014/06/01 23,21,1,18,45,0,(10),2
2014/06/02 00,4,2,18,48,0,(13),2
2014/06/02 01,2,1,17,51,0,(14),2
2014/06/02 02,2,1,16,57,0,(14),2
2014/06/02 03,1,1,16,60,0,(15),2
2014/06/02 04,1,1,15,64,0,(15),2
2014/06/02 05,1,2,15,65,10,(15),2
2014/06/02 06,8,3,16,63,79,(14),2
2014/06/02 07,51,2,17,61,144,(8),2
2014/06/02 08,301,2,20,58,280,1,2
2014/06/02 09,512,2,23,52,561,19,3
2014/06/02 10,666,1,27,42,698,45,3
2014/06/02 11,671,3,29,28,618,59,4
2014/06/02 12,515,2,30,24,411,59,4
2014/06/02 13,482,1,30,23,342,48,4
2014/06/02 14,272,3,24,47,93,38,3
2014/06/02 15,399,2,25,45,411,13,3
2014/06/02 16,608,3,28,33,340,15,4
2014/06/02 17,337,2,27,32,223,11,4
2014/06/02 18,236,1,26,35,91,8,3
2014/06/02 19,129,1,25,41,31,3,3
2014/06/02 20,44,0,22,47,1,(4),3
2014/06/02 21,19,0,20,57,0,(8),2
2014/06/02 22,8,0,17,62,0,(12),2
2014/06/02 23,2,0,16,63,0,(15),2
2014/06/03 00,8,1,18,59,0,(17),2
2014/06/03 01,10,2,18,63,0,(16),2
2014/06/03 02,6,2,16,69,0,(16),2
2014/06/03 03,2,1,15,74,0,(17),2
2014/06/03 04,0,1,14,76,0,(18),2
2014/06/03 05,0,1,14,77,11,(19),2
2014/06/03 06,6,1,15,72,69,(17),2
2014/06/03 07,72,2,17,64,145,(11),2
2014/06/03 08,298,3,19,60,263,(1),2
2014/06/03 09,458,2,21,56,504,14,2
2014/06/03 10,444,2,22,53,451,33,3
2014/06/03 11,395,2,22,52,410,37,3
2014/06/03 12,405,2,23,48,392,38,3
2014/06/03 13,514,2,25,41,369,37,3
2014/06/03 14,483,2,26,37,344,36,3
2014/06/03 15,378,2,26,35,289,37,3
2014/06/03 16,320,2,26,32,278,28,3
2014/06/03 17,318,2,26,35,130,25,3
2014/06/03 18,164,3,25,37,91,16,3
2014/06/03 19,112,2,24,41,21,9,3
