1-1-51  全国按经营耕地规模和主要农业行业分的农业生产经营单位数,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
,单位：个,,,,,
名    称,合计,农作物种植业,林业,畜牧业,渔业,农林牧渔服务业
,,,,,,
合    计,395180,70637,99079,43976,42736,138752
0亩,333343,30368,90566,37141,40664,134604
0.1-5亩,9374,4481,1045,2244,531,1073
5.1-10亩,4542,2222,640,929,264,487
10.1-15亩,2303,1292,309,395,101,206
15.1-20亩,2764,1492,413,416,124,319
20.1-25亩,1208,762,187,126,40,93
25.1-30亩,2107,1318,335,223,75,156
30.1-35亩,867,577,135,74,23,58
35.1-40亩,1432,920,190,184,49,89
40.1-45亩,713,500,99,60,19,35
45.1-50亩,1927,1219,297,174,60,177
50.1-55亩,515,362,88,37,9,19
55.1-60亩,1286,886,185,109,38,68
60.1-65亩,445,315,62,31,16,21
65.1-70亩,843,590,128,62,22,41
70.1-75亩,424,306,66,25,6,21
75.1-80亩,1091,760,152,89,33,57
80.1-85亩,355,249,64,16,10,16
85.1-90亩,560,377,102,32,19,30
90.1-95亩,236,180,40,7,4,5
95.1-100亩,1676,1115,263,161,36,101
100.1-150亩,4353,3178,593,291,116,175
150.1-200亩,3408,2461,519,219,70,139
200.1-250亩,1855,1379,266,86,40,84
250.1-300亩,2105,1506,293,136,60,110
300.1-400亩,2457,1861,308,127,70,91
400.1-500亩,1982,1490,260,97,50,85
500.1-1000亩,4107,3188,468,197,93,161
1000.1-5000亩,4466,3391,601,220,81,173
5000亩以上,2436,1892,405,68,13,58
