1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-行业中类,1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-代码,1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-法人单位-单位数(个)-单位数(个),1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-法人单位-单产业法人,1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-法人单位-多产业法人,1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-法人单位-从业人员数(人)-从业人员数(人),1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-法人单位-#女性,1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-产业活动单位-单位数(个)-单位数(个),1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-产业活动单位-#多产业法人所属的产业活动单位数,1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-产业活动单位-从业人员数(人)-从业人员数(人)
,,,,,,,,,
总    计,,7098765.0,6738242.0,360523.0,271537187.0,94594096.0,8869595.0,2131353.0,278632867.0
农、林、牧、渔业,A,2023.0,606.0,1417.0,1952739.0,769116.0,21103.0,20497.0,1006607.0
农业,100,678.0,106.0,572.0,1283632.0,539778.0,2306.0,2200.0,565572.0
谷物及其他作物的种植,110,435.0,41.0,394.0,1203929.0,503309.0,1240.0,1199.0,550223.0
蔬菜、园艺作物的种植,120,103.0,25.0,78.0,35586.0,17253.0,209.0,184.0,3679.0
水果、坚果、饮料和香料作物的种植,130,125.0,35.0,90.0,43596.0,19112.0,831.0,796.0,10643.0
中药材的种植,140,15.0,5.0,10.0,521.0,104.0,26.0,21.0,1027.0
林业,200,528.0,111.0,417.0,579754.0,196587.0,2902.0,2791.0,301920.0
林木的培育和种植,210,319.0,110.0,209.0,86605.0,22870.0,2425.0,2315.0,45544.0
木材和竹材的采运,220,88.0,1.0,87.0,218591.0,55282.0,315.0,314.0,53487.0
林产品的采集,230,121.0,,121.0,274558.0,118435.0,162.0,162.0,202889.0
畜牧业,300,415.0,246.0,169.0,51629.0,19192.0,1080.0,834.0,30272.0
牲畜的饲养,310,154.0,99.0,55.0,32901.0,12869.0,322.0,223.0,10071.0
猪的饲养,320,130.0,88.0,42.0,3227.0,922.0,378.0,290.0,6655.0
家禽的饲养,330,93.0,45.0,48.0,14112.0,5033.0,292.0,247.0,12138.0
狩猎和捕捉动物,340,1.0,,1.0,2.0,,2.0,2.0,5.0
其他畜牧业,390,37.0,14.0,23.0,1387.0,368.0,86.0,72.0,1403.0
渔业,400,64.0,17.0,47.0,6085.0,1658.0,604.0,587.0,9670.0
海洋渔业,410,19.0,7.0,12.0,1301.0,348.0,72.0,65.0,4672.0
内陆渔业,420,45.0,10.0,35.0,4784.0,1310.0,532.0,522.0,4998.0
农、林、牧、渔服务业,500,338.0,126.0,212.0,31639.0,11901.0,14211.0,14085.0,99173.0
农业服务业,510,179.0,69.0,110.0,20496.0,8946.0,5123.0,5054.0,40184.0
林业服务业,520,50.0,20.0,30.0,8350.0,2279.0,3500.0,3480.0,26601.0
畜牧服务业,530,101.0,36.0,65.0,2101.0,471.0,5418.0,5382.0,31508.0
渔业服务业,540,8.0,1.0,7.0,692.0,205.0,170.0,169.0,880.0
采矿业,B,97315.0,95609.0,1706.0,9907544.0,1544434.0,102336.0,6727.0,9484019.0
煤炭开采和洗选业,600,21931.0,21163.0,768.0,5786535.0,814015.0,23818.0,2655.0,5403528.0
烟煤和无烟煤的开采洗选,610,20901.0,20168.0,733.0,5595746.0,787726.0,22640.0,2472.0,5200520.0
褐煤的开采洗选,620,562.0,529.0,33.0,169795.0,22650.0,682.0,153.0,177779.0
其他煤炭采选,690,468.0,466.0,2.0,20994.0,3639.0,496.0,30.0,25229.0
石油和天然气开采业,700,1363.0,1314.0,49.0,1126201.0,308168.0,1795.0,481.0,886527.0
天然原油和天然气开采,710,291.0,269.0,22.0,639916.0,198926.0,479.0,210.0,495879.0
与石油和天然气开采有关的服务活动,790,1072.0,1045.0,27.0,486285.0,109242.0,1316.0,271.0,390648.0
黑色金属矿采选业,800,17469.0,17214.0,255.0,928632.0,123568.0,18182.0,968.0,1007105.0
铁矿采选,810,15609.0,15375.0,234.0,844163.0,111025.0,16114.0,739.0,914796.0
其他黑色金属矿采选,890,1860.0,1839.0,21.0,84469.0,12543.0,2068.0,229.0,92309.0
有色金属矿采选业,900,10686.0,10472.0,214.0,743014.0,120498.0,11148.0,676.0,840402.0
常用有色金属矿采选,910,7491.0,7336.0,155.0,433407.0,66895.0,7792.0,456.0,510540.0
贵金属矿采选,920,2039.0,2005.0,34.0,195505.0,34619.0,2111.0,106.0,203693.0
