山东省进出口主要分类情况-ImportsandExportsbyCategory-单位:亿美元,山东省进出口主要分类情况-ImportsandExportsbyCategory,山东省进出口主要分类情况-ImportsandExportsbyCategory.1,山东省进出口主要分类情况-ImportsandExportsbyCategory.2,山东省进出口主要分类情况-ImportsandExportsbyCategory.3,山东省进出口主要分类情况-ImportsandExportsbyCategory.4,山东省进出口主要分类情况-ImportsandExportsbyCategory.5,山东省进出口主要分类情况-ImportsandExportsbyCategory.6,山东省进出口主要分类情况-ImportsandExportsbyCategory.7,山东省进出口主要分类情况-ImportsandExportsbyCategory-(100millionUSD)
类   别,Category,2010.0,2015.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
,,,,,,,,,
一、进出口总值,Total Value of Imports and Exports,1890.0,2417.0,2924.0,2963.0,3184.0,4539.0,4812.0,4644.0
出口额,Exports,1043.0,1441.0,1601.0,1614.0,1890.0,2718.0,2881.0,2762.0
进口额,Imports,847.0,977.0,1323.0,1348.0,1294.0,1820.0,1932.0,1882.0
二、出口商品,Exported Goods,,,,,,,,
初级产品,Primary Goods,139.0,160.0,190.0,195.0,196.0,229.0,254.0,249.0
工业制品,Manufactured Goods,904.0,1280.0,1412.0,1420.0,1693.0,2489.0,2627.0,2513.0
三、进口商品,Imported Goods,,,,,,,,
初级产品,Primary Goods,361.0,508.0,904.0,967.0,896.0,1258.0,1407.0,1350.0
工业制品,Manufactured Goods,435.0,459.0,418.0,388.0,416.0,563.0,524.0,533.0
四、纺织服装进出口总值,Total Value of Imports and Exports,189.0,229.0,244.0,231.0,274.0,329.0,317.0,299.0
,of Textile Apparel,,,,,,,,
出口额,Exports,173.0,213.0,230.0,220.0,264.0,318.0,308.0,291.0
进口额,Imports,15.0,16.0,13.0,12.0,10.0,11.0,9.0,8.0
五、农产品进出口总值,Total Value of Imports and Exports,251.0,314.0,323.0,335.0,353.0,411.0,444.0,448.0
,of Agricultural Products,,,,,,,,
出口额,Exports,127.0,153.0,174.0,179.0,182.0,192.0,208.0,210.0
进口额,Imports,124.0,161.0,149.0,156.0,171.0,219.0,236.0,238.0
六、机电产品进出口总值,Total Value of Imports and Exports,725.0,872.0,868.0,847.0,1076.0,1535.0,1579.0,1629.0
,of Mechanical and Electrical Products,,,,,,,,
出口额,Exports,451.0,576.0,603.0,604.0,810.0,1172.0,1249.0,1270.0
进口额,Imports,274.0,296.0,265.0,243.0,267.0,363.0,330.0,358.0
七、高新技术产品进出口总值,Total Value of Imports and Exports,329.0,353.0,300.0,267.0,316.0,440.0,427.0,462.0
,of High and New-tech Products,,,,,,,,
出口额,Exports,176.0,177.0,154.0,133.0,154.0,202.0,199.0,203.0
进口额,Imports,153.0,176.0,146.0,133.0,162.0,238.0,227.0,259.0
八、外商投资企业进出口总值,Total Value of Imports and Exports of,963.0,926.0,858.0,749.0,708.0,908.0,894.0,816.0
,Foreign-funded Enterprises,,,,,,,,
出口额,Exports,566.0,561.0,516.0,457.0,438.0,582.0,586.0,526.0
进口额,Imports,397.0,365.0,342.0,292.0,270.0,326.0,308.0,290.0
九、一般贸易进出口总值,Total Value of Imports and Exports under,974.0,1494.0,1972.0,1989.0,2181.0,3021.0,3118.0,3027.0
,General Trades,,,,,,,,
出口额,Exports,497.0,904.0,1105.0,1126.0,1385.0,1957.0,2073.0,2000.0
进口额,Imports,477.0,590.0,867.0,863.0,795.0,1064.0,1045.0,1027.0
十、加工贸易进出口总值,Total Value of Imports and Exports under,756.0,745.0,657.0,573.0,555.0,701.0,756.0,732.0
,Processing Trades,,0.0,,,,,,
出口额,Exports,498.0,492.0,452.0,410.0,396.0,481.0,559.0,532.0
进口额,Imports,258.0,252.0,205.0,163.0,159.0,220.0,198.0,200.0
来料加工贸易进出口总值,Total Value of Imports and Exports under,118.0,113.0,95.0,94.0,79.0,95.0,112.0,111.0
,Processing Trades with Sent Materials,,,,,,,,
出口额,Exports,75.0,74.0,60.0,61.0,50.0,55.0,67.0,67.0
进口额,Imports,43.0,39.0,35.0,34.0,29.0,40.0,45.0,44.0
进料加工贸易进出口总值,Total Value of Imports and Exports under,638.0,632.0,562.0,479.0,476.0,606.0,644.0,622.0
,Processing Trades with Imported Materials,,,,,,,,
出口额,Exports,423.0,418.0,392.0,350.0,347.0,426.0,492.0,465.0
进口额,Imports,215.0,213.0,170.0,130.0,130.0,180.0,153.0,156.0
