8-4各地区地方一般公共预算收入-(2022年)-项目,8-4各地区地方一般公共预算收入-(2022年)-沈阳,8-4各地区地方一般公共预算收入-(2022年)-大连,8-4各地区地方一般公共预算收入-(2022年)-鞍山,8-4各地区地方一般公共预算收入-(2022年)-抚顺,8-4各地区地方一般公共预算收入-(2022年)-本溪,8-4各地区地方一般公共预算收入-(2022年)-丹东,8-4各地区地方一般公共预算收入-(2022年)-锦州,(2022年)-营口,(2022年)-阜新,(2022年)-辽阳,(2022年)-盘锦,(2022年)-铁岭,(2022年)-朝阳,单位：万元-葫芦岛
,,,,,,,,,,,,,,
合    计,7136722.0,6697660.0,1485246.0,608317.0,739041.0,679581.0,1038851.0,1293407.0,448318.0,873800.0,1213620.0,454982.0,793737.0,591010.0
一、各项税收小计,5293706.0,4161953.0,1063525.0,417581.0,520582.0,377919.0,644762.0,903335.0,263132.0,621186.0,939850.0,316517.0,541620.0,350424.0
增值税,1415240.0,1453283.0,341959.0,169871.0,212500.0,107097.0,220683.0,307122.0,86854.0,264369.0,343251.0,112208.0,156779.0,116979.0
企业所得税,1503482.0,876106.0,133155.0,37645.0,55626.0,45043.0,50078.0,136600.0,31155.0,57290.0,66926.0,27926.0,52224.0,31967.0
个人所得税,254420.0,271855.0,31890.0,16343.0,17348.0,14236.0,22506.0,23221.0,9464.0,12608.0,34111.0,11053.0,18940.0,14041.0
资源税,34324.0,5122.0,106729.0,17879.0,65590.0,11630.0,18327.0,3554.0,5260.0,63422.0,87730.0,12728.0,54867.0,6536.0
城市维护建设税,374431.0,320030.0,59370.0,38858.0,28713.0,19957.0,45011.0,71544.0,15675.0,57381.0,103859.0,19344.0,24994.0,35963.0
耕地占用税,38301.0,10619.0,35091.0,6003.0,5987.0,8827.0,30388.0,12145.0,6455.0,4473.0,6362.0,8187.0,9009.0,10667.0
契税,342509.0,379625.0,60221.0,19668.0,15537.0,30283.0,35473.0,39056.0,17771.0,25895.0,33528.0,23567.0,69335.0,29573.0
其他税收收入,1330999.0,845313.0,295110.0,111314.0,119281.0,140846.0,222296.0,310093.0,90498.0,135748.0,264083.0,101504.0,155472.0,104698.0
二、非税收入小计,1843016.0,2535707.0,421721.0,190736.0,218459.0,301662.0,394089.0,390072.0,185186.0,252614.0,273770.0,138465.0,252117.0,240586.0
专项收入,515180.0,524282.0,52330.0,37050.0,23854.0,19110.0,44310.0,57621.0,14668.0,58111.0,99154.0,18402.0,30586.0,39455.0
行政事业性收费收入,216527.0,134343.0,20051.0,14993.0,54460.0,20718.0,33627.0,22988.0,17151.0,17452.0,25906.0,20731.0,39728.0,56349.0
罚没收入,206340.0,564125.0,75437.0,49779.0,43017.0,59104.0,72157.0,145572.0,50185.0,72850.0,115055.0,37818.0,55521.0,21587.0
国有资本经营收入,0.0,7271.0,90014.0,350.0,757.0,1027.0,1936.0,0.0,0.0,1251.0,0.0,0.0,881.0,408.0
国有资源有偿使用收入,729061.0,1170870.0,165968.0,69081.0,89384.0,184475.0,222860.0,144064.0,90121.0,92654.0,15435.0,55241.0,106851.0,111916.0
其他收入,175908.0,134816.0,17921.0,19483.0,6987.0,17228.0,19199.0,19827.0,13061.0,10296.0,18220.0,6273.0,18550.0,10871.0
