3-3AgeCompositionofPopulationinDifferentRegions(II)-Region-Region,3-3AgeCompositionofPopulationinDifferentRegions(II)-Population-Total,3-3AgeCompositionofPopulationinDifferentRegions(II)-Population-0-15yearsold,3-3AgeCompositionofPopulationinDifferentRegions(II)-Population-16-59yearsold,3-3AgeCompositionofPopulationinDifferentRegions(II)-Population-60yearsandabove,3-3AgeCompositionofPopulationinDifferentRegions(II)-Proportion-Total,3-3AgeCompositionofPopulationinDifferentRegions(II)-Proportion-0-15yearsold,3-3AgeCompositionofPopulationinDifferentRegions(II)-Proportion-16-59yearsold,"3-3AgeCompositionofPopulationinDifferentRegions(II)-Unit:Person,%-Proportion-60yearsandabove"
,,,,,,,,
Whole Country,1409778724.0,268707162.0,877053344.0,264018218.0,100.0,19.06,62.21,18.73
,,,,,,,,
Beijing,21893095.0,2687643.0,14906862.0,4298590.0,100.0,12.28,68.09,19.63
Tianjin,13866009.0,1972953.0,8890368.0,3002688.0,100.0,14.23,64.12,21.66
Hebei,74610235.0,16044637.0,43753550.0,14812048.0,100.0,21.5,58.64,19.85
Shanxi,34915616.0,6072949.0,22235642.0,6607025.0,100.0,17.39,63.68,18.92
Inner Mongolia,24049155.0,3595203.0,15696719.0,4757233.0,100.0,14.95,65.27,19.78
,,,,,,,,
Liaoning,42591407.0,5081142.0,26555798.0,10954467.0,100.0,11.93,62.35,25.72
Jilin,24073453.0,3046210.0,15476078.0,5551165.0,100.0,12.65,64.29,23.06
Heilongjiang,31850088.0,3578597.0,20875801.0,7395690.0,100.0,11.24,65.54,23.22
,,,,,,,,
Shanghai,24870895.0,2545325.0,16510108.0,5815462.0,100.0,10.23,66.38,23.38
Jiangsu,84748016.0,13663748.0,52578923.0,18505345.0,100.0,16.12,62.04,21.84
Zhejiang,64567588.0,9229598.0,43265306.0,12072684.0,100.0,14.29,67.01,18.7
Anhui,61027171.0,12471376.0,37086559.0,11469236.0,100.0,20.44,60.77,18.79
Fujian,41540086.0,8453900.0,26448317.0,6637869.0,100.0,20.35,63.67,15.98
Jiangxi,45188635.0,10613797.0,26950057.0,7624781.0,100.0,23.49,59.64,16.87
Shandong,101527453.0,20211188.0,60095459.0,21220806.0,100.0,19.91,59.19,20.9
,,,,,,,,
Henan,99365519.0,24405618.0,56995853.0,17964048.0,100.0,24.56,57.36,18.08
Hubei,57752557.0,9950101.0,36007461.0,11794995.0,100.0,17.23,62.35,20.42
Hunan,66444864.0,13783681.0,39449902.0,13211281.0,100.0,20.74,59.37,19.88
Guangdong,126012510.0,24937244.0,85510200.0,15565066.0,100.0,19.79,67.86,12.35
Guangxi,50126804.0,12542564.0,29220461.0,8363779.0,100.0,25.02,58.29,16.69
Hainan,10081232.0,2137688.0,6466945.0,1476599.0,100.0,21.2,64.15,14.65
,,,,,,,,
Chongqing,32054159.0,5460215.0,19583504.0,7010440.0,100.0,17.03,61.1,21.87
Sichuan,83674866.0,14370498.0,51140564.0,18163804.0,100.0,17.17,61.12,21.71
Guizhou,38562148.0,9768837.0,22861954.0,5931357.0,100.0,25.33,59.29,15.38
Yunnan,47209277.0,9818670.0,30352577.0,7038030.0,100.0,20.8,64.29,14.91
Tibet,3648100.0,944880.0,2392236.0,310984.0,100.0,25.9,65.57,8.52
,,,,,,,,
Shaanxi,39528999.0,7210220.0,24727577.0,7591202.0,100.0,18.24,62.56,19.2
Gansu,25019831.0,5124793.0,15634047.0,4260991.0,100.0,20.48,62.49,17.03
Qinghai,5923957.0,1306676.0,3897879.0,719402.0,100.0,22.06,65.8,12.14
Ningxia,7202654.0,1558823.0,4669689.0,974142.0,100.0,21.64,64.83,13.52
Xinjiang,25852345.0,6118388.0,16816948.0,2917009.0,100.0,23.67,65.05,11.28
