Serial Number,Date,Income Amount,Abstract Description,Income Method,Date.1,Expenditure Amount,Abstract Description.1,Payment Method,Remark Information
1,2023/1/1,1200.0,****,Cash,2023/1/1,800.0,****,Cash,XXXXX
2,2023/2/1,1400.0,****,Online Banking,2023/2/1,700.0,****,Cash,xxxx
3,2023/3/1,2100.0,****,Other,2023/3/1,600.0,****,Other,xxxx
4,2023/4/1,2500.0,****,Online Banking,2023/4/1,500.0,****,Online Banking,XXXXX
5,2023/5/1,2700.0,****,Cash,2023/5/1,400.0,****,Cash,xxxx
6,2023/6/1,1900.0,****,Online Banking,2023/6/1,750.0,****,Cash,xxxx
7,2023/7/1,1600.0,****,Other,2023/7/1,850.0,****,Other,xxxx
8,2023/8/1,1700.0,****,Online Banking,2023/8/1,550.0,****,Online Banking,xxxx
9,2023/9/1,2200.0,****,Cash,2023/9/1,950.0,****,Cash,xxxx
10,2023/10/1,2400.0,****,Online Banking,2023/10/1,1000.0,****,Cash,XXXXX
11,2023/11/1,2900.0,****,Other,2023/11/1,1200.0,****,Other,xxxx
12,2023/12/1,3000.0,****,Online Banking,2023/12/1,1400.0,****,Online Banking,xxxx
13,2024/1/1,2828.79,****,Cash,2024/1/1,1187.88,****,Cash,xxxx
14,2024/2/1,2935.78,****,Online Banking,2024/2/1,1246.27,****,Cash,xxxx
15,2024/3/1,3042.77,****,Other,2024/3/1,1304.66,****,Other,xxxx
16,2024/4/1,3149.77,****,Online Banking,2024/4/1,1363.05,****,Online Banking,XXXXX
17,2024/5/1,3256.76,****,Cash,2024/5/1,1421.45,****,Cash,xxxx
18,2024/6/1,3363.75,****,Online Banking,2024/6/1,1479.84,****,Cash,xxxx
19,2024/7/1,3.470.75,****,Other,2024/7/1,153823.0,****,Other,xxxx
