SerialNumber-SerialNumber,Model-Model,Ratedliftingmoment-（kN·m）,Reach-（m）,MaximumLiftingCapacity-（t）,Amplitudeatmaximumliftingcapacity-（m）,Liftingcapacityatmaximumoutreach-（t）,Liftingheight(m)-Attached(condition),Liftingheight(m)-Innerclimbing,Liftingheight(m)-Travel,Liftingheight(m)-Fixed,"Speed(m/min,r/min)-Lifting","Speed(m/min,r/min)-Luffing/RadiusChange","Speed(m/min,r/min)-Travel","Speed(m/min,r/min)-Rotation",Notes-Notes,Manufacturer'splaceoforigin-Manufacturer'splaceoforigin
1,QT4-10,,,10,17.0,4.0,160,,,,45，22.5,18,,1,,Beijing
1,QT4-10,,,20,12.0,4.0,160 ,,,,45，22.5,18 ,,1 ,,Beijing
2,QT80（A）,,,7,11.0,3.0,70,,,,70，50，29.5,45，25,,1,,Beijing
2,QT80（A）,,,6,12.0,2.0,70 ,,,,70，50，29.5,45，25,,1 ,,Beijing
3,Z80,,,8,10.0,3.0,123,,,,45，22.5,30,,1,,"Shanghai, Sichuan"
4,ZT-120,,,8,15.0,4.0,160,,,,50，3,31,,1,,Shanghai
5,QTZ1600,,55，60，65,10,,2.0,200,,,52,35，73，110,60，30，9.5,,1,,Jinan
6,QTZ800,,40，45，50,8,,1.0,150,150.0,46.0,46,34，54，100,35,22.0,1,,Jinan
7,QTZ200,,,20,12.0,4.0,60,,,,80，40，8.2,22,,0,,Beijing
8,QTZ100,,2.4~60,,,,163,,,50,6-speed 100.8~16.8,80，60，7.6,,1,,China Construction
9,QTZ60A,,35，40，45,6,,2.0,100,110.0,46.0,46,34，54，100,35,22.0,1,,Jinan
10,QTZ60,,35，40，45,6,,1.0,100,,,40,34，50，100,20，40.5,,1,,Jinan
11,QTZ40,,30，35，40,4,,1.0,80,,,32,18，34，70,20，40.5,,1,,Jinan
12,QTZ315,,38,3,,1.0,80,,30.0,30,53.7，26.8，5.95,22，33,23.0,0.8，0.4,,Jinan
13,QTZ25,,30,3,,1.0,60,,26.0,26,44，29，6.9,22,23.0,0.8，0.4,,Jinan
14,QTP60,,30,6,10.0,2.0,,,,,50，25,28.6，10,,0.19~0.57,Inner Climbing Tower,Shanghai
15,QT5-4/20,,20,4,11.0,2.0,,,,,40，5,20,,1,Inner Climbing Tower,Hubei
16,C7050,,70,20,,5.0,,,80.0,,,,,,,Sichuan
