1-1-57全国按经营耕地规模分的农业生产经营单位农业技术人员数量-名称,单位：人-合计,初级,中级,高级
,,,,
合  计,938168.0,556158.0,295179.0,86856.0
0亩,746704.0,454047.0,232539.0,60133.0
0.1-5亩,11925.0,6282.0,4047.0,1596.0
5.1-10亩,7130.0,3857.0,2529.0,744.0
10.1-15亩,3722.0,2046.0,1301.0,375.0
15.1-20亩,5557.0,2894.0,1939.0,724.0
20.1-25亩,2213.0,1166.0,766.0,281.0
25.1-30亩,3740.0,2024.0,1303.0,413.0
30.1-35亩,1458.0,715.0,478.0,265.0
35.1-40亩,2659.0,1384.0,941.0,334.0
40.1-45亩,1215.0,656.0,429.0,130.0
45.1-50亩,4034.0,2090.0,1436.0,508.0
50.1-55亩,952.0,440.0,343.0,169.0
55.1-60亩,2680.0,1244.0,930.0,506.0
60.1-65亩,937.0,507.0,339.0,91.0
65.1-70亩,2102.0,1015.0,725.0,362.0
70.1-75亩,773.0,418.0,233.0,122.0
75.1-80亩,2705.0,1481.0,900.0,324.0
80.1-85亩,741.0,399.0,260.0,82.0
85.1-90亩,1356.0,702.0,462.0,193.0
90.1-95亩,429.0,286.0,118.0,25.0
95.1-100亩,5316.0,2442.0,1766.0,1108.0
100.1-150亩,10051.0,5471.0,3363.0,1221.0
150.1-200亩,9923.0,5112.0,3631.0,1179.0
200.1-250亩,5049.0,2823.0,1669.0,557.0
250.1-300亩,7154.0,3987.0,2332.0,837.0
300.1-400亩,8300.0,4262.0,2735.0,1303.0
400.1-500亩,7204.0,3825.0,2438.0,942.0
500.1-1000亩,17902.0,9604.0,5786.0,2513.0
1000.1-5000亩,30656.0,16409.0,10313.0,3935.0
5000亩以上,33581.0,18570.0,9128.0,5884.0
