EngineeringProjectContractManagementLedger-SerialNumber,EngineeringProjectContractManagementLedger-Number,EngineeringProjectContractManagementLedger-Supplier,EngineeringProjectContractManagementLedger-SigningDate,EngineeringProjectContractManagementLedger-ContractAmount,EngineeringProjectContractManagementLedger-PaidAmount,EngineeringProjectContractManagementLedger-FirstPayment,EngineeringProjectContractManagementLedger-FirstPayment.1,EngineeringProjectContractManagementLedger-FirstPayment.2,EngineeringProjectContractManagementLedger-SecondPayment,EngineeringProjectContractManagementLedger-SecondPayment.1,EngineeringProjectContractManagementLedger-SecondPayment.2,EngineeringProjectContractManagementLedger-ThirdPayment,EngineeringProjectContractManagementLedger-ThirdPayment.1,EngineeringProjectContractManagementLedger-ThirdPayment.2,EngineeringProjectContractManagementLedger-RetentionMoney,EngineeringProjectContractManagementLedger-RetentionMoney.1,EngineeringProjectContractManagementLedger-RetentionMoney.2
Serial Number,Number,Supplier,Signing Date, Contract Amount , Paid Amount ,Payment Terms,Ratio,Amount,Payment Terms,Ratio,Amount,Payment Terms,Ratio,Amount,Ratio,Amount,Warranty Period
1,BM8801,Unit 1,20**/10/01,32000,,Payment after signing,50%,,After the goods arrive at the client's site,40%,,"Installation completed, acceptance qualified, VAT invoice issued",,,5%,,One year
3,BM8802,Unit 2,20**/10/02,478867,,Payment after signing,20%,,Goods arrive on site and VAT invoice is issued.,40%,,"Installation completed, acceptance qualified, VAT invoice issued",,,2%,,6 months
4,BM8803,Unit 3,20**/10/03,,,Payment after signing,30%,,"More than 50% completed, passed acceptance inspection",30%,,"Project completion, passed acceptance inspection",,,5%,,One year from the date of successful completion acceptance
6,BM8804,Unit 4,20**/10/04,440126,,Progress 50% acceptance passed,50%,,"Project completion, passed acceptance inspection",45%,,,,,5%,,One year from the date of successful completion acceptance
8,BM8805,Unit 5,20**/10/05,112658,,Complete 50% of the single unit work volume,25%,,Complete 80% of the individual work volume,20%,,This single engineering project is completed and accepted as qualified.,,,5%,,One year from the date of successful completion acceptance
10,BM8806,Unit 6,20**/10/06,7800,,Advance deposit after signing,30%,,"Installation completed, passed acceptance inspection",70%,,,,,,,
12,BM8807,Unit 7,20**/10/08,,,Payment after the goods arrive and pass inspection.,100%,,,,,,,,,,
13,BM8808,Unit 8,20**/10/09,292557,,Within 10 working days after the contract is signed,30%,,"Complete construction, pass acceptance inspection",20%,,All glass arrives at the site and passes acceptance inspection.,,,10%,,One year from the date of successful completion acceptance
14,BM8809,Unit 9,20**/10/10,,,,,,,,,,,,,,
15,BM8810,Unit 10,20**/10/11,560182,,"Project completion, passed acceptance inspection",95%,,,,,,,,5%,,One year from the date of successful completion acceptance
16,BM8811,Unit 11,20**/10/12,117736,,,,,,,,,,,,,
17,BM8812,Unit 12,20**/10/13,183692,,,,,,,,,,,,,
18,BM8813,Unit 13,20**/10/14,2600000,,Within 10 days before the project starts,30%,,10 working days after the concealed project passes acceptance inspection,30%,,Within 10 working days after the main project is basically completed,,,5%,,One year
19,BM8814,Unit 14,20**/10/15,2080000,,Within 10 days before the project starts,30%,,Within 10 working days after the concealed project passes acceptance inspection,30%,,Within 10 working days after the main project is basically completed,,,5%,,One year
20,BM8815,,,,,,,,,,,,,,,,
