1-1-5全国按乡村类型和主要农业行业分的住户农业从业人员数量-名称,单位：人-合计,单位：人-农作物种植业,单位：人-林业,单位：人-畜牧业,单位：人-渔业,单位：人-农林牧渔服务业
,,,,,,
,,,,,,
合       计,342463995.0,321552974.0,2437194.0,14707868.0,2655637.0,1110322.0
一、按社区类型分,,,,,,
村委会,333684993.0,314121636.0,2287277.0,13991529.0,2325908.0,958643.0
居委会,6075378.0,5369591.0,55239.0,384843.0,197381.0,68324.0
农场,1966458.0,1560342.0,83799.0,178981.0,74002.0,69334.0
二、按地势分,,,,,,
平原,135485165.0,128150313.0,244160.0,5058800.0,1388581.0,643311.0
丘陵,110167471.0,103893693.0,569860.0,4321685.0,1074541.0,307692.0
山区,95985895.0,88943174.0,1606848.0,5164379.0,128792.0,142702.0
三、按贫困村类型分,,,,,,
非贫困村,270346671.0,253831272.0,1879331.0,11285324.0,2374192.0,976552.0
贫困村,71291023.0,67155515.0,541587.0,3259184.0,217587.0,117150.0
省定贫困村,48410554.0,45632076.0,316460.0,2290390.0,102424.0,69204.0
省以下定贫困村,22880469.0,21523439.0,225127.0,968794.0,115163.0,47946.0
四、按是否少数民族聚居村分,,,,,,
是,46039392.0,41855531.0,513466.0,3521012.0,64510.0,84873.0
否,295597825.0,279130902.0,1907400.0,11023512.0,2527269.0,1008742.0
五、按所在乡镇类型分,,,,,,
乡,108757710.0,102339509.0,812028.0,5103692.0,276816.0,225665.0
镇,220718427.0,207735251.0,1456235.0,8776190.0,2019747.0,731004.0
街道,10265970.0,9234675.0,82784.0,586842.0,283245.0,78424.0
农场,2629682.0,2164875.0,83961.0,233071.0,73112.0,74663.0
六、按所在乡镇是否县政府驻地分,,,,,,
是,23302896.0,21622433.0,156090.0,1251164.0,195834.0,77375.0
否,319068893.0,299851877.0,2278918.0,13448631.0,2457086.0,1032381.0
七、按所在乡镇是否民族乡镇分,,,,,,
是,19729492.0,18113564.0,190596.0,1355080.0,31126.0,39126.0
否,322642297.0,303360746.0,2244412.0,13344715.0,2621794.0,1070630.0
八、按所在乡镇是否老区分,,,,,,
是,78271253.0,74764100.0,610016.0,2101059.0,547740.0,248338.0
否,264100536.0,246710210.0,1824992.0,12598736.0,2105180.0,861418.0
九、按所在乡镇是否边区分,,,,,,
是,14007787.0,12801915.0,252179.0,847242.0,71806.0,34645.0
否,328364002.0,308672395.0,2182829.0,13852553.0,2581114.0,1075111.0
十、无对应乡表的分组,92206.0,78664.0,2186.0,8073.0,2717.0,566.0
十一、无对应村表的分组,737166.0,501405.0,10879.0,152515.0,58346.0,14021.0
