1-1-25全国按住户人口特征和劳动能力分的家庭户农业从业人员数量-名称,单位：人-合计,整劳动力,半劳动力,其中16-17岁
,,,,
合    计,342170157.0,284231166.0,57938991.0,4883209.0
按住户居住时间分,,,,
1年以下,74191.0,69987.0,4204.0,540.0
1-5年,1933345.0,1761158.0,172187.0,23089.0
5年以上,340162614.0,282400017.0,57762597.0,4859580.0
按登记人数分,,,,
1人户,5846191.0,3177327.0,2668864.0,12016.0
2人户,30075956.0,16239097.0,13836859.0,100367.0
3人户,64566085.0,56699331.0,7866754.0,632854.0
4人户,96962780.0,88364886.0,8597894.0,1846195.0
5人户,75530518.0,63582161.0,11948357.0,1266744.0
6人及以上,69188627.0,56168364.0,13020263.0,1025033.0
按住户户籍所在地分,,,,
本村户,339708240.0,282011265.0,57696975.0,4856016.0
村外乡内户,823239.0,727634.0,95605.0,8551.0
乡外县内户,476705.0,422753.0,53952.0,4973.0
县外(地)市内户,249531.0,222899.0,26632.0,2948.0
市外省内户,364155.0,338250.0,25905.0,4586.0
外省,531966.0,494622.0,37344.0,5653.0
其他,16321.0,13743.0,2578.0,482.0
按户籍性质分,,,,
农业户籍户,325489705.0,270491644.0,54998061.0,4764215.0
混合户,12305696.0,9991979.0,2313717.0,83978.0
非农户籍户,4350173.0,3726501.0,623672.0,34413.0
户籍待定户,24583.0,21042.0,3541.0,603.0
按户主受教育程度分,,,,
文盲,22130047.0,14402117.0,7727930.0,351151.0
小学,140342004.0,109837469.0,30504535.0,2030571.0
初中,158940065.0,141261162.0,17678903.0,2275331.0
高中,19904906.0,18013719.0,1891187.0,219758.0
大学及以上,850719.0,715267.0,135452.0,6362.0
