6-3全国育龄妇女分年龄、孩次的生育状况(2019.11.1-2020.10.31)-年龄-年龄,6-3全国育龄妇女分年龄、孩次的生育状况(2019.11.1-2020.10.31)-平均育龄-妇女人数,6-3全国育龄妇女分年龄、孩次的生育状况(2019.11.1-2020.10.31)-出生人数-出生人数,6-3全国育龄妇女分年龄、孩次的生育状况(2019.11.1-2020.10.31)-生育率-生育率,6-3全国育龄妇女分年龄、孩次的生育状况(2019.11.1-2020.10.31)-第一孩-出生数,6-3全国育龄妇女分年龄、孩次的生育状况(2019.11.1-2020.10.31)-第一孩-生育率,6-3全国育龄妇女分年龄、孩次的生育状况(2019.11.1-2020.10.31)-第二孩-出生数,6-3全国育龄妇女分年龄、孩次的生育状况(2019.11.1-2020.10.31)-第二孩-生育率,6-3全国育龄妇女分年龄、孩次的生育状况(2019.11.1-2020.10.31)-第三孩及以上-出生数,6-3全国育龄妇女分年龄、孩次的生育状况(2019.11.1-2020.10.31)-单位：人、‰-第三孩及以上-生育率
,,,,,,,,,
总  计,32555388.0,1213144.0,37.0,555206.0,17.0,522742.0,16.0,135196.0,4.0
,,,,,,,,,
15-19岁,3647362.0,22132.0,6.0,18061.0,5.0,3696.0,1.0,375.0,0.0
15,795618.0,569.0,1.0,536.0,1.0,32.0,0.0,1.0,0.0
16,756212.0,1546.0,2.0,1401.0,2.0,138.0,0.0,7.0,0.0
17,706325.0,3216.0,5.0,2767.0,4.0,408.0,1.0,41.0,0.0
18,660878.0,5964.0,9.0,4912.0,7.0,979.0,1.0,73.0,0.0
19,728329.0,10837.0,15.0,8445.0,12.0,2139.0,3.0,253.0,0.0
,,,,,,,,,
20-24岁,3546605.0,195859.0,55.0,129899.0,37.0,55884.0,16.0,10076.0,3.0
20,712126.0,18441.0,26.0,13533.0,19.0,4291.0,6.0,617.0,1.0
21,686439.0,27652.0,40.0,19284.0,28.0,7222.0,11.0,1146.0,2.0
22,677906.0,37393.0,55.0,25019.0,37.0,10550.0,16.0,1824.0,3.0
23,707739.0,49559.0,70.0,32587.0,46.0,14305.0,20.0,2667.0,4.0
24,762395.0,62814.0,82.0,39476.0,52.0,19516.0,26.0,3822.0,5.0
,,,,,,,,,
25-29岁,4490336.0,444455.0,99.0,241541.0,54.0,166879.0,37.0,36035.0,8.0
25,771263.0,71457.0,93.0,43996.0,57.0,22992.0,30.0,4469.0,6.0
26,800970.0,81857.0,102.0,48695.0,61.0,27504.0,34.0,5658.0,7.0
27,873446.0,92238.0,106.0,52065.0,60.0,33202.0,38.0,6971.0,8.0
28,934187.0,95245.0,102.0,49140.0,53.0,37639.0,40.0,8466.0,9.0
29,1110470.0,103658.0,93.0,47645.0,43.0,45542.0,41.0,10471.0,9.0
,,,,,,,,,
30-34岁,5925543.0,385477.0,65.0,127591.0,22.0,204198.0,34.0,53688.0,9.0
30,1269591.0,104270.0,82.0,42025.0,33.0,50022.0,39.0,12223.0,10.0
31,1204805.0,89319.0,74.0,31455.0,26.0,46371.0,38.0,11493.0,10.0
32,1246149.0,78934.0,63.0,24155.0,19.0,43227.0,35.0,11552.0,9.0
33,1176928.0,64546.0,55.0,17787.0,15.0,36715.0,31.0,10044.0,9.0
34,1028070.0,48408.0,47.0,12169.0,12.0,27863.0,27.0,8376.0,8.0
,,,,,,,,,
35-39岁,4728349.0,127235.0,27.0,28702.0,6.0,72250.0,15.0,26283.0,6.0
35,947311.0,37662.0,40.0,8893.0,9.0,21539.0,23.0,7230.0,8.0
36,923519.0,30313.0,33.0,6870.0,7.0,17218.0,19.0,6225.0,7.0
37,979861.0,25258.0,26.0,5675.0,6.0,14383.0,15.0,5200.0,5.0
38,1029050.0,20911.0,20.0,4464.0,4.0,11862.0,12.0,4585.0,4.0
39,848608.0,13091.0,15.0,2800.0,3.0,7248.0,9.0,3043.0,4.0
,,,,,,,,,
40-44岁,4559392.0,28902.0,6.0,6578.0,1.0,15538.0,3.0,6786.0,1.0
40,918793.0,10322.0,11.0,2227.0,2.0,5709.0,6.0,2386.0,3.0
41,903371.0,7260.0,8.0,1638.0,2.0,3990.0,4.0,1632.0,2.0
42,870293.0,4997.0,6.0,1144.0,1.0,2616.0,3.0,1237.0,1.0
43,903726.0,3608.0,4.0,862.0,1.0,1858.0,2.0,888.0,1.0
44,963209.0,2715.0,3.0,707.0,1.0,1365.0,1.0,643.0,1.0
,,,,,,,,,
45-49岁,5657801.0,9084.0,2.0,2834.0,1.0,4297.0,1.0,1953.0,0.0
45,1016559.0,2064.0,2.0,600.0,1.0,952.0,1.0,512.0,1.0
46,1097766.0,1850.0,2.0,586.0,1.0,864.0,1.0,400.0,0.0
47,1155063.0,1732.0,2.0,535.0,0.0,845.0,1.0,352.0,0.0
48,1163817.0,1692.0,1.0,567.0,0.0,808.0,1.0,317.0,0.0
49,1224596.0,1746.0,1.0,546.0,0.0,828.0,1.0,372.0,0.0
