5-17城乡居民人均可支配收入情况(2016-2018年)-项目-项目,5-17城乡居民人均可支配收入情况(2016-2018年)-项目-项目.1,5-17城乡居民人均可支配收入情况(2016-2018年)-全体居民-2016,5-17城乡居民人均可支配收入情况(2016-2018年)-全体居民-2017,5-17城乡居民人均可支配收入情况(2016-2018年)-全体居民-2018,5-17城乡居民人均可支配收入情况(2016-2018年)-城镇常住居民-2016,5-17城乡居民人均可支配收入情况(2016-2018年)-城镇常住居民-2017,5-17城乡居民人均可支配收入情况(2016-2018年)-城镇常住居民-2018,5-17城乡居民人均可支配收入情况(2016-2018年)-农村常住居民-2016,5-17城乡居民人均可支配收入情况(2016-2018年)-农村常住居民-2017,5-17城乡居民人均可支配收入情况(2016-2018年)-单位:元-农村常住居民-2018
可支配收入,可支配收入,38529,42046,45840,47237,51261,55574,22866.0,24956.0,27302
工资性收入,工资性收入,22207,24137,26242,26656,28818,31148,14204.0,15457.0,16898
工资,  工资,21065,22877,24918,25159,27160,29460,13700.0,14934.0,16267
实物福利,  实物福利,181,211,132,243,286,167,70.0,72.0,67
其他,  其他,961,1049,1192,1254,1371,1521,434.0,452.0,564
经营净收入,经营净收入,6589,7123,7752,7126,7669,8316,5622.0,6112.0,6677
第一产业净收入,第一产业净收入,777,851,1054,207,262,440,1802.0,1944.0,2222
第二产业净收入,第二产业净收入,1631,1766,2074,1751,2001,2273,1416.0,1330.0,1693
第三产业净收入,第三产业净收入,4181,4506,4624,5168,5405,5602,2405.0,2839.0,2762
财产净收入,财产净收入,4337,4742,5244,6381,6911,7586,662.0,718.0,784
利息净收入,利息净收入,132,274,(21),166,376,(55),70.0,84.0,44
红利收入,红利收入,711,663,839,936,877,1188,305.0,266.0,174
储蓄性保险净收益,储蓄性保险净收益,2,5,5,3,5,8,1.0,3.0,1
转让承包土地经营权租金净收入,转让承包土地经营权租金净收入,36,38,81,21,15,57,63.0,81.0,126
出租房屋净收入,出租房屋净收入,1180,1329,1531,1719,1910,2115,209.0,251.0,419
出租其它资产净收入,出租其它资产净收入,9,17,31,8,13,36,10.0,24.0,20
自有住房折算净租金,自有住房折算净租金,2256,2379,2684,3511,3661,4093,,,
其他财产净收入,其他财产净收入,12,38,94,17,54,144,3.0,9.0,(1)
转移净收入,转移净收入,5396,6043,6602,7074,7863,8524,2378.0,2669.0,2943
转移性收入,转移性收入,8062,8702,9456,10186,10963,11828,4242.0,4509.0,4939
养老金或离退休金,  养老金或离退休金,6390,6949,7283,8503,9206,9648,2590.0,2765.0,2779
社会救济和补助,  社会救济和补助,53,66,91,46,54,64,66.0,90.0,143
惠农补贴,  惠农补贴,15,13,22,6,5,6,33.0,27.0,51
政策性生活补贴,  政策性生活补贴,55,57,70,66,69,71,37.0,34.0,70
报销医疗费,  报销医疗费,366,427,11,445,500,16,226.0,293.0,3
外出从业人员寄回带回收入,  外出从业人员寄回带回收入,544,556,34,540,618,27,549.0,441.0,47
赡养收入,  赡养收入,558,535,481,487,405,597,685.0,777.0,262
其他经常转移收入,  其他经常转移收入,80,97,467,93,105,469,55.0,83.0,462
转移性支出,转移性支出,2666,2659,2854,3111,3100,3304,1864.0,1841.0,1996
个人所得税,  个人所得税,125,147,233,188,221,338,11.0,9.0,32
社会保障支出,  社会保障支出,2293,2223,2340,2585,2504,2610,1769.0,1703.0,1826
外来从业人员寄给家人的支出,  外来从业人员寄给家人的支出,25,39,17,33,29,19,11.0,56.0,14
赡养支出,  赡养支出,115,140,172,158,200,224,37.0,29.0,74
其他经常转移支出,  其他经常转移支出,107,110,92,146,145,113,35.0,44.0,50
