8-16StocksTradedValueasPercentageofGDPandTurnoverRateofStockTransactions-StocksTradedValueasPercentageofGDPandTurnoverRatio-Source:WorldBankWDIDatabase.-Source:WorldBankWDIDatabase.-Unit:%-CountryorRegion-CountryorRegion-CountryorRegion-CountryorRegion,8-16StocksTradedValueasPercentageofGDPandTurnoverRateofStockTransactions-StocksTradedValueasPercentageofGDPandTurnoverRatio-CountryorArea-CountryorArea-CountryorArea-CountryorArea,"8-16StocksTradedValueasPercentageofGDPandTurnoverRateofStockTransactions-StocksTradedValueasPercentageofGDPandTurnoverRatio-ValueofStockTradingasaPercentageofGDPStocksTraded,TotalValue(%ofGDP)-ValueofStockTradingasaPercentageofGDPStocksTraded,TotalValue(%ofGDP)-ValueofStockTradingasaPercentageofGDPStocksTraded,TotalValue(%ofGDP)-2000","8-16StocksTradedValueasPercentageofGDPandTurnoverRateofStockTransactions-StocksTradedValueasPercentageofGDPandTurnoverRatio-ValueofStockTradingasaPercentageofGDPStocksTraded,TotalValue(%ofGDP)-ValueofStockTradingasaPercentageofGDPStocksTraded,TotalValue(%ofGDP)-ValueofStockTradingasaPercentageofGDPStocksTraded,TotalValue(%ofGDP)-2010","8-16StocksTradedValueasPercentageofGDPandTurnoverRateofStockTransactions-StocksTradedValueasPercentageofGDPandTurnoverRatio-ValueofStockTradingasaPercentageofGDPStocksTraded,TotalValue(%ofGDP)-ValueofStockTradingasaPercentageofGDPStocksTraded,TotalValue(%ofGDP)-ValueofStockTradingasaPercentageofGDPStocksTraded,TotalValue(%ofGDP)-2020","8-16StocksTradedValueasPercentageofGDPandTurnoverRateofStockTransactions-StocksTradedValueasPercentageofGDPandTurnoverRatio-StocksTradedTurnoverRateStocksTraded,TurnoverRatioofDomesticShares-StocksTradedTurnoverRateStocksTraded,TurnoverRatioofDomesticShares-StocksTradedTurnoverRateStocksTraded,TurnoverRatioofDomesticShares-2000","8-16StocksTradedValueasPercentageofGDPandTurnoverRateofStockTransactions-StocksTradedValueasPercentageofGDPandTurnoverRatio-StocksTradedTurnoverRateStocksTraded,TurnoverRatioofDomesticShares-StocksTradedTurnoverRateStocksTraded,TurnoverRatioofDomesticShares-StocksTradedTurnoverRateStocksTraded,TurnoverRatioofDomesticShares-2010","8-16StocksTradedValueasPercentageofGDPandTurnoverRateofStockTransactions-StocksTradedValueasPercentageofGDPandTurnoverRatio-(%)-StocksTradedTurnoverRateStocksTraded,TurnoverRatioofDomesticShares-StocksTradedTurnoverRateStocksTraded,TurnoverRatioofDomesticShares-StocksTradedTurnoverRateStocksTraded,TurnoverRatioofDomesticShares-2020"
,,,,,,,
World,World,144.2,111.6,,144.4,129.9,
High-income countries,High Income,164.0,131.1,,146.6,137.4,
Lower-middle-income countries,Low and Middle Income,36.7,65.3,133.4,63.1,102.9,169.4
Low-income countries,Low Income,,,,,,
China,China,62.1,135.7,215.0,,205.0,258.6
"Hong Kong, China","Hong Kong SAR, China",217.3,650.6,889.8,59.8,54.9,50.1
Bangladesh,Bangladesh,1.8,4.2,4.0,42.7,11.6,16.6
India,India,109.5,63.3,72.8,227.3,60.2,75.0
Indonesia,Indonesia,7.8,13.8,12.4,48.1,29.0,26.4
Iran,Iran,4.1,3.5,192.9,16.7,19.6,38.0
Israel,Israel,21.1,45.4,25.3,43.0,47.6,39.9
Japan,Japan,49.9,74.1,125.5,78.6,111.6,94.3
Kazakhstan,Kazakhstan,,0.4,0.2,,2.0,0.9
South Korea,"Korea, Rep.",86.0,142.5,315.7,289.2,149.3,238.5
Malaysia,Malaysia,56.0,45.0,73.7,46.4,28.1,56.9
Mongolia,Mongolia,,,,,,
Pakistan,Pakistan,31.2,5.9,,467.9,30.7,
Philippines,Philippines,8.8,10.7,9.0,28.4,14.1,12.0
Singapore,Singapore,99.0,127.5,,62.3,47.2,
Sri Lanka,Sri Lanka,0.8,8.5,2.0,12.4,25.1,10.7
Thailand,Thailand,15.3,65.2,96.2,66.2,80.1,88.6
Vietnam,Viet Nam,,21.0,16.4,,83.7,30.6
Egypt,Egypt,,17.0,4.2,,44.2,38.9
Nigeria,Nigeria,,1.4,0.6,,10.1,4.4
South Africa,South Africa,46.5,66.4,86.9,34.5,30.0,27.9
Canada,Canada,84.4,86.9,61.3,81.5,64.7,38.3
Mexico,Mexico,6.0,10.1,7.4,35.7,24.5,20.7
United States,United States,290.5,239.4,,197.1,208.4,
Argentina,Argentina,3.2,0.6,0.6,20.0,4.0,
Brazil,Brazil,14.3,41.1,93.1,41.6,58.8,
Venezuela,Venezuela,1.9,,,26.9,,
Czech Republic,Czech Rep.,10.8,10.6,1.7,68.2,,15.9
France,France,79.1,51.0,,74.7,70.6,
Germany,Germany,93.8,44.0,46.7,143.8,104.5,79.4
Italy,Italy,86.3,31.2,,128.8,124.4,
Netherlands,Netherlands,155.8,65.8,,101.5,84.3,
Poland,Poland,11.9,14.6,13.9,65.4,36.4,47.0
Russia,Russia,,33.2,18.5,,53.3,39.8
Spain,Spain,264.6,96.6,38.3,314.1,117.3,64.5
Turkey,Turkey,60.5,51.9,120.6,238.1,133.3,365.8
Ukraine,Ukraine,,2.0,,,7.3,
United Kingdom,United Kingdom,110.1,129.3,,71.1,119.6,
Australia,Australia,51.2,98.5,92.2,57.2,77.8,71.3
New Zealand,New Zealand,19.0,1.3,10.4,53.6,,16.8
