1-1-73全国按九大农区和从事农业时间分的家庭户中的常住从业人员数量,单位：人,单位：人.1,单位：人.2,单位：人.3,单位：人.4
名  称,"从事农业
1个月人数","从事农业
2-3个月人数","从事农业
4-6个月人数","从事农业
7-9个月人数","从事农业10个
月以上人数"
,,,,,
,,,,,
合  计,13997892,67496803,112879757,82634771,130116345
东北,782564,4717931,16234232,3654108,2172754
长城沿线,306636,1345575,4686150,4845437,2081178
黄淮海,4789445,30336475,40759957,22299828,13393139
黄土高原,1520324,7659729,8520384,6910206,7357283
长江中下游,4780298,14792339,23405986,17246786,34363850
西南,1013221,4960322,12401898,18161522,42354206
华南,655593,2920709,4519243,4966307,22864172
甘新,136331,641967,1760628,3662485,3943061
青藏,13480,121756,591279,888092,1586702
