1-21按行业(大类)、经营性质分组的产业活动单位数及从业人员数-行业大类,代码,产业活动单位数(个),经营性单位,非经营性单位,从业人员数(人),经营性单位.1,非经营性单位.1
,,,,,,,
总    计,,8869595.0,5769168.0,3100427.0,278632867.0,223787393.0,54845474.0
农、林、牧、渔业,A,21103.0,5085.0,16018.0,1006607.0,842819.0,163788.0
农业,100,2306.0,1561.0,745.0,565572.0,513914.0,51658.0
林业,200,2902.0,1404.0,1498.0,301920.0,275421.0,26499.0
畜牧业,300,1080.0,807.0,273.0,30272.0,27602.0,2670.0
渔业,400,604.0,317.0,287.0,9670.0,8325.0,1345.0
农、林、牧、渔服务业,500,14211.0,996.0,13215.0,99173.0,17557.0,81616.0
采矿业,B,102336.0,99067.0,3269.0,9484019.0,9424204.0,59815.0
煤炭开采和洗选业,600,23818.0,23609.0,209.0,5403528.0,5396811.0,6717.0
石油和天然气开采业,700,1795.0,1787.0,8.0,886527.0,886197.0,330.0
黑色金属矿采选业,800,18182.0,17681.0,501.0,1007105.0,991407.0,15698.0
有色金属矿采选业,900,11148.0,10978.0,170.0,840402.0,836157.0,4245.0
非金属矿采选业,1000,46669.0,44313.0,2356.0,1329857.0,1297385.0,32472.0
其他采矿业,1100,724.0,699.0,25.0,16600.0,16247.0,353.0
制造业,C,1859197.0,1828984.0,30213.0,105596796.0,105001713.0,595083.0
农副食品加工业,1300,106656.0,103420.0,3236.0,4575857.0,4528951.0,46906.0
食品制造业,1400,43070.0,41926.0,1144.0,2194840.0,2175619.0,19221.0
饮料制造业,1500,36367.0,35250.0,1117.0,1676289.0,1658043.0,18246.0
烟草制品业,1600,317.0,314.0,3.0,232534.0,232518.0,16.0
纺织业,1700,109953.0,108857.0,1096.0,8197209.0,8164357.0,32852.0
纺织服装、鞋、帽制造业,1800,80875.0,79801.0,1074.0,6576773.0,6545861.0,30912.0
皮革、毛皮、羽毛(绒)及其制品业,1900,31891.0,31474.0,417.0,3436943.0,3423517.0,13426.0
木材加工及木、竹、藤、棕、草制品业,2000,63827.0,61967.0,1860.0,2411959.0,2377244.0,34715.0
家具制造业,2100,36760.0,35889.0,871.0,1609876.0,1596267.0,13609.0
造纸及纸制品业,2200,49340.0,48683.0,657.0,2229119.0,2216668.0,12451.0
印刷业和记录媒介的复制,2300,54048.0,53152.0,896.0,1591369.0,1576916.0,14453.0
文教体育用品制造业,2400,20775.0,20621.0,154.0,1792387.0,1789052.0,3335.0
石油加工及炼焦,2500,6641.0,6577.0,64.0,894227.0,892827.0,1400.0
化学原料及化学制品制造业,2600,98017.0,96976.0,1041.0,5665341.0,5642189.0,23152.0
医药制造业,2700,15685.0,15555.0,130.0,1711696.0,1708685.0,3011.0
化学纤维制造业,2800,4578.0,4550.0,28.0,451967.0,451413.0,554.0
橡胶制品业,2900,21144.0,20949.0,195.0,1304051.0,1300164.0,3887.0
塑料制品业,3000,100210.0,98860.0,1350.0,4035220.0,4009810.0,25410.0
非金属矿物制品业,3100,214836.0,207112.0,7724.0,9540004.0,9367392.0,172612.0
黑色金属冶炼及压延加工业,3200,19441.0,19253.0,188.0,2946472.0,2942915.0,3557.0
有色金属冶炼及压延加工业,3300,22013.0,21842.0,171.0,1955808.0,1951896.0,3912.0
金属制品业,3400,135321.0,133848.0,1473.0,5162767.0,5141054.0,21713.0
通用设备制造业,3500,184861.0,183400.0,1461.0,7408985.0,7383300.0,25685.0
专用设备制造业,3600,94726.0,93899.0,827.0,4450536.0,4435676.0,14860.0
交通运输设备制造业,3700,82498.0,81574.0,924.0,5910260.0,5892979.0,17281.0
电气机械及器材制造业,3900,95747.0,95197.0,550.0,6429497.0,6419287.0,10210.0
通信设备、计算机及其他电子设备制造业,4000,46816.0,46636.0,180.0,7140207.0,7136592.0,3615.0
仪器仪表及文化、办公用机械制造业,4100,24569.0,24432.0,137.0,1542441.0,1539101.0,3340.0
工艺品及其他制造业,4200,49753.0,48754.0,999.0,2311486.0,2294124.0,17362.0
废弃资源和废旧材料回收加工业,4300,8462.0,8216.0,246.0,210676.0,207296.0,3380.0
电力、燃气及水的生产和供应业,D,84862.0,81583.0,3279.0,4361012.0,4311929.0,49083.0
电力、热力的生产和供应业,4400,60102.0,58320.0,1782.0,3371724.0,3339395.0,32329.0
燃气生产和供应业,4500,3888.0,3817.0,71.0,256306.0,254401.0,1905.0
水的生产和供应业,4600,20872.0,19446.0,1426.0,732982.0,718133.0,14849.0
建筑业,E,253211.0,248842.0,4369.0,39954674.0,39754985.0,199689.0
房屋和土木工程建筑业,4700,111566.0,109020.0,2546.0,32898741.0,32743473.0,155268.0
建筑安装业,4800,47638.0,47152.0,486.0,3439184.0,3420469.0,18715.0
建筑装饰业,4900,69102.0,68155.0,947.0,1988537.0,1974586.0,13951.0
其他建筑业,5000,24905.0,24515.0,390.0,1628212.0,1616457.0,11755.0
交通运输、仓储和邮政业,F,225259.0,203326.0,21933.0,9614746.0,8912051.0,702695.0
铁路运输业,5100,592.0,552.0,40.0,126332.0,123996.0,2336.0
道路运输业,5200,93982.0,76476.0,17506.0,4018707.0,3437628.0,581079.0
城市公共交通业,5300,8963.0,8645.0,318.0,1635679.0,1615240.0,20439.0
