项目名,包名,优化动作,优化前,日均新增,日均付费,日均广告,付费比,广告比,优化后,日均新增.1,日均付费.1,日均广告.1,付费比.1,广告比.1,环比付费比,环比广告比
掌上综素,com.zhangshang.zhond,产品+广告优化,4/3-4/8,64,0,16.0,0,0.0,4/10-4/15,27,0,10.0,0,0.0,0,0
知道智慧树,com.zdzhs.xsy,产品优化,4/3-4/8,696,0,0.0,0,0.0,4/10-4/15,751,3,0.0,0,0.0,0,0
育苗通,com.yumiao.goodjob,产品优化,4/4-4/9,84,19,0.0,0,0.0,4/11-4/16,137,126,0.0,1,0.0,1,0
天一阅卷,com.skon.yujae,产品优化,4/5-4/10,76,0,0.0,0,0.0,4/12-4/17,69,0,0.0,0,0.0,0,0
杂志迷时尚搭配,com.magazqao.zzm,产品优化,4/5-4/10,3,0,0.0,0,0.0,4/12-4/17,1,0,0.0,0,0.0,0,0
AImax,com.ailmaxkd.skfq,产品优化,4/11-4/16,811,514,0.0,1,0.0,4/18-4/23,1321,922,0.0,1,0.0,1,0
穷游锦囊,com.qiongyoufa.xsy,广告优化,4/21-4/26,145,29,29.0,0,0.0,5/5-5/10,111,18,45.0,0,0.0,(0),0
建筑2,com.xin.xintongpt,产品+广告优化,4/23-4/28,1298,0,1821.0,0,1.0,5/7-5/12,1389,0,3042.0,0,2.0,0,1
吸风饮露,com.xifengs.dyin,产品+广告优化,4/25-4/30,4,8,0.0,2,0.0,5/9-5/14,5,0,0.0,0,0.0,(2),(0)
中医2,com.zh.yibaowji,产品优化,4/25-4/30,193,114,47.0,1,0.0,5/9-5/14,107,35,33.0,0,0.0,(0),0
公考3,com.ll.lgf.chalktest3,产品优化,4/19-4/24,80,58,0.0,1,0.0,5/10-5/15,7,23,0.0,3,0.0,3,0
女性日记Flo,com.nvrj.ixa,产品优化,4/20-4/25,99,15,17.0,0,0.0,5/11-5/16,95,29,14.0,0,0.0,0,(0)
223乐园,com.adshj.hdifa,产品+广告优化,5/7-5/12,3724,0,1983.0,0,1.0,5/14-5/19,5862,0,4320.0,0,1.0,0,0
不休的音律,com.bxdylv.lms,广告优化,5/9-5/14,77,0,6.0,0,0.0,5/16-5/21,102,6,10.0,0,0.0,0,0
八字排盘宝,com.bz.paipang,产品优化,5/13-5/18,802,229,366.0,0,0.0,5/20-5/25,1203,790,654.0,1,1.0,0,0
iCity我的日记,com.notesic.ity,产品优化,5/14-5/19,3434,393,356.0,0,0.0,5/21-5/26,2111,502,156.0,0,0.0,0,(0)
医宝2,com.yi.zhangbaoho,广告优化,5/17-5/22,249,0,556.0,0,2.0,5/24-5/29,263,3,566.0,0,2.0,0,(0)
公考雷达,com.kaogongkde.ok,产品优化,6/1-6/6,673,330,0.0,0,0.0,6/15-6/20,701,409,0.0,1,0.0,0,0
团建1,com.zhihui.tuanjiajish,产品优化,6/1-6/6,1941,0,,0,,6/15-6/20,2003,0,,0,,0,
全民消防学习平台,com.xiaof.quanmisjx,广告优化,6/13-6/18,54,0,29.0,0,1.0,6/20-6/25,30,0,24.0,0,1.0,0,0
兽药查询,com.shouyao.xtw,产品优化,6/16-6/21,304,47,0.0,0,0.0,6/23-6/28,271,38,0.0,0,0.0,(0),0
