Student ID,Mathematics,Chinese,Foreign Language,Physics,Chemistry,Ideological and Political Education,Geography,History,Biology,Total Score,Rating,Rank
S-0001,80,76,74,72,94,70,71,72,81,690,★★,13
S-0002,70,78,80,87,97,88,97,74,83,754,★★★,8
S-0003,95,70,81,79,81,74,98,82,89,749,★★★,9
S-0004,99,95,95,85,91,95,95,93,99,847,★★★★,3
S-0005,80,85,75,80,96,100,100,84,97,797,★★★,6
S-0006,95,80,100,100,100,100,100,100,100,875,★★★★★,1
S-0007,82,92,99,98,95,100,99,95,98,858,★★★★★,2
S-0008,52,50,50,50,50,50,50,50,50,452,★,17
S-0009,90,94,95,70,96,98,70,79,91,783,★★★,7
S-0010,82,82,53,100,100,100,100,100,100,817,★★★★,5
S-0011,81,98,40,50,98,98,50,98,98,711,★★,12
S-0012,98,86,40,50,95,95,95,95,58,712,★★,11
S-0013,40,77,57,56,51,66,60,59,62,528,★,16
S-0014,59,95,95,95,95,88,67,68,68,730,★★★,10
S-0015,82,80,55,63,85,85,50,85,82,667,★★,14
S-0016,100,100,95,95,95,95,95,82,84,841,★★★★,4
S-0017,90,90,40,90,90,63,50,54,72,639,★★,15
