现金流量(证券代码：300719.SZ名称：安达维尔),2022年报,2021年报,2020年报,2019年报,2018年报,2017年报,2016年报,2015年报,2014年报,2013年报
现金流量,,,,,,,,,,
销售商品提供劳务收到的现金／营业收入(%),119,145,86,105,82,58,108,121,100,117
经营活动产生的现金流量净额／营业收入(%),(6),28,(3),(1),(20),(33),29,24,6,33
经营活动产生的现金流量净额／营业利润(TTM),0,29,(0),(0),(2),(1),1,1,0,1
经营活动产生的现金流量净额／经营活动净收益,--,--,(0),(0),(3),(2),1,1,0,1
资本支出／折旧和摊销,0,1,1,2,2,1,1,2,1,3
净利润现金含量(%),56,1285,(17),(7),(181),(160),125,140,42,155
经营性现金净流量/营业总收入(%),(6),28,(3),(1),(20),(33),29,24,6,33
现金营运指数,2,4,(0),(0),(1),(1),1,1,0,1
现金满足投资比率,(1),2,(0),(0),(1),(16),7,1,0,1
全部资产现金回收率,(0),0,(0),0,(0),(0),0,0,0,0
现金股利保障倍数,(3),2,(1),(0),(1),(34),18,2,0,3
经营活动产生的现金流量净额占比(%),62,(263),323,(5),203,(529),99,775,(102),125
投资活动产生的现金流量净额占比(%),24,27,296,26,(250),(731),(6),(576),36,(25)
企业自由现金流量,23180381,75855133,28675156,41660369,79513637,(464792874),(62522823),71342804,45847286,(31913309)
股权自由现金流量,24180381,(30541829),86836523,161660369,79313637,(568592874),(113522823),98342804,62137286,5796691
筹资活动产生的现金流量净额占比(%),14,336,(519),79,147,1360,8,(99),165,(0)
,,,,,,,,,,
数据来源：同花顺iFinD,,,,,,,,,,
