Return,Quota Name,Unit,Engineering Quantity,Equipment Unit Price,Main Material Unit Price,Base Price Unit,"人工单价 translates to ""Labor Unit Price"".",Material Unit Price,Mechanical Unit Price,Equipment Total,Main Material Total,Base Price Total,"人工合计 translates to ""Labor Total"".",Material Total,Mechanical Total
7-173,HFC-227ea L90 Heptafluoropropane Storage Device,set,8.0,0,12.47,306.72,255.98,50.14,0.6,0,99.78,2454,2047.84,401.12,4.8
8-253,Safety Valve DN80,piece,2.0,0,485.38,72.57,15.06,49.81,7.7,0,970.76,145,30.12,99.62,15.4
8-255,Pressure Signal Device DN80,piece,2.0,0,0.0,121.71,23.05,85.04,13.62,0,0.0,243,46.1,170.08,27.24
7-167,Threaded Connection Selection Valve DN65,piece,4.0,0,3686.4,34.33,22.74,2.81,8.78,0,14745.6,137,90.96,11.24,35.12
7-149,Gas-driven device pipeline,m,30.0,0,18.98,6.91,4.06,2.6,0.25,0,569.49,207,121.68,78.0,7.62
7-145,Galvanized seamless steel pipe DN80,m,47.0,0,128.47,8.03,4.83,0.38,2.83,0,6038.04,378,226.78,17.67,133.06
7-144,Galvanized seamless steel pipe DN70,m,23.0,0,102.36,7.29,4.15,0.31,2.83,0,2354.21,168,95.43,7.08,65.11
7-143,Galvanized seamless steel pipe DN50,m,16.0,0,63.71,6.15,3.26,0.25,2.64,0,1019.35,98,52.11,3.97,42.29
7-142,Galvanized seamless steel pipe DN40,m,24.0,0,44.91,5.97,3.1,0.22,2.64,0,1077.85,143,74.5,5.26,63.43
7-141,Galvanized seamless steel pipe DN32,m,14.0,0,38.65,5.57,2.92,0.19,2.46,0,541.07,78,40.87,2.69,34.43
7-140,Galvanized seamless steel pipe DN25,m,5.0,0,27.15,4.39,2.49,0.18,1.72,0,135.76,22,12.45,0.92,8.6
7-160,Gas Nozzle DN25,piece,16.0,0,197.02,14.31,7.9,1.12,5.29,0,3152.33,229,126.37,17.94,84.61
B-001 Supplement,Storage Steel Cylinder L90 (including pressure display relief device and siphon tube),set,13.0,0,0.0,39356.0,0.0,39356.0,0.0,0,0.0,511628,0.0,511628.0,0.0
7-176,Carbon Dioxide Weight Inspection for Leak Detection,set,8.0,0,0.0,60.52,56.85,3.67,0.0,0,0.0,484,454.8,29.36,0.0
7-157,Elbow DN80,Piece,8.0,0,16.54,29.93,10.69,2.25,16.98,0,132.35,239,85.55,18.02,135.86
7-157,65*80 Tee,Piece,1.0,0,20.68,29.93,10.69,2.25,16.98,0,20.68,30,10.69,2.25,16.98
7-156,50*60 Tee,Piece,3.0,0,8.79,28.29,9.47,1.84,16.98,0,26.36,85,28.4,5.53,50.95
7-155,40*50 Tee,Piece,4.0,0,8.27,25.49,8.17,1.49,15.83,0,33.09,102,32.7,5.95,63.32
7-154,32*40 Tee,Piece,4.0,0,7.24,25.32,8.17,1.31,15.83,0,28.97,101,32.7,5.26,63.32
7-156,Elbow DN65,Piece,1.0,0,12.0,28.29,9.47,1.84,16.98,0,12.0,28,9.47,1.84,16.98
7-157,80*80 Tee,Piece,2.0,0,24.83,29.93,10.69,2.25,16.98,0,49.65,60,21.39,4.51,33.97
8-178,Pipeline Support,kg,95.0,0,4.23,7.74,3.12,1.99,2.63,0,401.79,735,296.02,189.34,250.03
B-002 Supplement,Bottle Station Bracket,Cylinder Set,8.0,0,0.0,2720.0,0.0,2720.0,0.0,0,0.0,21760,0.0,21760.0,0.0
6-2469,Vacuum Test for Low and Medium Pressure Pipelines (within DN100),m,129.0,0,0.0,2.22,1.29,0.32,0.61,0,0.0,286,166.5,41.72,78.16
11-41,Pipeline Painting (First Coat of Red Lead Anti-Rust Paint),m2,27.71,0,0.0,2.7,0.92,1.78,0.0,0,0.0,75,25.55,49.27,0.0
Total of This Page,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,31409.13,539915,4128.98,534556.6,1231.28
11-50,Pipeline Painting (First Coat of Color Paint),m2,27.71,0,0.0,2.24,0.95,1.28,0.0,0,0.0,62,26.41,35.55,0.0
11-51,Pipeline Painting (Second Coat of Color Paint),m2,27.71,0,0.0,2.06,0.92,1.14,0.0,0,0.0,57,25.55,31.51,0.0
11-7,"Manual Rust Removal (Metal Structure, Light Rust)",kg,345.0,0,0.0,0.12,0.1,0.02,0.0,0,0.0,42,34.98,7.07,0.0
11-103,Metal Structure Painting (First Coat of Red Lead Anti-Rust Paint),kg,345.0,0,0.0,0.22,0.08,0.14,0.0,0,0.0,76,27.57,48.47,0.0
11-112,Metal Structure Painting (First Coat of Color Paint),kg,345.0,0,0.0,0.17,0.07,0.1,0.0,0,0.0,59,25.46,33.81,0.0
11-113,Metal Structure Painting (Second Coat of Color Paint),kg,345.0,0,0.0,0.16,0.07,0.09,0.0,0,0.0,55,25.46,29.6,0.0
,Fire Protection Engineering Scaffolding Erection and Dismantling Comprehensive Amortization Cost,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,178,44.5,133.5,0.0
,Painting Works Scaffolding Erection and Dismantling Comprehensive Amortization Fee,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,15,3.75,11.25,0.0
Total,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,31409.13,540459,4342.66,534887.4,1231.28
