3-3各地区人口年龄构成(二)-地区-地区,3-3各地区人口年龄构成(二)-人口数-合计,3-3各地区人口年龄构成(二)-人口数-0-15岁,3-3各地区人口年龄构成(二)-人口数-16-59岁,3-3各地区人口年龄构成(二)-人口数-60岁及以上,3-3各地区人口年龄构成(二)-比重-合计,3-3各地区人口年龄构成(二)-比重-0-15岁,3-3各地区人口年龄构成(二)-比重-16-59岁,3-3各地区人口年龄构成(二)-单位：人、%-比重-60岁及以上
,,,,,,,,
全    国,1409778724.0,268707162.0,877053344.0,264018218.0,100.0,19.0,62.0,19.0
,,,,,,,,
北    京,21893095.0,2687643.0,14906862.0,4298590.0,100.0,12.0,68.0,20.0
天    津,13866009.0,1972953.0,8890368.0,3002688.0,100.0,14.0,64.0,22.0
河    北,74610235.0,16044637.0,43753550.0,14812048.0,100.0,22.0,59.0,20.0
山    西,34915616.0,6072949.0,22235642.0,6607025.0,100.0,17.0,64.0,19.0
内 蒙 古,24049155.0,3595203.0,15696719.0,4757233.0,100.0,15.0,65.0,20.0
,,,,,,,,
辽    宁,42591407.0,5081142.0,26555798.0,10954467.0,100.0,12.0,62.0,26.0
吉    林,24073453.0,3046210.0,15476078.0,5551165.0,100.0,13.0,64.0,23.0
黑 龙 江,31850088.0,3578597.0,20875801.0,7395690.0,100.0,11.0,66.0,23.0
,,,,,,,,
上    海,24870895.0,2545325.0,16510108.0,5815462.0,100.0,10.0,66.0,23.0
江    苏,84748016.0,13663748.0,52578923.0,18505345.0,100.0,16.0,62.0,22.0
浙    江,64567588.0,9229598.0,43265306.0,12072684.0,100.0,14.0,67.0,19.0
安    徽,61027171.0,12471376.0,37086559.0,11469236.0,100.0,20.0,61.0,19.0
福    建,41540086.0,8453900.0,26448317.0,6637869.0,100.0,20.0,64.0,16.0
江    西,45188635.0,10613797.0,26950057.0,7624781.0,100.0,23.0,60.0,17.0
山    东,101527453.0,20211188.0,60095459.0,21220806.0,100.0,20.0,59.0,21.0
,,,,,,,,
河    南,99365519.0,24405618.0,56995853.0,17964048.0,100.0,25.0,57.0,18.0
湖    北,57752557.0,9950101.0,36007461.0,11794995.0,100.0,17.0,62.0,20.0
湖    南,66444864.0,13783681.0,39449902.0,13211281.0,100.0,21.0,59.0,20.0
广    东,126012510.0,24937244.0,85510200.0,15565066.0,100.0,20.0,68.0,12.0
广    西,50126804.0,12542564.0,29220461.0,8363779.0,100.0,25.0,58.0,17.0
海    南,10081232.0,2137688.0,6466945.0,1476599.0,100.0,21.0,64.0,15.0
,,,,,,,,
重    庆,32054159.0,5460215.0,19583504.0,7010440.0,100.0,17.0,61.0,22.0
四    川,83674866.0,14370498.0,51140564.0,18163804.0,100.0,17.0,61.0,22.0
贵    州,38562148.0,9768837.0,22861954.0,5931357.0,100.0,25.0,59.0,15.0
云    南,47209277.0,9818670.0,30352577.0,7038030.0,100.0,21.0,64.0,15.0
西    藏,3648100.0,944880.0,2392236.0,310984.0,100.0,26.0,66.0,9.0
,,,,,,,,
陕    西,39528999.0,7210220.0,24727577.0,7591202.0,100.0,18.0,63.0,19.0
甘    肃,25019831.0,5124793.0,15634047.0,4260991.0,100.0,20.0,62.0,17.0
青    海,5923957.0,1306676.0,3897879.0,719402.0,100.0,22.0,66.0,12.0
宁    夏,7202654.0,1558823.0,4669689.0,974142.0,100.0,22.0,65.0,14.0
新    疆,25852345.0,6118388.0,16816948.0,2917009.0,100.0,24.0,65.0,11.0
