Serial Number,Project Name,Pile Driving Work Volume,Pile Driving Work Volume.1,Pile Driving Work Volume.2,Pile Driving Work Volume.3,Unit Price (RMB/m³),"Total Price (10,000 yuan)",Building Unit Construction Area,Unit Cost Index (Yuan/m²),Remark
Serial Number,Project Name,Quantity (root),Pile Length (m),Pile Diameter (m),Total (m³),Unit Price (RMB/m³),"Total Price (10,000 yuan)",Building Unit Construction Area,Unit Cost Index (Yuan/m²),Remark
1,,,22.0,0.45,,1050.0,,,,
2,,,22.0,0.45,,1050.0,,,,
3,,,22.0,0.45,,1050.0,,,,Add 126 supporting commercial piles
4,,,22.0,0.45,,1050.0,,,,
5,,,22.0,0.45,,1050.0,,10336,,
6,,,22.0,0.45,,1050.0,,,,
7,,113.0,22.0,0.45,287.99,1050.0,,,,
8,,172.0,22.0,0.45,575.06,1050.0,,,,
9,,,22.0,0.45,,1050.0,,21427,,
10,,,22.0,0.45,,1050.0,,35328,,
11,Civil Air Defense Garage,,22.0,0.5,,1050.0,,,,
12,Non-anti-aircraft garage,,22.0,0.5,,1050.0,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
