1-1-31  全国按住户人口特征和从事农业时间分的家庭户中的常住从业人员数量,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人
名    称,合计,"从事农业
1个月人数","从事农业
2-3个月人数","从事农业
4-6个月人数","从事农业
7-9个月人数","从事农业10个
月以上人数"
,,,,,,
,,,,,,
合    计,409119684,14051822,67837523,113357645,82941722,130930972
按登记人数分,,,,,,
1人户,6656822,216649,802544,2184397,1338041,2115191
2人户,34534518,1056116,4467481,11551725,7313984,10145212
3人户,80658343,3549917,15185856,22601039,16186666,23134865
4人户,117833121,4031729,20984590,31746822,23761764,37308216
5人户,89748049,3004874,14891882,24614907,18090519,29145867
6人及以上,79688831,2192537,11505170,20658755,16250748,29081621
按住户户籍所在地分,,,,,,
本村户,406196944,13883284,67389646,112727227,82481192,129715595
村外乡内户,1084554,91299,242581,302268,166930,281476
乡外县内户,575214,38310,96498,131711,95246,213449
县外(地)市内户,279957,12391,33366,54442,46579,133179
市外省内户,397823,12671,36959,67110,53280,227803
外省,567461,13473,36880,70663,94617,351828
其他,17731,394,1593,4224,3878,7642
按户籍性质分,,,,,,
农业户籍户,386340769,12163387,62304533,107674809,79302104,124895936
混合户,16705624,1292370,4021120,4289567,2641483,4461084
非农户籍户,6045638,595138,1508469,1386998,992245,1562788
户籍待定户,27653,927,3401,6271,5890,11164
按户主受教育程度分,,,,,,
文盲,24233166,492399,2503256,7248716,5666898,8321897
小学,160985623,4516961,21521828,43073129,34013477,57860228
初中,197171744,7667810,38156504,55951887,38391939,57003604
高中,25530260,1270682,5334104,6770656,4690114,7464704
大学及以上,1196388,103954,321752,312923,178784,278975
按住户居住时间分,,,,,,
1年以下,88264,5761,13173,16321,30740,22269
1-5年,2243615,101755,315286,476243,397331,953000
5年以上,406787798,13944306,67509064,112865081,82513644,129955703
