山东省按主要国家(地区)分海关进出口商品总值(2023年)-TotalValueofImportandExportCommoditiesbyCountriesorRegions(2023)-单位:万美元-国别(地区)-国别(地区)-国别(地区)-国别(地区),山东省按主要国家(地区)分海关进出口商品总值(2023年)-TotalValueofImportandExportCommoditiesbyCountriesorRegions(2023)-Country(Region)-Country(Region)-Country(Region)-Country(Region),山东省按主要国家(地区)分海关进出口商品总值(2023年)-TotalValueofImportandExportCommoditiesbyCountriesorRegions(2023)-进出口总值TotalValueofImportsandExports-进出口总值TotalValueofImportsandExports-进出口总值TotalValueofImportsandExports-进出口总值TotalValueofImportsandExports,山东省按主要国家(地区)分海关进出口商品总值(2023年)-TotalValueofImportandExportCommoditiesbyCountriesorRegions(2023)-出口总值TotalValueofExports-出口总值TotalValueofExports-出口总值TotalValueofExports-出口总值TotalValueofExports,山东省按主要国家(地区)分海关进出口商品总值(2023年)-TotalValueofImportandExportCommoditiesbyCountriesorRegions(2023)-(10000USD)-进口总值TotalValueofImports-进口总值TotalValueofImports-进口总值TotalValueofImports-进口总值TotalValueofImports,Unnamed: 5
,,,,,
合    计,Total,46438326,27616130,18822195,
亚  洲,Asia,22206805,13266797,8940007,
东  盟,Asean,9242917,4188933,5053984,
中国香港,Hong kong,929568,907514,22054,
日  本,Japan,2664738,1985754,678985,
韩  国,Republic of Korea,3727868,2496806,1231062,
中国台湾,Taiwan,851119,213749,637369,
马来西亚,Malaysia,4651747,910020,3741727,
印度尼西亚,Indonesia,911208,586193,325015,
新加坡,Singapore,818164,671728,146436,
印  度,India,1006670,813121,193549,
泰  国,Thailand,957390,563254,394137,
非  洲,Africa,2887132,2004231,882901,
南  非,South Africa,262697,202097,60599,
欧  洲,Europe,9162612,5234116,3928496,
欧  盟,EU,4233327,3345418,887909,
德  国,Germany,860802,595854,264949,
法  国,France,336247,256650,79597,
意大利,Italy,393997,288102,105895,
荷  兰,Netherlands,914885,840544,74342,
西班牙,Spain,346375,286715,59660,
瑞  典,Sweden,104163,56847,47316,
比利时,Belgium,230739,210363,20376,
瑞  士,Switzerland,125774,24605,101169,
俄罗斯,Russia,3704172,1016596,2687576,
拉丁美洲,Latin America,4665760,2230441,2435319,
阿根廷,Argentina,167303,82691,84613,
巴  西,Brazil,2004822,497045,1507777,
智  利,Chile,497493,163369,334124,
墨西哥,Mexico,840754,760352,80402,
巴拿马,Panama,88254,75228,13026,
北美洲,North America,5453366,4100926,1352440,
美  国,United States,4647845,3579401,1068444,
加拿大,Canada,791031,521265,269766,
大洋洲,Oceanic,2061039,779619,1281419,
澳大利亚,Australia,1793907,654921,1138986,
新西兰,New Zealand,196379,73824,122555,
,,,,,
,,,,,
"注:进口国别指原产国,出口国别指最终消费国。",,,,,
a) The importing country refers to country of origin and the exporting country refers to country of final consumption.,a) The importing country refers to country of origin and the exporting country refers to country of final consumption.,a) The importing country refers to country of origin and the exporting country refers to country of final consumption.,a) The importing country refers to country of origin and the exporting country refers to country of final consumption.,a) The importing country refers to country of origin and the exporting country refers to country of final consumption.,a) The importing country refers to country of origin and the exporting country refers to country of final consumption.
