1-1-7全国按乡村类型和劳动能力分的住户农业从业人员数量-名称,单位：人-合计,整劳动力,半劳动力,其中16-17岁
,,,,
合        计,342463995.0,284504709.0,57959286.0,4885087.0
一、按社区类型分,,,,
村委会,333684993.0,277063990.0,56621003.0,4810630.0
居委会,6075378.0,5009466.0,1065912.0,51660.0
农场,1966458.0,1810743.0,155715.0,18929.0
二、按地势分,,,,
平原,135485165.0,114848233.0,20636932.0,1884220.0
丘陵,110167471.0,89572991.0,20594480.0,1262237.0
山区,95985895.0,79385371.0,16600524.0,1733857.0
三、按贫困村类型分,,,,
非贫困村,270346671.0,224663591.0,45683080.0,3569904.0
贫困村,71291023.0,59142264.0,12148759.0,1310393.0
省定贫困村,48410554.0,40260418.0,8150136.0,917912.0
省以下定贫困村,22880469.0,18881846.0,3998623.0,392481.0
四、按是否少数民族聚居村分,,,,
是,46039392.0,38928951.0,7110441.0,1168526.0
否,295597825.0,244876418.0,50721407.0,3711769.0
五、按所在乡镇类型分,,,,
乡,108757710.0,91154153.0,17603557.0,1925816.0
镇,220718427.0,182390257.0,38328170.0,2844566.0
街道,10265970.0,8517303.0,1748667.0,86829.0
农场,2629682.0,2367302.0,262380.0,27065.0
六、按所在乡镇是否县政府驻地分,,,,
是,23302896.0,19600518.0,3702378.0,328133.0
否,319068893.0,264828497.0,54240396.0,4556143.0
七、按所在乡镇是否民族乡镇分,,,,
是,19729492.0,16726648.0,3002844.0,454021.0
否,322642297.0,267702367.0,54939930.0,4430255.0
八、按所在乡镇是否老区分,,,,
是,78271253.0,64071129.0,14200124.0,921942.0
否,264100536.0,220357886.0,43742650.0,3962334.0
九、按所在乡镇是否边区分,,,,
是,14007787.0,11650162.0,2357625.0,253580.0
否,328364002.0,272778853.0,55585149.0,4630696.0
十、无对应乡表的分组,92206.0,75694.0,16512.0,811.0
十一、无对应村表的分组,737166.0,620510.0,116656.0,3868.0
