6-6全国按受教育程度、活产子女数分的15-64岁妇女人数-受教育程度-受教育程度,6-6全国按受教育程度、活产子女数分的15-64岁妇女人数-15-64岁-妇女人数,6-6全国按受教育程度、活产子女数分的15-64岁妇女人数-活产0个-活产0个,6-6全国按受教育程度、活产子女数分的15-64岁妇女人数-活产1个-活产1个,6-6全国按受教育程度、活产子女数分的15-64岁妇女人数-活产2个-活产2个,6-6全国按受教育程度、活产子女数分的15-64岁妇女人数-活产3个-活产3个,6-6全国按受教育程度、活产子女数分的15-64岁妇女人数-活产4个-活产4个,6-6全国按受教育程度、活产子女数分的15-64岁妇女人数-单位：人-活产5个-及以上
,,,,,,,
总  计,46789337.0,10708157.0,15950793.0,15726420.0,3392945.0,757068.0,253954.0
未上过学,926652.0,66314.0,150353.0,398060.0,201365.0,72709.0,37851.0
学前教育,31824.0,4815.0,6702.0,13261.0,4898.0,1507.0,641.0
小  学,7958864.0,320703.0,1967682.0,3936117.0,1264379.0,340679.0,129304.0
初  中,18219818.0,2115516.0,6378590.0,7780706.0,1578630.0,290707.0,75669.0
高  中,8962313.0,3222596.0,3406608.0,2023766.0,260433.0,40171.0,8739.0
大学专科,5362227.0,2235795.0,2143293.0,914452.0,59631.0,7797.0,1259.0
大学本科,4766962.0,2437239.0,1705066.0,598898.0,22087.0,3221.0,451.0
硕士研究生,507936.0,279122.0,172021.0,55148.0,1363.0,248.0,34.0
博士研究生,52741.0,26057.0,20478.0,6012.0,159.0,29.0,6.0
