2023年与2024年1-6月集团跨域订单数对比表,2023年与2024年1-6月集团跨域订单数对比表.1,2023年与2024年1-6月集团跨域订单数对比表-1月,2023年与2024年1-6月集团跨域订单数对比表-2月,2023年与2024年1-6月集团跨域订单数对比表-3月,2023年与2024年1-6月集团跨域订单数对比表-4月,2023年与2024年1-6月集团跨域订单数对比表-5月,2023年与2024年1-6月集团跨域订单数对比表-6月,2023年与2024年1-6月集团跨域订单数对比表-1-6月总
订单数,2023年,501,604,438,427,428,494,2892
订单数,2024年,425,392,450,446,379,395,2487
新装数,2023年,171,333,89,87,122,158,960
新装数,2024年,96,95,90,102,89,94,566
变更数,2023年,143,134,195,148,143,177,940
变更数,2024年,152,151,139,169,137,144,892
拆机数,2023年,187,137,154,192,163,159,992
拆机数,2024年,177,146,221,175,153,157,1029
来单数,2023年,287,456,255,229,284,230,1741
来单数,2024年,214,185,193,232,231,234,1289
去单数,2023年,214,148,183,198,144,264,1151
去单数,2024年,211,207,257,214,148,161,1198
