ID,编号,价格,成交数量,竞买率,成交占比,日期,大盘最低价格,大盘最高价格
1282796,2078,13,1013,100,1,45498,2873,2898
1282795,2078,13,4110,72,3,45498,2873,2898
1282794,2078,13,4849,26,4,45498,2873,2898
1282793,2078,13,1593,50,1,45498,2873,2898
1282792,2078,14,64,0,0,45498,2873,2898
1282565,2078,14,913,44,1,45498,2873,2898
1282564,2078,14,1700,10,1,45498,2873,2898
1282563,2078,13,5446,82,4,45498,2873,2898
1282562,2078,13,7112,73,5,45498,2873,2898
1282561,2078,13,5734,63,4,45498,2873,2898
1282560,2078,13,4765,63,3,45498,2873,2898
1282559,2078,13,8971,72,7,45498,2873,2898
1282558,2078,13,10636,60,8,45498,2873,2898
1282557,2078,13,18191,63,13,45498,2873,2898
1282556,2078,13,13535,56,10,45498,2873,2898
1282555,2078,13,10885,53,8,45498,2873,2898
1282554,2078,13,9459,52,7,45498,2873,2898
1282553,2078,13,7503,56,5,45498,2873,2898
1282552,2078,13,6485,58,5,45498,2873,2898
1282551,2078,13,4172,55,3,45498,2873,2898
1282550,2078,13,1524,40,1,45498,2873,2898
1282549,2078,13,665,20,0,45498,2873,2898
1282548,2078,13,476,44,0,45498,2873,2898
1282547,2078,13,1776,83,1,45498,2873,2898
1282546,2078,13,1721,63,1,45498,2873,2898
1282545,2078,14,2764,30,2,45498,2873,2898
1282544,2078,14,1382,31,1,45498,2873,2898
1280651,2078,13,689,91,0,45497,2894,2922
1280650,2078,13,945,66,1,45497,2894,2922
1280649,2078,13,4470,81,3,45497,2894,2922
1280648,2078,13,6915,74,4,45497,2894,2922
1280647,2078,13,12067,61,7,45497,2894,2922
1280646,2078,13,12884,67,7,45497,2894,2922
1280645,2078,13,14577,43,8,45497,2894,2922
1280644,2078,13,4765,23,3,45497,2894,2922
1280643,2078,13,4714,74,3,45497,2894,2922
1280642,2078,13,14834,77,8,45497,2894,2922
1280641,2078,13,8958,36,5,45497,2894,2922
1280640,2078,13,3796,36,2,45497,2894,2922
1280639,2078,13,2706,47,2,45497,2894,2922
1280389,2078,14,1368,2,1,45497,2894,2922
1280388,2078,14,7489,41,4,45497,2894,2922
1280387,2078,14,6177,31,3,45497,2894,2922
1280386,2078,14,5628,35,3,45497,2894,2922
1280385,2078,14,3600,46,2,45497,2894,2922
1280384,2078,14,4546,51,3,45497,2894,2922
1280383,2078,14,5063,44,3,45497,2894,2922
1280382,2078,14,6246,35,3,45497,2894,2922
1280381,2078,14,3897,48,2,45497,2894,2922
1280380,2078,14,1857,0,1,45497,2894,2922
1280379,2078,13,2070,48,1,45497,2894,2922
1280378,2078,14,7118,66,4,45497,2894,2922
1280377,2078,14,3550,62,2,45497,2894,2922
1280376,2078,14,2652,56,1,45497,2894,2922
1280375,2078,14,2821,41,2,45497,2894,2922
1280374,2078,14,1063,40,1,45497,2894,2922
1280373,2078,14,1662,91,1,45497,2894,2922
1280372,2078,14,4012,53,2,45497,2894,2922
1280371,2078,14,5574,35,3,45497,2894,2922
1280370,2078,14,4823,53,3,45497,2894,2922
1280369,2078,14,5230,66,3,45497,2894,2922
1278424,2078,13,68,100,0,45496,2915,2961
1278423,2078,14,660,87,0,45496,2915,2961
1278422,2078,14,2889,87,2,45496,2915,2961
1278421,2078,14,2124,15,1,45496,2915,2961
1278420,2078,14,1564,68,1,45496,2915,2961
1278419,2078,14,1377,47,1,45496,2915,2961
1278418,2078,14,5515,58,4,45496,2915,2961
1278417,2078,14,2310,61,2,45496,2915,2961
1278416,2078,14,5050,63,3,45496,2915,2961
1278415,2078,14,6736,75,5,45496,2915,2961
1278414,2078,14,11045,54,8,45496,2915,2961
1278413,2078,14,10373,60,7,45496,2915,2961
1278412,2078,14,6063,47,4,45496,2915,2961
1278411,2078,14,4529,44,3,45496,2915,2961
1278410,2078,14,4794,60,3,45496,2915,2961
1278409,2078,14,7280,58,5,45496,2915,2961
1278408,2078,14,7702,64,5,45496,2915,2961
1278407,2078,14,7517,55,5,45496,2915,2961
1278406,2078,14,5881,52,4,45496,2915,2961
1278405,2078,14,2938,58,2,45496,2915,2961
1278404,2078,14,3606,69,2,45496,2915,2961
1278403,2078,14,4415,60,3,45496,2915,2961
1278402,2078,14,1904,56,1,45496,2915,2961
1278401,2078,14,600,51,0,45496,2915,2961
1278400,2078,14,951,79,1,45496,2915,2961
1278399,2078,14,30,100,0,45496,2915,2961
1278398,2078,14,1650,100,1,45496,2915,2961
1278397,2078,14,1667,52,1,45496,2915,2961
1278396,2078,14,800,72,1,45496,2915,2961
1278039,2078,14,1427,99,1,45496,2915,2961
1278038,2078,14,1334,76,1,45496,2915,2961
1278037,2078,14,2028,75,1,45496,2915,2961
1278036,2078,14,1893,45,1,45496,2915,2961
1278035,2078,14,1354,74,1,45496,2915,2961
1278034,2078,14,1111,45,1,45496,2915,2961
1278033,2078,14,706,63,0,45496,2915,2961
1278032,2078,14,864,98,1,45496,2915,2961
1277969,2078,14,682,77,0,45496,2915,2961
1277968,2078,14,1796,67,1,45496,2915,2961
1277967,2078,14,2440,73,2,45496,2915,2961
1277966,2078,14,3066,54,2,45496,2915,2961
1277965,2078,14,2925,35,2,45496,2915,2961
1277964,2078,14,1943,32,1,45496,2915,2961
1277963,2078,14,1556,53,1,45496,2915,2961
1277962,2078,14,608,59,0,45496,2915,2961
1277961,2078,14,1690,62,1,45496,2915,2961
1277960,2078,14,1480,75,1,45496,2915,2961
1277959,2078,14,1937,46,1,45496,2915,2961
1277958,2078,14,878,31,1,45496,2915,2961
1277957,2078,14,729,25,1,45496,2915,2961
1277956,2078,14,228,0,0,45496,2915,2961
1275866,2078,14,68,100,0,45495,2947,2979
1275865,2078,14,101,86,0,45495,2947,2979
1275864,2078,14,1493,40,1,45495,2947,2979
1275863,2078,14,1550,73,1,45495,2947,2979
1275862,2078,14,2700,58,2,45495,2947,2979
