4-5-5各地区民族乡镇农业生产经营户农林牧渔服务业总收入,单位：万元,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
地    区,合计,农作物种植业服务业,林业服务业,畜牧业服务业,渔业服务业
,,,,,
全国总计,148820,120364,5335,17406,5716
北    京,158,146,,4,8
天    津,51,37,9,4,
河    北,3702,2794,172,694,41
山    西,,,,,
内 蒙 古,5640,4408,119,1013,100
辽    宁,16896,13058,364,1878,1596
吉    林,5054,4613,79,319,43
黑 龙 江,11402,9956,36,1343,67
上    海,,,,,
江    苏,1289,1103,10,71,105
浙    江,263,201,30,26,6
安    徽,1129,1071,3,42,14
福    建,1224,613,32,65,515
江    西,5087,1132,1179,1676,1100
山    东,3320,3081,39,181,19
河    南,16085,14166,751,1043,125
湖    北,669,334,32,199,104
湖    南,2630,1667,291,351,322
广    东,2258,1466,148,425,219
广    西,10890,5091,398,4970,431
海    南,1851,1592,113,73,73
重    庆,277,113,39,118,8
四    川,695,477,35,162,22
贵    州,2967,1621,393,814,139
云    南,2218,1614,317,249,38
西    藏,817,166,246,355,51
陕    西,474,409,4,59,1
甘    肃,639,605,6,28,
青    海,89,23,1,66,
宁    夏,1812,1287,155,219,150
新    疆,49232,47519,335,960,418
东部地区,14116,11033,553,1544,986
中部地区,25600,18370,2256,3310,1664
西部地区,75752,63333,2048,9013,1359
东北地区,33352,27628,479,3539,1706
