3-1-9各地区农业生产经营户农业技术措施应用情况-地区,单位：%-占耕地面积比重-机耕面积比重,机电灌溉面积比重,喷灌面积比重,滴灌渗灌面积比重,占播种面积比重-机播面积比重,机收面积比重
,,,,,,
全国总计,59.0,27.0,2.0,1.0,31.0,23.0
,,,,,,
北    京,82.0,64.0,12.0,0.0,64.0,24.0
天    津,91.0,69.0,0.0,0.0,76.0,25.0
河    北,82.0,67.0,1.0,0.0,66.0,33.0
山    西,57.0,23.0,0.0,0.0,42.0,17.0
内 蒙 古,68.0,21.0,1.0,0.0,58.0,17.0
,,,,,,
辽    宁,59.0,15.0,0.0,0.0,30.0,1.0
吉    林,62.0,12.0,0.0,0.0,33.0,2.0
黑 龙 江,87.0,7.0,1.0,0.0,73.0,30.0
,,,,,,
上    海,75.0,73.0,1.0,0.0,3.0,45.0
江    苏,82.0,60.0,1.0,0.0,20.0,59.0
浙    江,54.0,46.0,0.0,1.0,0.0,36.0
安    徽,80.0,33.0,10.0,0.0,36.0,49.0
福    建,21.0,4.0,0.0,0.0,0.0,4.0
江    西,30.0,16.0,0.0,1.0,0.0,13.0
山    东,89.0,67.0,7.0,0.0,48.0,36.0
,,,,,,
河    南,86.0,50.0,4.0,0.0,48.0,39.0
湖    北,34.0,29.0,0.0,0.0,1.0,20.0
湖    南,31.0,15.0,0.0,1.0,0.0,19.0
广    东,31.0,9.0,0.0,0.0,0.0,9.0
广    西,23.0,3.0,0.0,0.0,0.0,1.0
海    南,23.0,5.0,1.0,0.0,0.0,9.0
,,,,,,
重    庆,1.0,4.0,0.0,0.0,0.0,1.0
四    川,11.0,10.0,2.0,3.0,0.0,5.0
贵    州,1.0,2.0,0.0,0.0,0.0,0.0
云    南,10.0,3.0,0.0,0.0,0.0,1.0
西    藏,17.0,0.0,0.0,0.0,15.0,8.0
,,,,,,
陕    西,45.0,23.0,0.0,0.0,37.0,22.0
甘    肃,24.0,12.0,0.0,0.0,16.0,8.0
青    海,44.0,3.0,0.0,0.0,33.0,18.0
宁    夏,39.0,10.0,0.0,0.0,24.0,14.0
新    疆,94.0,24.0,1.0,13.0,83.0,24.0
