2-4-20各地区山区乡镇村内农业技术人员数量-地区,2-4-20各地区山区乡镇村内农业技术人员数量-单位：人-合计,2-4-20各地区山区乡镇村内农业技术人员数量-单位：人-初级-初级,2-4-20各地区山区乡镇村内农业技术人员数量-单位：人-中级-中级,2-4-20各地区山区乡镇村内农业技术人员数量-单位：人-高级-高级
,,,,
全国总计,287742.0,238901.0,43918.0,4923.0
北    京,3693.0,3417.0,255.0,21.0
天    津,579.0,572.0,6.0,1.0
河    北,5164.0,3814.0,1173.0,177.0
山    西,3420.0,2632.0,668.0,120.0
内 蒙 古,5255.0,4749.0,470.0,36.0
辽    宁,6992.0,5357.0,1465.0,170.0
吉    林,5629.0,4526.0,930.0,173.0
黑 龙 江,5989.0,3711.0,1954.0,324.0
上    海,,,,
江    苏,368.0,296.0,55.0,17.0
浙    江,28022.0,25784.0,2115.0,123.0
安    徽,2712.0,2270.0,381.0,61.0
福    建,9803.0,9272.0,467.0,64.0
江    西,3528.0,2909.0,520.0,99.0
山    东,6895.0,5288.0,1302.0,305.0
河    南,5108.0,3988.0,948.0,172.0
湖    北,8931.0,7264.0,1465.0,202.0
湖    南,4648.0,3629.0,822.0,197.0
广    东,9363.0,8250.0,996.0,117.0
广    西,14270.0,13432.0,638.0,200.0
海    南,4361.0,2833.0,945.0,583.0
重    庆,5480.0,4356.0,965.0,159.0
四    川,24990.0,14615.0,10150.0,225.0
贵    州,64470.0,62054.0,2222.0,194.0
云    南,17118.0,16080.0,814.0,224.0
西    藏,8364.0,618.0,7743.0,3.0
陕    西,10367.0,8405.0,1723.0,239.0
甘    肃,13910.0,12314.0,1356.0,240.0
青    海,3600.0,2519.0,664.0,417.0
宁    夏,2919.0,2465.0,416.0,38.0
新    疆,1794.0,1482.0,290.0,22.0
东部地区,68248.0,59526.0,7314.0,1408.0
中部地区,28347.0,22692.0,4804.0,851.0
西部地区,172537.0,143089.0,27451.0,1997.0
东北地区,18610.0,13594.0,4349.0,667.0
